DATE,LNU02000000
1948-01-01,56339
1948-02-01,56440
1948-03-01,56601
1948-04-01,57471
1948-05-01,57763
1948-06-01,59724
1948-07-01,59955
1948-08-01,59677
1948-09-01,59337
1948-10-01,59290
1948-11-01,58991
1948-12-01,58554
1949-01-01,56486
1949-02-01,56320
1949-03-01,56809
1949-04-01,56929
1949-05-01,57669
1949-06-01,58231
1949-07-01,58171
1949-08-01,58504
1949-09-01,58324
1949-10-01,58050
1949-11-01,58616
1949-12-01,57712
1950-01-01,56189
1950-02-01,56197
1950-03-01,56733
1950-04-01,57812
1950-05-01,58719
1950-06-01,59997
1950-07-01,59839
1950-08-01,60948
1950-09-01,60245
1950-10-01,60708
1950-11-01,60313
1950-12-01,59352
1951-01-01,58166
1951-02-01,58102
1951-03-01,59366
1951-04-01,59206
1951-05-01,60219
1951-06-01,60373
1951-07-01,60968
1951-08-01,61128
1951-09-01,60408
1951-10-01,60906
1951-11-01,60464
1951-12-01,60252
1952-01-01,58884
1952-02-01,58834
1952-03-01,58912
1952-04-01,59232
1952-05-01,60250
1952-06-01,60988
1952-07-01,60775
1952-08-01,60872
1952-09-01,61162
1952-10-01,60992
1952-11-01,61394
1952-12-01,60748
1953-01-01,60134
1953-02-01,60271
1953-03-01,60874
1953-04-01,60757
1953-05-01,61061
1953-06-01,62166
1953-07-01,62186
1953-08-01,62271
1953-09-01,61529
1953-10-01,61805
1953-11-01,61302
1953-12-01,59796
1954-01-01,58645
1954-02-01,59059
1954-03-01,59119
1954-04-01,59537
1954-05-01,60020
1954-06-01,60497
1954-07-01,60523
1954-08-01,60858
1954-09-01,60952
1954-10-01,61210
1954-11-01,60901
1954-12-01,59990
1955-01-01,59354
1955-02-01,59336
1955-03-01,59850
1955-04-01,60861
1955-05-01,61780
1955-06-01,62568
1955-07-01,63497
1955-08-01,63876
1955-09-01,63676
1955-10-01,64138
1955-11-01,63840
1955-12-01,63268
1956-01-01,62049
1956-02-01,61773
1956-03-01,62172
1956-04-01,63002
1956-05-01,64045
1956-06-01,64707
1956-07-01,64940
1956-08-01,65085
1956-09-01,64831
1956-10-01,65074
1956-11-01,64310
1956-12-01,63619
1957-01-01,61974
1957-02-01,62512
1957-03-01,63134
1957-04-01,63512
1957-05-01,64213
1957-06-01,65127
1957-07-01,65726
1957-08-01,65009
1957-09-01,64769
1957-10-01,65112
1957-11-01,64129
1957-12-01,63598
1958-01-01,61508
1958-02-01,61265
1958-03-01,61567
1958-04-01,62116
1958-05-01,63098
1958-06-01,63652
1958-07-01,63810
1958-08-01,64018
1958-09-01,63766
1958-10-01,64480
1958-11-01,63890
1958-12-01,63266
1959-01-01,62052
1959-02-01,62015
1959-03-01,63091
1959-04-01,64241
1959-05-01,65036
1959-06-01,65924
1959-07-01,66193
1959-08-01,65897
1959-09-01,65414
1959-10-01,65891
1959-11-01,64877
1959-12-01,64927
1960-01-01,63375
1960-02-01,63871
1960-03-01,63607
1960-04-01,65450
1960-05-01,66342
1960-06-01,67288
1960-07-01,67239
1960-08-01,67004
1960-09-01,66892
1960-10-01,66563
1960-11-01,66394
1960-12-01,65287
1961-01-01,63797
1961-02-01,63869
1961-03-01,64700
1961-04-01,64957
1961-05-01,65831
1961-06-01,67151
1961-07-01,66911
1961-08-01,67028
1961-09-01,66036
1961-10-01,66786
1961-11-01,66348
1961-12-01,65531
1962-01-01,64215
1962-02-01,64872
1962-03-01,65421
1962-04-01,65957
1962-05-01,67066
1962-06-01,67852
1962-07-01,67849
1962-08-01,68096
1962-09-01,67621
1962-10-01,67850
1962-11-01,67046
1962-12-01,66585
1963-01-01,65168
1963-02-01,65519
1963-03-01,66329
1963-04-01,67240
1963-05-01,67984
1963-06-01,68844
1963-07-01,69225
1963-08-01,69052
1963-09-01,68567
1963-10-01,68964
1963-11-01,68471
1963-12-01,67791
1964-01-01,66468
1964-02-01,67197
1964-03-01,67695
1964-04-01,68947
1964-05-01,69952
1964-06-01,70448
1964-07-01,70839
1964-08-01,70676
1964-09-01,69849
1964-10-01,70147
1964-11-01,69892
1964-12-01,69543
1965-01-01,68235
1965-02-01,68690
1965-03-01,69385
1965-04-01,70220
1965-05-01,71298
1965-06-01,72278
1965-07-01,73093
1965-08-01,72695
1965-09-01,71408
1965-10-01,72112
1965-11-01,71824
1965-12-01,71819
1966-01-01,70368
1966-02-01,70691
1966-03-01,71090
1966-04-01,72066
1966-05-01,72619
1966-06-01,74037
1966-07-01,74655
1966-08-01,74665
1966-09-01,73248
1966-10-01,73744
1966-11-01,73995
1966-12-01,73600
1967-01-01,72161
1967-02-01,72505
1967-03-01,72560
1967-04-01,73445
1967-05-01,73638
1967-06-01,75393
1967-07-01,76220
1967-08-01,76170
1967-09-01,74632
