DATE,LNU02000060
1948-01-01,36540
1948-02-01,36617
1948-03-01,36746
1948-04-01,37107
1948-05-01,37265
1948-06-01,37902
1948-07-01,37830
1948-08-01,37524
1948-09-01,38026
1948-10-01,38177
1948-11-01,38080
1948-12-01,37884
1949-01-01,36970
1949-02-01,36928
1949-03-01,37116
1949-04-01,37137
1949-05-01,37553
1949-06-01,37641
1949-07-01,37164
1949-08-01,37353
1949-09-01,37667
1949-10-01,37583
1949-11-01,37950
1949-12-01,37525
1950-01-01,36836
1950-02-01,36861
1950-03-01,37208
1950-04-01,37781
1950-05-01,38327
1950-06-01,38902
1950-07-01,38306
1950-08-01,38877
1950-09-01,39017
1950-10-01,39419
1950-11-01,39323
1950-12-01,38834
1951-01-01,38486
1951-02-01,38430
1951-03-01,38961
1951-04-01,38980
1951-05-01,39576
1951-06-01,39280
1951-07-01,39420
1951-08-01,39420
1951-09-01,39644
1951-10-01,40336
1951-11-01,40128
1951-12-01,40132
1952-01-01,39506
1952-02-01,39638
1952-03-01,39848
1952-04-01,39882
1952-05-01,40430
1952-06-01,40410
1952-07-01,39923
1952-08-01,39962
1952-09-01,40828
1952-10-01,40838
1952-11-01,40986
1952-12-01,40865
1953-01-01,40777
1953-02-01,40824
1953-03-01,41192
1953-04-01,41031
1953-05-01,41149
1953-06-01,41467
1953-07-01,41176
1953-08-01,41214
1953-09-01,41514
1953-10-01,41914
1953-11-01,41843
1953-12-01,41040
1954-01-01,40193
1954-02-01,40532
1954-03-01,40365
1954-04-01,40489
1954-05-01,40794
1954-06-01,40718
1954-07-01,40336
1954-08-01,40411
1954-09-01,41023
1954-10-01,41301
1954-11-01,41348
1954-12-01,40991
1955-01-01,40691
1955-02-01,40694
1955-03-01,40866
1955-04-01,41307
1955-05-01,41960
1955-06-01,42111
1955-07-01,42125
1955-08-01,42294
1955-09-01,42737
1955-10-01,42967
1955-11-01,42721
1955-12-01,42524
1956-01-01,42015
1956-02-01,41828
1956-03-01,41914
1956-04-01,42330
1956-05-01,42826
1956-06-01,42743
1956-07-01,42457
1956-08-01,42669
1956-09-01,43211
1956-10-01,43499
1956-11-01,43110
1956-12-01,42651
1957-01-01,41846
1957-02-01,42305
1957-03-01,42560
1957-04-01,42809
1957-05-01,43203
1957-06-01,43120
1957-07-01,43113
1957-08-01,42897
1957-09-01,43440
1957-10-01,43748
1957-11-01,43256
1957-12-01,42755
1958-01-01,41728
1958-02-01,41422
1958-03-01,41583
1958-04-01,41897
1958-05-01,42369
1958-06-01,42221
1958-07-01,42110
1958-08-01,42270
1958-09-01,42832
1958-10-01,43288
1958-11-01,43006
1958-12-01,42636
1959-01-01,42011
1959-02-01,42013
1959-03-01,42613
1959-04-01,43186
1959-05-01,43610
1959-06-01,43571
1959-07-01,43234
1959-08-01,43006
1959-09-01,43424
1959-10-01,43809
1959-11-01,43241
1959-12-01,43209
1960-01-01,42550
1960-02-01,42785
1960-03-01,42693
1960-04-01,43565
1960-05-01,44032
1960-06-01,43868
1960-07-01,43483
1960-08-01,43449
1960-09-01,44178
1960-10-01,44009
1960-11-01,43887
1960-12-01,43083
1961-01-01,42381
1961-02-01,42333
1961-03-01,42947
1961-04-01,43298
1961-05-01,43646
1961-06-01,43720
1961-07-01,43143
1961-08-01,43096
1961-09-01,43691
1961-10-01,44226
1961-11-01,43815
1961-12-01,43314
1962-01-01,42781
1962-02-01,43100
1962-03-01,43347
1962-04-01,43473
1962-05-01,44018
1962-06-01,43739
1962-07-01,43408
1962-08-01,43648
1962-09-01,44327
1962-10-01,44591
1962-11-01,44245
1962-12-01,43757
1963-01-01,43098
1963-02-01,43299
1963-03-01,43789
1963-04-01,44268
1963-05-01,44568
1963-06-01,44374
1963-07-01,43978
1963-08-01,43902
1963-09-01,44626
1963-10-01,45026
1963-11-01,44848
1963-12-01,44403
1964-01-01,43724
1964-02-01,44048
1964-03-01,44296
1964-04-01,44866
1964-05-01,45355
1964-06-01,44931
1964-07-01,44466
1964-08-01,44468
1964-09-01,45008
1964-10-01,45277
1964-11-01,45178
1964-12-01,44887
1965-01-01,44430
1965-02-01,44530
1965-03-01,44872
1965-04-01,45256
1965-05-01,45628
1965-06-01,45599
1965-07-01,45096
1965-08-01,45114
1965-09-01,45612
1965-10-01,46002
1965-11-01,45949
1965-12-01,45723
1966-01-01,45108
1966-02-01,45291
1966-03-01,45466
1966-04-01,45869
1966-05-01,46198
1966-06-01,45866
1966-07-01,45436
1966-08-01,45537
1966-09-01,46440
1966-10-01,46770
1966-11-01,46820
1966-12-01,46517
1967-01-01,46009
1967-02-01,46085
1967-03-01,46135
1967-04-01,46461
1967-05-01,46529
1967-06-01,46227
1967-07-01,46155
1967-08-01,46385
1967-09-01,47091
1967-10-01,47510
1967-11-01,47537
1967-12-01,47623
1968-01-01,46752
1968-02-01,47105
1968-03-01,47344
1968-04-01,47535
1968-05-01,47913
1968-06-01,47580
1968-07-01,47066
1968-08-01,47034
1968-09-01,47799
1968-10-01,48094
1968-11-01,48291
1968-12-01,48312
1969-01-01,47786
1969-02-01,48099
1969-03-01,48122
1969-04-01,48209
1969-05-01,48420
1969-06-01,48110
1969-07-01,47823
1969-08-01,47982
1969-09-01,48668
1969-10-01,49130
1969-11-01,49121
1969-12-01,49238
1970-01-01,48583
1970-02-01,48591
1970-03-01,48726
1970-04-01,49002
1970-05-01,48845
1970-06-01,48543
1970-07-01,48195
1970-08-01,48140
1970-09-01,48690
1970-10-01,49157
1970-11-01,49170
1970-12-01,48907
1971-01-01,48388
1971-02-01,48526
1971-03-01,48514
1971-04-01,48689
1971-05-01,48987
1971-06-01,48651
1971-07-01,48194
1971-08-01,48348
1971-09-01,49239
1971-10-01,49700
1971-11-01,49896
1971-12-01,49758
1972-01-01,49384
1972-02-01,49677
1972-03-01,50067
1972-04-01,50181
1972-05-01,50392
1972-06-01,50047
1972-07-01,49845
1972-08-01,50002
1972-09-01,50817
1972-10-01,51195
1972-11-01,51297
1972-12-01,51423
1973-01-01,50711
1973-02-01,51150
1973-03-01,51466
1973-04-01,51797
1973-05-01,52079
1973-06-01,51829
1973-07-01,51747
1973-08-01,51725
1973-09-01,52745
1973-10-01,53359
1973-11-01,53400
1973-12-01,53244
1974-01-01,52814
1974-02-01,52920
1974-03-01,53106
1974-04-01,53173
1974-05-01,53676
1974-06-01,53361
1974-07-01,53234
1974-08-01,53223
1974-09-01,53953
1974-10-01,54312
1974-11-01,54016
1974-12-01,53560
1975-01-01,52439
1975-02-01,52327
1975-03-01,52543
1975-04-01,52788
1975-05-01,52991
1975-06-01,52758
1975-07-01,52686
1975-08-01,53129
1975-09-01,53926
1975-10-01,54546
1975-11-01,54391
1975-12-01,54253
1976-01-01,53935
1976-02-01,54101
1976-03-01,54569
1976-04-01,55007
1976-05-01,55272
1976-06-01,54952
1976-07-01,54626
1976-08-01,55013
1976-09-01,55894
1976-10-01,56327
1976-11-01,56294
1976-12-01,56240
1977-01-01,55603
1977-02-01,55876
1977-03-01,56368
1977-04-01,56826
1977-05-01,57247
1977-06-01,56918
1977-07-01,56667
1977-08-01,56915
1977-09-01,58100
1977-10-01,58506
1977-11-01,58770
1977-12-01,58831
1978-01-01,58339
1978-02-01,58675
1978-03-01,59048
1978-04-01,59462
1978-05-01,59601
1978-06-01,59400
1978-07-01,59087
1978-08-01,59193
1978-09-01,60622
1978-10-01,61172
1978-11-01,61222
1978-12-01,61135
1979-01-01,60457
1979-02-01,60846
1979-03-01,61238
1979-04-01,61258
1979-05-01,61642
1979-06-01,61368
1979-07-01,61411
1979-08-01,61527
1979-09-01,62787
1979-10-01,63150
1979-11-01,62993
1979-12-01,63280
1980-01-01,62539
1980-02-01,62728
1980-03-01,62864
1980-04-01,62850
1980-05-01,62835
1980-06-01,62334
1980-07-01,62018
1980-08-01,62232
1980-09-01,63479
1980-10-01,63821
1980-11-01,63963
1980-12-01,63859
1981-01-01,63325
1981-02-01,63703
1981-03-01,64268
1981-04-01,64699
1981-05-01,65007
1981-06-01,64394
1981-07-01,64210
1981-08-01,64371
1981-09-01,65111
1981-10-01,65513
1981-11-01,65461
1981-12-01,64896
1982-01-01,64250
1982-02-01,64608
1982-03-01,64691
1982-04-01,64818
1982-05-01,65287
1982-06-01,64828
1982-07-01,64605
1982-08-01,64833
1982-09-01,65402
1982-10-01,65615
1982-11-01,65379
1982-12-01,65097
1983-01-01,64499
1983-02-01,64659
1983-03-01,65145
1983-04-01,65691
1983-05-01,66068
1983-06-01,66140
1983-07-01,66298
1983-08-01,66815
1983-09-01,67857
1983-10-01,68248
1983-11-01,68503
1983-12-01,68412
1984-01-01,67950
1984-02-01,68515
1984-03-01,69082
1984-04-01,69509
1984-05-01,70338
1984-06-01,70234
1984-07-01,69963
1984-08-01,70355
1984-09-01,71040
1984-10-01,71546
1984-11-01,71527
1984-12-01,71433
1985-01-01,70806
1985-02-01,71169
1985-03-01,71740
1985-04-01,71980
1985-05-01,72374
1985-06-01,72061
1985-07-01,71970
1985-08-01,72341
1985-09-01,73397
1985-10-01,73842
1985-11-01,73898
1985-12-01,73814
1986-01-01,73687
1986-02-01,73472
1986-03-01,73985
1986-04-01,74361
1986-05-01,74729
1986-06-01,74769
1986-07-01,74743
1986-08-01,75095
1986-09-01,75987
1986-10-01,76438
1986-11-01,76384
1986-12-01,76483
1987-01-01,75742
1987-02-01,76202
1987-03-01,76675
1987-04-01,77298
1987-05-01,77950
1987-06-01,77615
1987-07-01,77607
1987-08-01,77806
1987-09-01,78697
1987-10-01,79198
1987-11-01,79294
1987-12-01,79170
1988-01-01,78556
1988-02-01,78853
1988-03-01,79365
1988-04-01,79956
1988-05-01,80252
1988-06-01,79974
1988-07-01,80072
1988-08-01,80247
1988-09-01,81046
1988-10-01,81685
1988-11-01,81830
1988-12-01,81645
1989-01-01,81384
1989-02-01,81641
1989-03-01,81932
1989-04-01,82273
1989-05-01,82741
1989-06-01,82581
1989-07-01,82432
1989-08-01,82671
1989-09-01,83511
1989-10-01,83963
1989-11-01,84152
1989-12-01,83910
1990-01-01,83369
1990-02-01,83628
1990-03-01,83859
1990-04-01,84119
1990-05-01,84750
1990-06-01,84409
1990-07-01,84055
1990-08-01,84118
1990-09-01,84713
1990-10-01,85156
1990-11-01,84787
1990-12-01,84358
1991-01-01,83354
1991-02-01,83577
1991-03-01,83730
1991-04-01,84507
1991-05-01,84719
1991-06-01,84678
1991-07-01,84473
1991-08-01,84381
