DATE,LNU02024230
1948-01-01,9516
1948-02-01,9542
1948-03-01,9588
1948-04-01,9826
1948-05-01,9882
1948-06-01,10091
1948-07-01,9996
1948-08-01,10076
1948-09-01,10062
1948-10-01,10168
1948-11-01,10108
1948-12-01,10019
1949-01-01,9715
1949-02-01,9640
1949-03-01,9650
1949-04-01,9799
1949-05-01,9840
1949-06-01,9911
1949-07-01,9770
1949-08-01,9896
1949-09-01,10083
1949-10-01,10230
1949-11-01,10272
1949-12-01,10068
1950-01-01,9821
1950-02-01,9797
1950-03-01,9892
1950-04-01,10015
1950-05-01,10280
1950-06-01,10266
1950-07-01,10216
1950-08-01,10336
1950-09-01,10360
1950-10-01,10395
1950-11-01,10427
1950-12-01,10175
1951-01-01,9954
1951-02-01,10047
1951-03-01,10434
1951-04-01,10455
1951-05-01,10638
1951-06-01,10645
1951-07-01,10530
1951-08-01,10626
1951-09-01,10642
1951-10-01,10624
1951-11-01,10638
1951-12-01,10472
1952-01-01,10408
1952-02-01,10280
1952-03-01,10224
1952-04-01,10406
1952-05-01,10732
1952-06-01,10642
1952-07-01,10614
1952-08-01,10772
1952-09-01,11118
1952-10-01,11132
1952-11-01,11268
1952-12-01,10862
1953-01-01,10669
1953-02-01,10680
1953-03-01,10976
1953-04-01,10958
1953-05-01,11045
1953-06-01,11199
1953-07-01,11095
1953-08-01,11183
1953-09-01,11091
1953-10-01,11280
1953-11-01,10924
1953-12-01,10571
1954-01-01,10599
1954-02-01,10681
1954-03-01,10701
1954-04-01,10918
1954-05-01,11008
1954-06-01,10917
1954-07-01,10810
1954-08-01,11057
1954-09-01,11249
1954-10-01,11393
1954-11-01,11185
1954-12-01,10938
1955-01-01,10773
1955-02-01,10739
1955-03-01,10965
1955-04-01,11266
1955-05-01,11383
1955-06-01,11309
1955-07-01,11396
1955-08-01,11496
1955-09-01,11659
1955-10-01,11840
1955-11-01,11764
1955-12-01,11516
1956-01-01,11485
1956-02-01,11395
1956-03-01,11709
1956-04-01,11912
1956-05-01,12105
1956-06-01,11932
1956-07-01,11878
1956-08-01,11857
1956-09-01,12026
1956-10-01,12068
1956-11-01,11925
1956-12-01,11707
1957-01-01,11429
1957-02-01,11572
1957-03-01,11734
1957-04-01,11771
1957-05-01,11919
1957-06-01,11930
1957-07-01,11760
1957-08-01,11621
1957-09-01,11806
1957-10-01,11876
1957-11-01,11700
1957-12-01,11660
