DATE,LNS12032194
1955-05-01,2063
1955-06-01,1982
1955-07-01,2123
1955-08-01,2203
1955-09-01,2133
1955-10-01,2093
1955-11-01,2199
1955-12-01,2149
1956-01-01,2149
1956-02-01,2087
1956-03-01,1980
1956-04-01,2051
1956-05-01,2194
1956-06-01,2331
1956-07-01,2287
1956-08-01,2353
1956-09-01,2399
1956-10-01,2417
1956-11-01,2414
1956-12-01,2306
1957-01-01,2283
1957-02-01,2426
1957-03-01,2435
1957-04-01,2283
1957-05-01,2377
1957-06-01,2476
1957-07-01,2449
1957-08-01,2440
1957-09-01,2484
1957-10-01,2641
1957-11-01,2643
1957-12-01,2712
1958-01-01,3291
1958-02-01,3437
1958-03-01,3972
1958-04-01,3743
1958-05-01,3602
1958-06-01,3340
1958-07-01,2955
1958-08-01,3178
1958-09-01,3166
1958-10-01,2969
1958-11-01,2805
1958-12-01,2825
1959-01-01,2749
1959-02-01,2515
1959-03-01,2846
1959-04-01,2592
1959-05-01,2353
1959-06-01,2543
1959-07-01,2668
1959-08-01,2599
1959-09-01,2507
1959-10-01,2730
1959-11-01,2799
1959-12-01,2734
1960-01-01,2507
1960-02-01,2565
1960-03-01,2405
1960-04-01,2769
1960-05-01,2733
1960-06-01,2904
1960-07-01,2830
1960-08-01,2933
1960-09-01,3071
1960-10-01,3069
1960-11-01,3119
1960-12-01,3305
1961-01-01,3428
1961-02-01,3561
1961-03-01,3325
1961-04-01,3295
1961-05-01,3269
1961-06-01,3151
1961-07-01,3035
1961-08-01,3152
1961-09-01,2976
1961-10-01,2913
1961-11-01,2875
1961-12-01,2645
1962-01-01,2392
1962-02-01,2631
1962-03-01,2783
1962-04-01,2596
1962-05-01,2756
1962-06-01,2683
1962-07-01,2759
1962-08-01,2626
1962-09-01,2675
1962-10-01,2704
1962-11-01,2714
1962-12-01,2575
1963-01-01,2613
1963-02-01,2560
1963-03-01,2645
1963-04-01,2644
1963-05-01,2571
1963-06-01,2627
1963-07-01,2482
1963-08-01,2740
1963-09-01,2723
1963-10-01,2647
1963-11-01,2623
1963-12-01,2580
1964-01-01,2428
1964-02-01,2567
1964-03-01,2467
1964-04-01,2562
1964-05-01,2539
1964-06-01,2484
1964-07-01,2369
1964-08-01,2369
1964-09-01,2455
1964-10-01,2435
1964-11-01,2367
1964-12-01,2462
1965-01-01,2383
1965-02-01,2304
1965-03-01,2296
1965-04-01,2230
1965-05-01,2258
1965-06-01,2170
1965-07-01,2289
1965-08-01,2259
1965-09-01,2019
1965-10-01,2168
1965-11-01,2077
1965-12-01,2037
1966-01-01,2081
1966-02-01,1884
1966-03-01,1905
1966-04-01,1908
1966-05-01,1923
1966-06-01,2185
1966-07-01,2128
1966-08-01,1942
1966-09-01,1856
1966-10-01,1857
1966-11-01,1738
1966-12-01,2007
1967-01-01,2182
1967-02-01,2322
1967-03-01,2308
1967-04-01,2374
1967-05-01,1835
1967-06-01,2095
1967-07-01,2062
1967-08-01,2069
1967-09-01,2233
1967-10-01,2180
1967-11-01,2227
1967-12-01,2124
1968-01-01,1873
1968-02-01,2153
1968-03-01,1983
1968-04-01,1943
1968-05-01,1933
1968-06-01,2052
1968-07-01,1950
1968-08-01,1962
1968-09-01,1946
1968-10-01,1883
1968-11-01,1927
1968-12-01,1988
1969-01-01,1914
1969-02-01,1952
1969-03-01,2044
1969-04-01,1951
1969-05-01,1961
1969-06-01,2092
1969-07-01,2004
1969-08-01,2142
1969-09-01,2190
1969-10-01,2165
1969-11-01,2084
1969-12-01,2122
1970-01-01,2182
1970-02-01,2186
1970-03-01,2236
1970-04-01,2631
1970-05-01,2487
1970-06-01,2353
1970-07-01,2493
1970-08-01,2438
1970-09-01,2425
1970-10-01,2612
1970-11-01,2581
1970-12-01,2760
1971-01-01,2756
1971-02-01,2732
1971-03-01,2747
1971-04-01,2806
1971-05-01,2720
1971-06-01,2431
1971-07-01,2701
1971-08-01,2676
1971-09-01,2636
1971-10-01,2726
1971-11-01,2819
1971-12-01,2606
1972-01-01,2669
1972-02-01,2585
1972-03-01,2637
1972-04-01,2728
1972-05-01,2565
1972-06-01,2805
1972-07-01,2799
1972-08-01,2831
1972-09-01,2678
1972-10-01,2562
1972-11-01,2407
1972-12-01,2366
1973-01-01,2170
1973-02-01,2393
1973-03-01,2369
1973-04-01,2338
1973-05-01,2392
1973-06-01,2744
1973-07-01,2703
1973-08-01,2609
1973-09-01,2644
1973-10-01,2655
1973-11-01,2687
1973-12-01,2846
1974-01-01,2748
1974-02-01,2963
1974-03-01,2720
1974-04-01,2629
1974-05-01,2872
1974-06-01,2784
1974-07-01,2821
1974-08-01,2993
1974-09-01,3184
1974-10-01,3188
1974-11-01,3484
1974-12-01,3583
1975-01-01,4133
1975-02-01,3994
1975-03-01,4087
1975-04-01,4179
1975-05-01,3972
1975-06-01,3774
1975-07-01,3669
1975-08-01,3650
1975-09-01,3566
1975-10-01,3600
1975-11-01,3554
1975-12-01,3544
1976-01-01,3776
1976-02-01,3536
1976-03-01,3507
1976-04-01,3515
1976-05-01,3572
1976-06-01,3462
1976-07-01,3497
1976-08-01,3542
1976-09-01,3670
1976-10-01,3781
1976-11-01,3768
1976-12-01,3728
1977-01-01,3580
1977-02-01,3883
1977-03-01,3596
1977-04-01,3407
1977-05-01,3555
1977-06-01,3648
1977-07-01,3726
1977-08-01,3568
1977-09-01,3610
1977-10-01,3577
1977-11-01,3577
1977-12-01,3501
1978-01-01,3333
1978-02-01,3495
1978-03-01,3524
1978-04-01,3588
1978-05-01,3533
1978-06-01,3669
1978-07-01,3563
1978-08-01,3603
1978-09-01,3566
1978-10-01,3510
1978-11-01,3428
1978-12-01,3309
1979-01-01,3451
1979-02-01,3486
1979-03-01,3494
1979-04-01,3535
1979-05-01,3532
1979-06-01,3701
1979-07-01,3556
1979-08-01,3627
1979-09-01,3495
1979-10-01,3530
1979-11-01,3692
1979-12-01,3787
1980-01-01,3736
1980-02-01,3765
1980-03-01,3730
1980-04-01,4163
1980-05-01,4700
1980-06-01,4553
1980-07-01,4520
1980-08-01,4619
1980-09-01,4512
1980-10-01,4505
1980-11-01,4497
1980-12-01,4449
1981-01-01,4626
1981-02-01,4493
1981-03-01,4474
1981-04-01,4424
1981-05-01,4532
1981-06-01,4434
1981-07-01,4725
1981-08-01,4713
1981-09-01,4809
1981-10-01,5332
1981-11-01,5204
1981-12-01,5536
1982-01-01,5067
1982-02-01,5737
1982-03-01,5938
1982-04-01,6049
1982-05-01,6112
1982-06-01,5997
1982-07-01,6084
1982-08-01,6221
1982-09-01,6705
1982-10-01,6857
1982-11-01,6704
1982-12-01,6657
1983-01-01,6733
1983-02-01,6570
1983-03-01,6448
1983-04-01,6300
1983-05-01,6229
1983-06-01,6240
1983-07-01,6182
1983-08-01,6248
1983-09-01,6196
1983-10-01,6009
1983-11-01,6141
1983-12-01,5882
1984-01-01,5934
1984-02-01,5904
1984-03-01,5665
1984-04-01,5761
1984-05-01,5566
1984-06-01,5884
1984-07-01,5744
1984-08-01,5589
1984-09-01,5728
1984-10-01,5710
1984-11-01,5626
1984-12-01,5797
1985-01-01,5629
1985-02-01,5273
1985-03-01,5718
1985-04-01,5629
1985-05-01,5828
1985-06-01,5618
1985-07-01,5583
1985-08-01,5750
1985-09-01,5602
1985-10-01,5459
1985-11-01,5494
1985-12-01,5512
1986-01-01,5541
1986-02-01,5258
1986-03-01,5555
1986-04-01,5825
1986-05-01,5908
1986-06-01,5628
1986-07-01,5415
1986-08-01,5521
1986-09-01,5615
1986-10-01,5769
1986-11-01,5512
1986-12-01,5613
1987-01-01,5482
1987-02-01,5569
1987-03-01,5436
1987-04-01,5350
1987-05-01,5386
1987-06-01,5242
1987-07-01,5493
1987-08-01,5334
1987-09-01,5309
1987-10-01,5455
1987-11-01,5527
1987-12-01,5279
1988-01-01,5297
1988-02-01,5316
1988-03-01,5278
1988-04-01,5137
1988-05-01,4917
1988-06-01,5294
1988-07-01,5460
1988-08-01,5259
1988-09-01,5085
1988-10-01,5005
1988-11-01,5033
1988-12-01,5369
1989-01-01,5055
1989-02-01,4902
1989-03-01,4871
1989-04-01,5048
1989-05-01,4897
1989-06-01,4969
1989-07-01,4924
1989-08-01,4888
1989-09-01,4825
1989-10-01,4743
1989-11-01,4800
1989-12-01,4817
1990-01-01,4856
1990-02-01,4809
1990-03-01,4856
1990-04-01,4941
1990-05-01,4988
1990-06-01,5364
1990-07-01,5276
1990-08-01,5365
1990-09-01,5364
1990-10-01,5474
1990-11-01,5492
1990-12-01,5699
1991-01-01,5465
1991-02-01,5971
1991-03-01,6062
1991-04-01,6263
1991-05-01,6052
1991-06-01,6106
1991-07-01,6151
1991-08-01,6180
1991-09-01,6437
1991-10-01,6385
1991-11-01,6495
1991-12-01,6455
1992-01-01,6593
1992-02-01,6551
1992-03-01,6531
1992-04-01,6492
1992-05-01,6550
1992-06-01,6462
1992-07-01,6509
1992-08-01,6485
1992-09-01,6410
1992-10-01,6575
1992-11-01,6628
1992-12-01,6458
1993-01-01,6196
1993-02-01,6627
1993-03-01,6318
1993-04-01,6586
1993-05-01,6543
1993-06-01,6635
1993-07-01,6700
1993-08-01,6681
1993-09-01,6575
1993-10-01,6376
1993-11-01,6250
1993-12-01,6291
1994-01-01,4947
1994-02-01,4677
1994-03-01,4890
1994-04-01,4752
1994-05-01,4836
1994-06-01,4816
1994-07-01,4505
1994-08-01,4359
1994-09-01,4332
1994-10-01,4472
1994-11-01,4468
1994-12-01,4440
1995-01-01,4550
1995-02-01,4397
1995-03-01,4451
1995-04-01,4428
1995-05-01,4513
1995-06-01,4489
1995-07-01,4436
1995-08-01,4513
1995-09-01,4580
1995-10-01,4462
1995-11-01,4489
1995-12-01,4434
1996-01-01,4022
1996-02-01,4420
1996-03-01,4429
1996-04-01,4464
1996-05-01,4327
1996-06-01,4312
1996-07-01,4358
1996-08-01,4391
1996-09-01,4382
1996-10-01,4372
1996-11-01,4025
1996-12-01,4365
1997-01-01,4189
1997-02-01,4242
1997-03-01,4112
1997-04-01,4396
1997-05-01,4032
1997-06-01,3998
1997-07-01,4040
1997-08-01,4049
1997-09-01,4004
1997-10-01,3973
1997-11-01,3962
1997-12-01,3848
1998-01-01,3922
1998-02-01,3866
1998-03-01,3859
1998-04-01,3775
1998-05-01,3727
1998-06-01,3766
1998-07-01,3796
1998-08-01,3537
1998-09-01,3448
1998-10-01,3433
1998-11-01,3339
1998-12-01,3420
1999-01-01,3449
1999-02-01,3425
1999-03-01,3550
1999-04-01,3443
1999-05-01,3393
1999-06-01,3411
1999-07-01,3350
1999-08-01,3286
1999-09-01,3279
1999-10-01,3153
1999-11-01,3225
1999-12-01,3283
2000-01-01,3208
2000-02-01,3167
2000-03-01,3231
2000-04-01,3186
2000-05-01,3283
2000-06-01,3209
2000-07-01,3144
2000-08-01,3211
2000-09-01,3217
2000-10-01,3179
2000-11-01,3467
2000-12-01,3243
2001-01-01,3332
2001-02-01,3296
2001-03-01,3280
2001-04-01,3289
2001-05-01,3439
2001-06-01,3792
2001-07-01,3556
2001-08-01,3380
2001-09-01,4233
2001-10-01,4437
2001-11-01,4317
2001-12-01,4393
2002-01-01,4112
2002-02-01,4289
2002-03-01,4101
2002-04-01,4199
2002-05-01,4103
2002-06-01,4048
2002-07-01,4145
2002-08-01,4301
2002-09-01,4329
2002-10-01,4314
2002-11-01,4329
2002-12-01,4321
2003-01-01,4607
2003-02-01,4844
2003-03-01,4652
2003-04-01,4798
2003-05-01,4570
2003-06-01,4592
2003-07-01,4648
2003-08-01,4419
2003-09-01,4882
2003-10-01,4813
2003-11-01,4862
2003-12-01,4750
2004-01-01,4705
2004-02-01,4549
2004-03-01,4742
2004-04-01,4568
2004-05-01,4588
2004-06-01,4443
2004-07-01,4449
2004-08-01,4474
2004-09-01,4487
2004-10-01,4820
2004-11-01,4547
2004-12-01,4427
2005-01-01,4389
2005-02-01,4250
2005-03-01,4388
2005-04-01,4278
2005-05-01,4315
2005-06-01,4432
2005-07-01,4400
2005-08-01,4491
2005-09-01,4675
2005-10-01,4269
2005-11-01,4219
2005-12-01,4115
2006-01-01,4123
2006-02-01,4174
2006-03-01,3972
2006-04-01,3900
2006-05-01,4111
2006-06-01,4318
2006-07-01,4303
2006-08-01,4195
2006-09-01,4115
2006-10-01,4352
2006-11-01,4190
2006-12-01,4187
2007-01-01,4279
2007-02-01,4220
2007-03-01,4253
2007-04-01,4313
2007-05-01,4473
2007-06-01,4342
2007-07-01,4410
2007-08-01,4576
2007-09-01,4521
2007-10-01,4325
2007-11-01,4494
2007-12-01,4618
2008-01-01,4846
2008-02-01,4902
2008-03-01,4904
2008-04-01,5220
2008-05-01,5286
2008-06-01,5540
2008-07-01,5930
2008-08-01,5851
2008-09-01,6148
2008-10-01,6690
2008-11-01,7311
2008-12-01,8029
2009-01-01,8046
2009-02-01,8796
2009-03-01,9145
2009-04-01,8908
2009-05-01,9113
2009-06-01,9024
2009-07-01,8891
2009-08-01,9029
2009-09-01,8847
2009-10-01,8979
2009-11-01,9114
2009-12-01,9098
2010-01-01,8530
2010-02-01,8936
2010-03-01,9233
2010-04-01,9178
2010-05-01,8845
2010-06-01,8577
2010-07-01,8500
2010-08-01,8800
2010-09-01,9246
2010-10-01,8837
2010-11-01,8873
2010-12-01,8935
2011-01-01,8470
2011-02-01,8464
2011-03-01,8645
2011-04-01,8652
2011-05-01,8576
2011-06-01,8427
2011-07-01,8281
2011-08-01,8788
2011-09-01,9166
2011-10-01,8657
2011-11-01,8447
2011-12-01,8171
2012-01-01,8305
2012-02-01,8238
2012-03-01,7775
2012-04-01,7913
2012-05-01,8101
2012-06-01,8072
2012-07-01,8082
2012-08-01,7974
2012-09-01,8671
2012-10-01,8203
2012-11-01,8166
2012-12-01,7943
2013-01-01,8151
2013-02-01,8178
2013-03-01,7722
2013-04-01,7964
2013-05-01,7937
2013-06-01,8103
2013-07-01,8099
2013-08-01,7816
2013-09-01,7764
2013-10-01,7936
2013-11-01,7718
2013-12-01,7827
2014-01-01,7296
2014-02-01,7299
2014-03-01,7435
2014-04-01,7509
2014-05-01,7254
2014-06-01,7422
2014-07-01,7402
2014-08-01,7177
2014-09-01,7020
2014-10-01,7025
2014-11-01,6898
2014-12-01,6856
2015-01-01,6808
2015-02-01,6671
2015-03-01,6629
2015-04-01,6608
2015-05-01,6628
2015-06-01,6383
2015-07-01,6249
2015-08-01,6423
2015-09-01,6043
2015-10-01,5811
2015-11-01,6174
2015-12-01,6084
2016-01-01,5941
2016-02-01,5978
2016-03-01,6066
2016-04-01,6006
2016-05-01,6467
2016-06-01,5748
2016-07-01,5926
2016-08-01,5995
2016-09-01,5918
2016-10-01,5971
2016-11-01,5738
2016-12-01,5621
2017-01-01,5753
2017-02-01,5603
2017-03-01,5455
2017-04-01,5279
2017-05-01,5234
2017-06-01,5266
2017-07-01,5281
2017-08-01,5237
2017-09-01,5179
2017-10-01,4912
2017-11-01,4866
2017-12-01,4986
2018-01-01,4982
2018-02-01,5115
2018-03-01,4969
2018-04-01,4952
2018-05-01,4920
2018-06-01,4736
2018-07-01,4588
2018-08-01,4368
2018-09-01,4656
2018-10-01,4630
2018-11-01,4781
2018-12-01,4657
2019-01-01,5147
2019-02-01,4310
2019-03-01,4499
2019-04-01,4654
2019-05-01,4355
2019-06-01,4347
2019-07-01,3984
