DATE,G160731A027NBEA
1959-01-01,3.959
1960-01-01,4.243
1961-01-01,4.781
1962-01-01,4.936
1963-01-01,5.331
1964-01-01,5.54
1965-01-01,6.022
1966-01-01,6.148
1967-01-01,6.739
1968-01-01,7.281
1969-01-01,8.04
1970-01-01,9.102
1971-01-01,10.6
1972-01-01,12.036
1973-01-01,13.992
1974-01-01,15.91
1975-01-01,18.148
1976-01-01,20.475
1977-01-01,22.812
1978-01-01,24.46
1979-01-01,27.422
1980-01-01,30.084
1981-01-01,33.141
1982-01-01,34.356
1983-01-01,35.194
1984-01-01,35.628
1985-01-01,36.94
1986-01-01,37.936
1987-01-01,38.722
1988-01-01,40.215
1989-01-01,41.949
1990-01-01,44.377
1991-01-01,47.303
1992-01-01,51.064
1993-01-01,57.326
1994-01-01,59.436
1995-01-01,62.859
1996-01-01,67.931
1997-01-01,70.79
1998-01-01,72.503
1999-01-01,76.641
2000-01-01,81.331
2001-01-01,87.778
2002-01-01,96.831
2003-01-01,104.195
2004-01-01,113.458
2005-01-01,123.206
2006-01-01,132.896
2007-01-01,142.364
2008-01-01,152.403
2009-01-01,169.45
2010-01-01,178.562
2011-01-01,187.749
2012-01-01,201.244
2013-01-01,212.112
2014-01-01,218.411
2015-01-01,227.121
2016-01-01,235.268
2017-01-01,245.876
