DATE,LNU03000000
1948-01-01,2351
1948-02-01,2807
1948-03-01,2646
1948-04-01,2407
1948-05-01,2014
1948-06-01,2408
1948-07-01,2411
1948-08-01,2238
1948-09-01,2061
1948-10-01,1747
1948-11-01,2033
1948-12-01,2205
1949-01-01,2995
1949-02-01,3474
1949-03-01,3383
1949-04-01,3277
1949-05-01,3516
1949-06-01,3966
1949-07-01,4388
1949-08-01,3956
1949-09-01,3635
1949-10-01,3788
1949-11-01,3570
1949-12-01,3690
1950-01-01,4648
1950-02-01,4791
1950-03-01,4313
1950-04-01,3665
1950-05-01,3263
1950-06-01,3551
1950-07-01,3316
1950-08-01,2613
1950-09-01,2490
1950-10-01,2055
1950-11-01,2356
1950-12-01,2409
1951-01-01,2649
1951-02-01,2538
1951-03-01,2323
1951-04-01,1938
1951-05-01,1770
1951-06-01,2132
1951-07-01,2072
1951-08-01,1806
1951-09-01,1886
1951-10-01,1754
1951-11-01,1990
1951-12-01,1796
1952-01-01,2258
1952-02-01,2340
1952-03-01,2002
1952-04-01,1836
1952-05-01,1782
1952-06-01,2032
1952-07-01,2085
1952-08-01,1918
1952-09-01,1728
1952-10-01,1480
1952-11-01,1594
1952-12-01,1545
1953-01-01,2132
1953-02-01,1964
1953-03-01,1828
1953-04-01,1764
1953-05-01,1536
1953-06-01,1732
1953-07-01,1710
1953-08-01,1512
1953-09-01,1619
1953-10-01,1572
1953-11-01,2017
1953-12-01,2634
1954-01-01,3561
1954-02-01,3983
1954-03-01,4037
1954-04-01,3846
1954-05-01,3658
1954-06-01,3681
1954-07-01,3679
1954-08-01,3470
1954-09-01,3433
1954-10-01,2929
1954-11-01,3115
1954-12-01,3009
1955-01-01,3669
1955-02-01,3569
1955-03-01,3297
1955-04-01,3162
1955-05-01,2690
1955-06-01,2893
1955-07-01,2662
1955-08-01,2536
1955-09-01,2338
1955-10-01,2284
1955-11-01,2536
1955-12-01,2601
1956-01-01,3066
1956-02-01,3092
1956-03-01,3095
1956-04-01,2710
1956-05-01,2799
1956-06-01,3179
1956-07-01,2984
1956-08-01,2467
1956-09-01,2273
1956-10-01,2091
1956-11-01,2599
1956-12-01,2660
1957-01-01,3206
1957-02-01,3085
1957-03-01,2822
1957-04-01,2627
1957-05-01,2635
1957-06-01,3131
1957-07-01,2843
1957-08-01,2526
1957-09-01,2503
1957-10-01,2465
1957-11-01,3127
1957-12-01,3332
1958-01-01,4464
1958-02-01,5116
1958-03-01,5155
1958-04-01,5064
1958-05-01,4832
1958-06-01,5223
1958-07-01,5098
1958-08-01,4607
1958-09-01,4058
1958-10-01,3750
1958-11-01,3785
1958-12-01,4068
1959-01-01,4678
1959-02-01,4698
1959-03-01,4298
1959-04-01,3558
1959-05-01,3327
1959-06-01,3780
1959-07-01,3605
1959-08-01,3347
1959-09-01,3195
1959-10-01,3231
1959-11-01,3636
1959-12-01,3521
1960-01-01,4119
1960-02-01,3886
1960-03-01,4164
1960-04-01,3607
1960-05-01,3380
1960-06-01,4172
1960-07-01,3884
1960-08-01,3711
1960-09-01,3315
1960-10-01,3537
1960-11-01,3967
1960-12-01,4470
1961-01-01,5335
1961-02-01,5654
1961-03-01,5423
1961-04-01,4887
1961-05-01,4671
1961-06-01,5313
1961-07-01,4961
1961-08-01,4440
1961-09-01,4034
1961-10-01,3863
1961-11-01,3941
1961-12-01,4041
1962-01-01,4621
1962-02-01,4481
1962-03-01,4323
1962-04-01,3863
1962-05-01,3592
1962-06-01,4219
1962-07-01,3829
1962-08-01,3842
1962-09-01,3455
1962-10-01,3234
1962-11-01,3726
1962-12-01,3760
1963-01-01,4627
1963-02-01,4870
1963-03-01,4442
1963-04-01,3993
1963-05-01,3949
1963-06-01,4554
1963-07-01,4140
1963-08-01,3755
1963-09-01,3470
1963-10-01,3394
1963-11-01,3858
1963-12-01,3788
1964-01-01,4518
1964-02-01,4461
1964-03-01,4225
1964-04-01,3831
1964-05-01,3528
1964-06-01,4453
1964-07-01,3675
1964-08-01,3551
1964-09-01,3262
1964-10-01,3198
1964-11-01,3318
1964-12-01,3409
1965-01-01,3942
1965-02-01,4172
1965-03-01,3699
1965-04-01,3492
1965-05-01,3214
1965-06-01,4057
1965-07-01,3429
1965-08-01,3165
1965-09-01,2842
1965-10-01,2709
1965-11-01,2888
1965-12-01,2786
1966-01-01,3244
1966-02-01,3109
1966-03-01,2990
1966-04-01,2730
1966-05-01,2793
1966-06-01,3592
1966-07-01,3050
1966-08-01,2821
1966-09-01,2503
1966-10-01,2465
1966-11-01,2579
1966-12-01,2655
1967-01-01,3159
1967-02-01,3184
1967-03-01,2954
1967-04-01,2664
1967-05-01,2458
1967-06-01,3628
1967-07-01,3249
1967-08-01,2942
1967-09-01,2895
1967-10-01,2952
1967-11-01,2903
1967-12-01,2720
1968-01-01,3074
1968-02-01,3287
1968-03-01,2929
1968-04-01,2491
1968-05-01,2304
1968-06-01,3615
1968-07-01,3217
1968-08-01,2772
1968-09-01,2607
1968-10-01,2510
1968-11-01,2576
1968-12-01,2418
1969-01-01,2875
1969-02-01,2923
1969-03-01,2747
1969-04-01,2542
1969-05-01,2300
1969-06-01,3399
1969-07-01,3182
1969-08-01,2870
1969-09-01,2958
1969-10-01,2840
1969-11-01,2711
1969-12-01,2627
1970-01-01,3406
1970-02-01,3794
1970-03-01,3732
1970-04-01,3552
1970-05-01,3385
1970-06-01,4671
1970-07-01,4514
1970-08-01,4226
1970-09-01,4300
1970-10-01,4269
1970-11-01,4618
1970-12-01,4650
1971-01-01,5429
1971-02-01,5458
1971-03-01,5190
1971-04-01,4712
1971-05-01,4415
1971-06-01,5511
1971-07-01,5354
1971-08-01,5086
1971-09-01,4867
1971-10-01,4599
1971-11-01,4846
1971-12-01,4728
1972-01-01,5481
1972-02-01,5446
1972-03-01,5250
1972-04-01,4732
1972-05-01,4382
1972-06-01,5467
1972-07-01,5216
1972-08-01,4901
1972-09-01,4705
1972-10-01,4518
1972-11-01,4317
1972-12-01,4169
1973-01-01,4730
1973-02-01,4898
1973-03-01,4564
1973-04-01,4227
1973-05-01,3855
