DATE,LNU02000036
1948-01-01,6767
1948-02-01,6705
1948-03-01,6613
1948-04-01,6768
1948-05-01,6858
1948-06-01,7138
1948-07-01,7201
1948-08-01,7238
1948-09-01,7177
1948-10-01,6983
1948-11-01,6992
1948-12-01,6808
1949-01-01,6438
1949-02-01,6320
1949-03-01,6567
1949-04-01,6543
1949-05-01,6688
1949-06-01,6791
1949-07-01,6849
1949-08-01,6844
1949-09-01,6809
1949-10-01,6610
1949-11-01,6756
1949-12-01,6699
1950-01-01,6439
1950-02-01,6395
1950-03-01,6482
1950-04-01,6666
1950-05-01,6705
1950-06-01,6791
1950-07-01,6801
1950-08-01,7074
1950-09-01,7003
1950-10-01,6984
1950-11-01,6821
1950-12-01,6793
1951-01-01,6483
1951-02-01,6373
1951-03-01,6528
1951-04-01,6390
1951-05-01,6380
1951-06-01,6368
1951-07-01,6390
1951-08-01,6384
1951-09-01,6268
1951-10-01,6150
1951-11-01,6124
1951-12-01,6014
1952-01-01,5738
1952-02-01,5640
1952-03-01,5538
1952-04-01,5536
1952-05-01,5544
1952-06-01,5702
1952-07-01,5692
1952-08-01,5650
1952-09-01,5492
1952-10-01,5382
1952-11-01,5474
1952-12-01,5468
1953-01-01,5343
1953-02-01,5308
1953-03-01,5221
1953-04-01,5229
1953-05-01,5382
1953-06-01,5300
1953-07-01,5374
1953-08-01,5296
1953-09-01,5216
1953-10-01,5128
1953-11-01,5038
1953-12-01,4870
1954-01-01,4684
1954-02-01,4711
1954-03-01,4820
1954-04-01,4855
1954-05-01,4960
1954-06-01,5030
1954-07-01,5128
1954-08-01,5178
1954-09-01,5183
1954-10-01,5090
1954-11-01,5065
1954-12-01,4954
1955-01-01,4876
1955-02-01,4956
1955-03-01,4976
1955-04-01,5044
1955-05-01,5100
1955-06-01,5226
1955-07-01,5428
1955-08-01,5541
1955-09-01,5523
1955-10-01,5559
1955-11-01,5578
1955-12-01,5440
1956-01-01,5181
1956-02-01,5272
1956-03-01,5272
1956-04-01,5359
1956-05-01,5516
1956-06-01,5714
1956-07-01,5742
1956-08-01,5802
1956-09-01,5730
1956-10-01,5746
1956-11-01,5661
1956-12-01,5544
1957-01-01,5466
1957-02-01,5339
1957-03-01,5485
1957-04-01,5477
1957-05-01,5581
1957-06-01,5787
1957-07-01,6017
1957-08-01,5916
1957-09-01,5744
1957-10-01,5704
1957-11-01,5578
1957-12-01,5597
1958-01-01,5354
1958-02-01,5241
1958-03-01,5274
1958-04-01,5322
1958-05-01,5486
1958-06-01,5713
1958-07-01,5776
1958-08-01,5854
1958-09-01,5699
1958-10-01,5786
1958-11-01,5744
1958-12-01,5594
1959-01-01,5420
1959-02-01,5375
1959-03-01,5525
1959-04-01,5721
1959-05-01,5852
1959-06-01,6009
1959-07-01,6109
1959-08-01,6185
1959-09-01,6058
1959-10-01,6115
1959-11-01,6010
1959-12-01,6063
1960-01-01,5787
1960-02-01,5824
1960-03-01,5828
1960-04-01,6010
1960-05-01,6151
1960-06-01,6351
1960-07-01,6391
1960-08-01,6402
1960-09-01,6265
1960-10-01,6208
1960-11-01,6150
1960-12-01,6073
1961-01-01,6016
1961-02-01,5992
1961-03-01,5974
1961-04-01,5912
1961-05-01,6045
1961-06-01,6215
1961-07-01,6349
1961-08-01,6517
1961-09-01,6539
1961-10-01,6421
1961-11-01,6421
1961-12-01,6329
1962-01-01,6077
1962-02-01,6050
1962-03-01,6053
1962-04-01,6183
1962-05-01,6317
1962-06-01,6631
1962-07-01,6681
1962-08-01,6730
1962-09-01,6610
1962-10-01,6718
1962-11-01,6675
1962-12-01,6628
1963-01-01,6405
1963-02-01,6491
1963-03-01,6546
1963-04-01,6637
1963-05-01,6719
1963-06-01,7005
1963-07-01,7174
1963-08-01,7113
1963-09-01,6922
1963-10-01,6913
1963-11-01,6913
1963-12-01,6940
1964-01-01,6753
1964-02-01,6826
1964-03-01,6932
