DATE,LNU02034560
1948-01-01,6846
1948-02-01,6587
1948-03-01,6677
1948-04-01,7222
1948-05-01,7556
1948-06-01,8773
1948-07-01,8509
1948-08-01,7933
1948-09-01,8352
1948-10-01,8311
1948-11-01,7650
1948-12-01,7127
1949-01-01,6581
1949-02-01,6749
1949-03-01,7152
1949-04-01,7554
1949-05-01,8581
1949-06-01,9058
1949-07-01,8987
1949-08-01,7956
1949-09-01,7758
1949-10-01,7384
1949-11-01,7565
1949-12-01,6588
1950-01-01,6058
1950-02-01,6058
1950-03-01,6472
1950-04-01,6952
1950-05-01,7696
1950-06-01,8434
1950-07-01,7905
1950-08-01,7601
1950-09-01,7427
1950-10-01,8059
1950-11-01,7251
1950-12-01,6036
1951-01-01,5805
1951-02-01,5759
1951-03-01,6199
1951-04-01,6436
1951-05-01,7145
1951-06-01,7510
1951-07-01,7366
1951-08-01,7114
1951-09-01,7080
1951-10-01,7324
1951-11-01,6766
1951-12-01,6216
1952-01-01,6002
1952-02-01,5922
1952-03-01,5860
1952-04-01,6220
1952-05-01,6690
1952-06-01,7548
1952-07-01,7047
1952-08-01,6480
1952-09-01,7074
1952-10-01,7008
1952-11-01,6588
1952-12-01,5572
1953-01-01,5608
1953-02-01,5419
1953-03-01,5737
1953-04-01,6060
1953-05-01,6221
1953-06-01,7308
1953-07-01,6960
1953-08-01,6668
1953-09-01,6739
1953-10-01,6770
1953-11-01,6394
1953-12-01,5231
1954-01-01,5171
1954-02-01,5540
1954-03-01,5743
1954-04-01,5869
1954-05-01,6549
1954-06-01,7076
1954-07-01,6949
1954-08-01,6444
1954-09-01,7069
1954-10-01,6907
1954-11-01,5947
1954-12-01,5195
1955-01-01,5205
1955-02-01,5005
1955-03-01,5589
1955-04-01,6058
1955-05-01,6697
1955-06-01,7192
1955-07-01,7207
1955-08-01,6997
1955-09-01,7491
1955-10-01,7545
1955-11-01,6671
1955-12-01,5731
1956-01-01,5474
1956-02-01,5352
1956-03-01,5528
1956-04-01,6174
1956-05-01,6802
1956-06-01,7321
1956-07-01,7134
1956-08-01,6737
1956-09-01,7023
1956-10-01,6857
1956-11-01,5997
1956-12-01,5010
1957-01-01,4821
1957-02-01,5045
1957-03-01,5266
1957-04-01,5604
1957-05-01,6389
1957-06-01,6976
1957-07-01,7257
1957-08-01,6331
1957-09-01,6251
1957-10-01,6511
1957-11-01,5654
1957-12-01,5235
1958-01-01,4863
1958-02-01,4722
1958-03-01,4947
1958-04-01,5390
1958-05-01,5995
1958-06-01,6395
1958-07-01,6251
1958-08-01,6133
1958-09-01,5920
1958-10-01,6121
1958-11-01,5525
1958-12-01,4773
1959-01-01,4572
1959-02-01,4554
1959-03-01,5045
1959-04-01,5651
1959-05-01,6137
1959-06-01,6689
1959-07-01,6325
1959-08-01,5915
1959-09-01,5941
1959-10-01,5864
1959-11-01,5421
1959-12-01,4664
1960-01-01,4506
1960-02-01,4516
1960-03-01,4444
1960-04-01,5239
1960-05-01,5639
1960-06-01,6354
1960-07-01,6357
1960-08-01,6010
1960-09-01,6255
1960-10-01,5930
1960-11-01,5439
1960-12-01,4808
1961-01-01,4524
1961-02-01,4570
1961-03-01,4809
1961-04-01,4845
1961-05-01,5346
1961-06-01,6110
1961-07-01,5919
1961-08-01,5858
1961-09-01,5429
1961-10-01,5659
1961-11-01,5028
1961-12-01,4299
1962-01-01,4308
1962-02-01,4454
1962-03-01,4642
1962-04-01,4828
1962-05-01,5190
1962-06-01,5804
1962-07-01,5577
1962-08-01,5301
1962-09-01,5279
1962-10-01,5222
1962-11-01,4757
1962-12-01,3962
1963-01-01,4104
1963-02-01,3945
1963-03-01,4220
1963-04-01,4492
1963-05-01,4922
1963-06-01,5451
1963-07-01,5416
1963-08-01,5016
1963-09-01,5051
1963-10-01,5094
1963-11-01,4603
1963-12-01,3928
1964-01-01,3888
1964-02-01,3843
1964-03-01,3895
1964-04-01,4263
1964-05-01,4776
1964-06-01,5361
1964-07-01,5326
1964-08-01,4989
1964-09-01,4977
1964-10-01,4889
1964-11-01,4382
1964-12-01,3687
1965-01-01,3649
1965-02-01,3704
1965-03-01,3875
1965-04-01,4304
1965-05-01,4910
1965-06-01,5225
1965-07-01,5127
1965-08-01,4746
1965-09-01,4566
1965-10-01,4710
1965-11-01,3974
1965-12-01,3543
1966-01-01,3447
1966-02-01,3478
1966-03-01,3645
1966-04-01,4016
1966-05-01,4095
1966-06-01,4704
1966-07-01,4580
1966-08-01,4307
1966-09-01,4186
1966-10-01,4114
1966-11-01,3815
1966-12-01,3360
1967-01-01,3335
1967-02-01,3280
1967-03-01,3410
1967-04-01,3722
1967-05-01,3824
1967-06-01,4396
1967-07-01,4516
1967-08-01,4378
1967-09-01,3931
1967-10-01,4032
1967-11-01,3759
1967-12-01,3544
1968-01-01,3365
1968-02-01,3462
1968-03-01,3537
1968-04-01,3851
1968-05-01,3995
1968-06-01,4516
1968-07-01,4477
1968-08-01,4107
1968-09-01,3836
1968-10-01,3768
1968-11-01,3607
1968-12-01,3278
1969-01-01,3165
1969-02-01,3285
1969-03-01,3327
1969-04-01,3606
1969-05-01,3895
1969-06-01,4368
1969-07-01,4155
1969-08-01,3977
1969-09-01,3630
1969-10-01,3561
1969-11-01,3322
1969-12-01,2984
1970-01-01,2916
1970-02-01,2994
1970-03-01,3170
1970-04-01,3531
1970-05-01,3726
1970-06-01,4209
1970-07-01,4120
