DATE,CEU2000000001
1939-01-01,981
1939-02-01,970
1939-03-01,1091
1939-04-01,1181
1939-05-01,1286
1939-06-01,1328
1939-07-01,1341
1939-08-01,1368
1939-09-01,1342
1939-10-01,1291
1939-11-01,1218
1939-12-01,1066
1940-01-01,961
1940-02-01,986
1940-03-01,1072
1940-04-01,1203
1940-05-01,1319
1940-06-01,1358
1940-07-01,1401
1940-08-01,1430
1940-09-01,1529
1940-10-01,1610
1940-11-01,1667
1940-12-01,1689
1941-01-01,1666
1941-02-01,1627
1941-03-01,1592
1941-04-01,1698
1941-05-01,1800
1941-06-01,1866
1941-07-01,2020
1941-08-01,2079
1941-09-01,2100
1941-10-01,2033
1941-11-01,1943
1941-12-01,1797
1942-01-01,1738
1942-02-01,1712
1942-03-01,1897
1942-04-01,2104
1942-05-01,2287
1942-06-01,2469
1942-07-01,2631
1942-08-01,2643
1942-09-01,2596
1942-10-01,2435
1942-11-01,2275
1942-12-01,2019
1943-01-01,1896
1943-02-01,1842
1943-03-01,1825
1943-04-01,1802
1943-05-01,1755
1943-06-01,1730
1943-07-01,1641
1943-08-01,1584
1943-09-01,1511
1943-10-01,1402
1943-11-01,1331
1943-12-01,1205
1944-01-01,1172
1944-02-01,1126
1944-03-01,1119
1944-04-01,1133
1944-05-01,1167
1944-06-01,1206
1944-07-01,1211
1944-08-01,1215
1944-09-01,1183
1944-10-01,1150
1944-11-01,1114
1944-12-01,1025
1945-01-01,1006
1945-02-01,1015
1945-03-01,1058
1945-04-01,1109
1945-05-01,1149
1945-06-01,1204
1945-07-01,1245
1945-08-01,1290
1945-09-01,1290
1945-10-01,1309
1945-11-01,1325
1945-12-01,1274
1946-01-01,1280
1946-02-01,1312
1946-03-01,1437
1946-04-01,1583
1946-05-01,1679
1946-06-01,1766
1946-07-01,1868
1946-08-01,1954
1946-09-01,1990
1946-10-01,1976
1946-11-01,1954
1946-12-01,1892
1947-01-01,1769
1947-02-01,1747
1947-03-01,1794
1947-04-01,1908
1947-05-01,2004
1947-06-01,2154
1947-07-01,2199
1947-08-01,2264
1947-09-01,2263
1947-10-01,2236
1947-11-01,2172
1947-12-01,2101
1948-01-01,2000
1948-02-01,1862
1948-03-01,1949
1948-04-01,2090
1948-05-01,2230
1948-06-01,2366
1948-07-01,2426
1948-08-01,2463
1948-09-01,2449
1948-10-01,2413
1948-11-01,2367
1948-12-01,2278
1949-01-01,2093
1949-02-01,2002
1949-03-01,2024
1949-04-01,2114
1949-05-01,2217
1949-06-01,2287
1949-07-01,2359
1949-08-01,2423
1949-09-01,2423
1949-10-01,2388
1949-11-01,2328
1949-12-01,2169
1950-01-01,1997
1950-02-01,1932
1950-03-01,1986
1950-04-01,2158
1950-05-01,2330
1950-06-01,2503
1950-07-01,2623
1950-08-01,2723
1950-09-01,2721
1950-10-01,2727
1950-11-01,2665
1950-12-01,2495
1951-01-01,2372
1951-02-01,2317
1951-03-01,2411
1951-04-01,2563
1951-05-01,2697
1951-06-01,2793
1951-07-01,2867
1951-08-01,2929
1951-09-01,2890
1951-10-01,2888
1951-11-01,2760
1951-12-01,2643
1952-01-01,2439
1952-02-01,2436
1952-03-01,2429
1952-04-01,2559
1952-05-01,2674
1952-06-01,2827
1952-07-01,2893
1952-08-01,2964
1952-09-01,2947
1952-10-01,2883
1952-11-01,2805
1952-12-01,2655
1953-01-01,2457
1953-02-01,2436
1953-03-01,2463
1953-04-01,2581
1953-05-01,2677
1953-06-01,2779
1953-07-01,2847
1953-08-01,2909
1953-09-01,2914
1953-10-01,2898
1953-11-01,2797
1953-12-01,2643
1954-01-01,2362
1954-02-01,2370
1954-03-01,2426
1954-04-01,2572
1954-05-01,2682
1954-06-01,2798
1954-07-01,2871
1954-08-01,2929
1954-09-01,2908
1954-10-01,2869
1954-11-01,2815
1954-12-01,2654
1955-01-01,2465
1955-02-01,2420
1955-03-01,2541
1955-04-01,2734
1955-05-01,2917
1955-06-01,3060
1955-07-01,3155
1955-08-01,3196
1955-09-01,3180
1955-10-01,3102
1955-11-01,2989
1955-12-01,2811
1956-01-01,2619
1956-02-01,2609
1956-03-01,2684
1956-04-01,2886
1956-05-01,3095
1956-06-01,3359
1956-07-01,3352
1956-08-01,3447
1956-09-01,3402
1956-10-01,3326
1956-11-01,3195
1956-12-01,3009
1957-01-01,2677
1957-02-01,2664
1957-03-01,2739
1957-04-01,2894
1957-05-01,3059
1957-06-01,3203
1957-07-01,3254
1957-08-01,3286
1957-09-01,3250
1957-10-01,3192
1957-11-01,3036
1957-12-01,2834
1958-01-01,2601
1958-02-01,2375
1958-03-01,2500
1958-04-01,2664
1958-05-01,2842
1958-06-01,2969
1958-07-01,3059
1958-08-01,3146
1958-09-01,3157
1958-10-01,3153
1958-11-01,3076
1958-12-01,2802
1959-01-01,2659
1959-02-01,2544
1959-03-01,2651
1959-04-01,2926
1959-05-01,3115
1959-06-01,3283
1959-07-01,3351
1959-08-01,3414
1959-09-01,3336
