DATE,CEU6500000001
1939-01-01,1359
1939-02-01,1359
1939-03-01,1373
1939-04-01,1390
1939-05-01,1417
1939-06-01,1431
1939-07-01,1432
1939-08-01,1434
1939-09-01,1443
1939-10-01,1414
1939-11-01,1403
1939-12-01,1403
1940-01-01,1410
1940-02-01,1414
1940-03-01,1433
1940-04-01,1456
1940-05-01,1478
1940-06-01,1491
1940-07-01,1490
1940-08-01,1501
1940-09-01,1507
1940-10-01,1495
1940-11-01,1483
1940-12-01,1480
1941-01-01,1493
1941-02-01,1499
1941-03-01,1521
1941-04-01,1552
1941-05-01,1576
1941-06-01,1589
1941-07-01,1597
1941-08-01,1606
1941-09-01,1608
1941-10-01,1593
1941-11-01,1584
1941-12-01,1579
1942-01-01,1589
1942-02-01,1581
1942-03-01,1600
1942-04-01,1623
1942-05-01,1642
1942-06-01,1659
1942-07-01,1661
1942-08-01,1665
1942-09-01,1668
1942-10-01,1648
1942-11-01,1630
1942-12-01,1619
1943-01-01,1629
1943-02-01,1628
1943-03-01,1642
1943-04-01,1653
1943-05-01,1669
1943-06-01,1685
1943-07-01,1678
1943-08-01,1676
1943-09-01,1683
1943-10-01,1665
1943-11-01,1658
1943-12-01,1651
1944-01-01,1644
1944-02-01,1644
1944-03-01,1658
1944-04-01,1664
1944-05-01,1676
1944-06-01,1698
1944-07-01,1686
1944-08-01,1684
1944-09-01,1686
1944-10-01,1664
1944-11-01,1656
1944-12-01,1647
1945-01-01,1643
1945-02-01,1644
1945-03-01,1654
1945-04-01,1663
1945-05-01,1675
1945-06-01,1706
1945-07-01,1711
1945-08-01,1720
1945-09-01,1731
1945-10-01,1733
1945-11-01,1744
1945-12-01,1752
1946-01-01,1779
1946-02-01,1793
1946-03-01,1823
1946-04-01,1854
1946-05-01,1878
1946-06-01,1907
1946-07-01,1909
1946-08-01,1920
1946-09-01,1955
1946-10-01,1936
1946-11-01,1936
1946-12-01,1934
1947-01-01,1952
1947-02-01,1955
1947-03-01,1971
1947-04-01,1993
1947-05-01,2016
1947-06-01,2042
1947-07-01,2047
1947-08-01,2043
1947-09-01,2057
1947-10-01,2044
1947-11-01,2036
1947-12-01,2027
1948-01-01,2017
1948-02-01,2013
