DATE,CEU5500000001
1939-01-01,1363
1939-02-01,1360
1939-03-01,1372
1939-04-01,1374
1939-05-01,1393
1939-06-01,1399
1939-07-01,1402
1939-08-01,1406
1939-09-01,1406
1939-10-01,1390
1939-11-01,1383
1939-12-01,1386
1940-01-01,1402
1940-02-01,1404
1940-03-01,1412
1940-04-01,1423
1940-05-01,1434
1940-06-01,1442
1940-07-01,1438
1940-08-01,1440
1940-09-01,1429
1940-10-01,1424
1940-11-01,1419
1940-12-01,1419
1941-01-01,1431
1941-02-01,1427
1941-03-01,1440
1941-04-01,1464
1941-05-01,1473
1941-06-01,1487
1941-07-01,1491
1941-08-01,1490
1941-09-01,1482
1941-10-01,1474
1941-11-01,1464
1941-12-01,1465
1942-01-01,1478
1942-02-01,1470
1942-03-01,1475
1942-04-01,1474
1942-05-01,1471
1942-06-01,1471
1942-07-01,1461
1942-08-01,1452
1942-09-01,1438
1942-10-01,1430
1942-11-01,1418
1942-12-01,1418
1943-01-01,1419
1943-02-01,1417
1943-03-01,1425
1943-04-01,1438
1943-05-01,1445
1943-06-01,1464
1943-07-01,1449
1943-08-01,1439
1943-09-01,1425
1943-10-01,1417
1943-11-01,1414
1943-12-01,1420
1944-01-01,1418
1944-02-01,1417
1944-03-01,1422
1944-04-01,1424
1944-05-01,1424
1944-06-01,1440
1944-07-01,1423
1944-08-01,1415
1944-09-01,1402
1944-10-01,1397
1944-11-01,1393
1944-12-01,1395
1945-01-01,1398
1945-02-01,1398
1945-03-01,1403
1945-04-01,1408
1945-05-01,1414
1945-06-01,1432
1945-07-01,1444
1945-08-01,1450
1945-09-01,1444
1945-10-01,1456
1945-11-01,1472
1945-12-01,1496
1946-01-01,1529
1946-02-01,1551
1946-03-01,1579
1946-04-01,1602
1946-05-01,1619
1946-06-01,1640
1946-07-01,1647
1946-08-01,1654
1946-09-01,1642
1946-10-01,1653
1946-11-01,1656
1946-12-01,1660
1947-01-01,1634
1947-02-01,1635
1947-03-01,1643
1947-04-01,1659
1947-05-01,1664
1947-06-01,1678
1947-07-01,1701
1947-08-01,1701
1947-09-01,1687
1947-10-01,1690
1947-11-01,1692
1947-12-01,1698
1948-01-01,1697
1948-02-01,1708
1948-03-01,1719
1948-04-01,1733
1948-05-01,1739
1948-06-01,1761
1948-07-01,1775
1948-08-01,1775
1948-09-01,1758
1948-10-01,1745
1948-11-01,1744
1948-12-01,1746
1949-01-01,1738
1949-02-01,1740
1949-03-01,1749
1949-04-01,1760
1949-05-01,1763
1949-06-01,1774
1949-07-01,1786
1949-08-01,1790
1949-09-01,1780
1949-10-01,1774
1949-11-01,1776
1949-12-01,1780
1950-01-01,1775
1950-02-01,1783
1950-03-01,1794
1950-04-01,1808
1950-05-01,1820
1950-06-01,1835
1950-07-01,1852
1950-08-01,1859
1950-09-01,1847
1950-10-01,1839
1950-11-01,1838
1950-12-01,1844
1951-01-01,1837
1951-02-01,1846
1951-03-01,1858
1951-04-01,1871
1951-05-01,1879
1951-06-01,1899
1951-07-01,1920
1951-08-01,1928
1951-09-01,1908
1951-10-01,1903
1951-11-01,1912
1951-12-01,1917
1952-01-01,1904
1952-02-01,1918
1952-03-01,1934
1952-04-01,1950
1952-05-01,1956
1952-06-01,1974
1952-07-01,2001
1952-08-01,2003
1952-09-01,1981
1952-10-01,1981
1952-11-01,1979
1952-12-01,1987
1953-01-01,1982
1953-02-01,1992
1953-03-01,2005
1953-04-01,2018
1953-05-01,2024
1953-06-01,2046
1953-07-01,2075
1953-08-01,2076
1953-09-01,2052
1953-10-01,2052
1953-11-01,2048
1953-12-01,2057
1954-01-01,2052
1954-02-01,2063
1954-03-01,2077
1954-04-01,2096
1954-05-01,2105
1954-06-01,2129
1954-07-01,2153
1954-08-01,2154
1954-09-01,2147
1954-10-01,2144
1954-11-01,2143
1954-12-01,2150
1955-01-01,2141
1955-02-01,2151
1955-03-01,2170
1955-04-01,2182
1955-05-01,2190
1955-06-01,2224
1955-07-01,2255
1955-08-01,2261
1955-09-01,2244
1955-10-01,2240
1955-11-01,2238
1955-12-01,2247
1956-01-01,2244
1956-02-01,2257
1956-03-01,2272
1956-04-01,2283
1956-05-01,2291
1956-06-01,2317
1956-07-01,2338
1956-08-01,2348
1956-09-01,2315
1956-10-01,2308
1956-11-01,2309
1956-12-01,2307
1957-01-01,2297
1957-02-01,2307
1957-03-01,2317
1957-04-01,2326
1957-05-01,2334
1957-06-01,2362
1957-07-01,2391
1957-08-01,2387
1957-09-01,2362
1957-10-01,2359
1957-11-01,2364
1957-12-01,2367
1958-01-01,2361
1958-02-01,2362
1958-03-01,2362
1958-04-01,2372
1958-05-01,2380
1958-06-01,2398
1958-07-01,2416
1958-08-01,2419
1958-09-01,2400
1958-10-01,2390
1958-11-01,2386
1958-12-01,2391
1959-01-01,2396
1959-02-01,2401
1959-03-01,2413
1959-04-01,2432
1959-05-01,2442
1959-06-01,2470
1959-07-01,2497
1959-08-01,2498
1959-09-01,2480
1959-10-01,2473
1959-11-01,2472
1959-12-01,2479
1960-01-01,2474
1960-02-01,2487
1960-03-01,2495
1960-04-01,2512
1960-05-01,2518
1960-06-01,2545
1960-07-01,2575
1960-08-01,2579
1960-09-01,2559
1960-10-01,2544
1960-11-01,2547
1960-12-01,2548
1961-01-01,2542
1961-02-01,2546
1961-03-01,2548
1961-04-01,2564
1961-05-01,2575
1961-06-01,2604
1961-07-01,2632
1961-08-01,2637
1961-09-01,2614
1961-10-01,2605
1961-11-01,2604
1961-12-01,2608
1962-01-01,2601
1962-02-01,2609
1962-03-01,2616
1962-04-01,2631
1962-05-01,2644
1962-06-01,2673
1962-07-01,2700
1962-08-01,2703
1962-09-01,2679
1962-10-01,2673
1962-11-01,2674
1962-12-01,2674
1963-01-01,2670
1963-02-01,2679
1963-03-01,2688
1963-04-01,2705
1963-05-01,2720
1963-06-01,2746
1963-07-01,2774
1963-08-01,2778
1963-09-01,2752
1963-10-01,2751
1963-11-01,2749
1963-12-01,2755
1964-01-01,2751
1964-02-01,2762
1964-03-01,2773
1964-04-01,2790
1964-05-01,2801
1964-06-01,2831
1964-07-01,2861
1964-08-01,2860
1964-09-01,2836
1964-10-01,2825
1964-11-01,2823
1964-12-01,2822
1965-01-01,2814
1965-02-01,2824
1965-03-01,2835
1965-04-01,2849
1965-05-01,2863
1965-06-01,2894
1965-07-01,2926
1965-08-01,2930
1965-09-01,2904
1965-10-01,2900
1965-11-01,2899
1965-12-01,2901
1966-01-01,2889
1966-02-01,2896
1966-03-01,2916
1966-04-01,2930
1966-05-01,2944
1966-06-01,2984
1966-07-01,3021
1966-08-01,3019
1966-09-01,2987
1966-10-01,2978
1966-11-01,2979
1966-12-01,2988
1967-01-01,2978
1967-02-01,2995
1967-03-01,3016
1967-04-01,3040
1967-05-01,3061
1967-06-01,3108
1967-07-01,3143
1967-08-01,3158
1967-09-01,3131
1967-10-01,3127
1967-11-01,3134
1967-12-01,3147
1968-01-01,3134
1968-02-01,3153
1968-03-01,3170
1968-04-01,3190
1968-05-01,3206
1968-06-01,3243
1968-07-01,3282
1968-08-01,3300
1968-09-01,3269
1968-10-01,3276
1968-11-01,3286
1968-12-01,3295
1969-01-01,3291
1969-02-01,3312
1969-03-01,3335
1969-04-01,3362
1969-05-01,3381
1969-06-01,3430
1969-07-01,3470
1969-08-01,3482
1969-09-01,3441
1969-10-01,3439
1969-11-01,3446
1969-12-01,3456
1970-01-01,3452
1970-02-01,3466
1970-03-01,3490
1970-04-01,3510
1970-05-01,3524
1970-06-01,3559
1970-07-01,3589
1970-08-01,3583
1970-09-01,3551
1970-10-01,3546
1970-11-01,3555
1970-12-01,3562
1971-01-01,3558
1971-02-01,3566
1971-03-01,3585
1971-04-01,3610
1971-05-01,3633
1971-06-01,3686
1971-07-01,3714
1971-08-01,3712
1971-09-01,3681
1971-10-01,3680
1971-11-01,3691
1971-12-01,3699
1972-01-01,3689
1972-02-01,3697
1972-03-01,3718
1972-04-01,3740
1972-05-01,3768
1972-06-01,3827
1972-07-01,3846
1972-08-01,3848
1972-09-01,3813
1972-10-01,3813
1972-11-01,3819
1972-12-01,3825
1973-01-01,3817
1973-02-01,3839
1973-03-01,3864
1973-04-01,3883
1973-05-01,3912
1973-06-01,3955
1973-07-01,3984
1973-08-01,3986
1973-09-01,3950
1973-10-01,3941
1973-11-01,3949
1973-12-01,3956
1974-01-01,3950
1974-02-01,3968
1974-03-01,3981
1974-04-01,3997
1974-05-01,4026
1974-06-01,4068
1974-07-01,4086
1974-08-01,4082
1974-09-01,4040
1974-10-01,4035
1974-11-01,4025
1974-12-01,4023
1975-01-01,3995
1975-02-01,3989
1975-03-01,3998
1975-04-01,4014
1975-05-01,4036
1975-06-01,4070
1975-07-01,4092
1975-08-01,4098
1975-09-01,4067
1975-10-01,4069
1975-11-01,4063
1975-12-01,4078
1976-01-01,4059
1976-02-01,4067
1976-03-01,4089
1976-04-01,4115
1976-05-01,4138
1976-06-01,4187
1976-07-01,4204
1976-08-01,4205
1976-09-01,4187
1976-10-01,4195
1976-11-01,4202
1976-12-01,4217
1977-01-01,4210
1977-02-01,4221
1977-03-01,4259
1977-04-01,4292
1977-05-01,4320
1977-06-01,4376
1977-07-01,4400
1977-08-01,4412
1977-09-01,4396
1977-10-01,4411
