DATE,LNU02500000
1968-01-01,63085
1968-02-01,63258
1968-03-01,63602
1968-04-01,64104
1968-05-01,64356
1968-06-01,67092
1968-07-01,68096
1968-08-01,68444
1968-09-01,65764
1968-10-01,65216
1968-11-01,65158
1968-12-01,65147
1969-01-01,64232
1969-02-01,64674
1969-03-01,64903
1969-04-01,65178
1969-05-01,65208
1969-06-01,68263
1969-07-01,69439
1969-08-01,70090
1969-09-01,67410
1969-10-01,66676
1969-11-01,66597
1969-12-01,66480
1970-01-01,65437
1970-02-01,65296
1970-03-01,65400
1970-04-01,65577
1970-05-01,65628
1970-06-01,68215
1970-07-01,69442
1970-08-01,69777
1970-09-01,67177
1970-10-01,66675
1970-11-01,66301
1970-12-01,66120
1971-01-01,65056
1971-02-01,64956
1971-03-01,64806
1971-04-01,65594
1971-05-01,65970
1971-06-01,67918
1971-07-01,69522
1971-08-01,70064
1971-09-01,67693
1971-10-01,67304
1971-11-01,67378
1971-12-01,67423
1972-01-01,66552
1972-02-01,66475
1972-03-01,67062
1972-04-01,67415
1972-05-01,67903
1972-06-01,71119
1972-07-01,72029
1972-08-01,72486
1972-09-01,70018
1972-10-01,69916
1972-11-01,69718
1972-12-01,69883
1973-01-01,68917
1973-02-01,68981
1973-03-01,69526
1973-04-01,70025
1973-05-01,70467
1973-06-01,73884
1973-07-01,75165
1973-08-01,75358
1973-09-01,72472
1973-10-01,72591
1973-11-01,72258
1973-12-01,71993
1974-01-01,71156
1974-02-01,70991
1974-03-01,71353
1974-04-01,71822
1974-05-01,72221
1974-06-01,75175
1974-07-01,76267
1974-08-01,76652
1974-09-01,73764
1974-10-01,73442
1974-11-01,72408
1974-12-01,71874
1975-01-01,70027
1975-02-01,69422
1975-03-01,69295
1975-04-01,69713
1975-05-01,70351
1975-06-01,72586
1975-07-01,74025
1975-08-01,74956
1975-09-01,72442
1975-10-01,72393
1975-11-01,71818
1975-12-01,72020
1976-01-01,71125
1976-02-01,71143
1976-03-01,71683
1976-04-01,72560
1976-05-01,73316
1976-06-01,75543
1976-07-01,77231
1976-08-01,77509
1976-09-01,74490
1976-10-01,74526
1976-11-01,74180
1976-12-01,74270
1977-01-01,73284
1977-02-01,73116
1977-03-01,73643
1977-04-01,74581
1977-05-01,75498
1977-06-01,78710
1977-07-01,79833
