DATE,A4201C0A173NBEA
1929-01-01,37699
1930-01-01,35590
1931-01-01,32724
1932-01-01,29445
1933-01-01,30940
1934-01-01,34238
1935-01-01,35577
1936-01-01,38599
1937-01-01,39701
1938-01-01,38322
1939-01-01,39633
1940-01-01,41437
1941-01-01,45785
1942-01-01,50219
1943-01-01,55995
1944-01-01,57221
1945-01-01,55548
1946-01-01,49643
1947-01-01,49936
1948-01-01,51332
1949-01-01,50358
1950-01-01,52424
1951-01-01,56415
1952-01-01,57702
1953-01-01,58918
1954-01-01,57387
1955-01-01,59080
1956-01-01,60845
1957-01-01,61308
1958-01-01,59839
1959-01-01,61587
1960-01-01,62680
1961-01-01,62881
1962-01-01,64573
1963-01-01,65619
1964-01-01,67275
1965-01-01,69692
1966-01-01,73516
1967-01-01,75442
1968-01-01,77602
1969-01-01,79850
1970-01-01,79750
1971-01-01,79554
1972-01-01,81583
1973-01-01,85202
1974-01-01,86573
1975-01-01,85044
1976-01-01,87402
1977-01-01,90421
1978-01-01,94777
1979-01-01,98017
1980-01-01,98370
1981-01-01,99225
1982-01-01,97305
1983-01-01,98041
1984-01-01,102458
1985-01-01,104987
1986-01-01,106873
1987-01-01,109754
1988-01-01,112864
1989-01-01,115501
1990-01-01,116964
1991-01-01,115525
1992-01-01,115968
1993-01-01,117604
1994-01-01,120379
1995-01-01,123236
1996-01-01,125461
1997-01-01,128316
1998-01-01,131563
1999-01-01,134350
2000-01-01,137228
2001-01-01,136872.0
2002-01-01,135840.0
2003-01-01,135473.0
2004-01-01,136851.0
2005-01-01,138756.0
2006-01-01,141153.0
2007-01-01,142596.0
2008-01-01,141576.0
2009-01-01,135574.0
2010-01-01,134714.0
2011-01-01,136258.0
2012-01-01,138885.0
2013-01-01,141103.0
2014-01-01,143758.0
2015-01-01,146607.0
2016-01-01,148734.0
2017-01-01,150636.0
2018-01-01,153133.0
