DATE,CEU3000000001
1939-01-01,8940
1939-02-01,9065
1939-03-01,9176
1939-04-01,9183
1939-05-01,9138
1939-06-01,9182
1939-07-01,9221
1939-08-01,9497
1939-09-01,9831
1939-10-01,10098
1939-11-01,10061
1939-12-01,10011
1940-01-01,9785
1940-02-01,9803
1940-03-01,9775
1940-04-01,9692
1940-05-01,9661
1940-06-01,9715
1940-07-01,9769
1940-08-01,10157
1940-09-01,10477
1940-10-01,10677
1940-11-01,10781
1940-12-01,10897
1941-01-01,10847
1941-02-01,11098
1941-03-01,11301
1941-04-01,11587
1941-05-01,11827
1941-06-01,12123
1941-07-01,12410
1941-08-01,12654
1941-09-01,12875
1941-10-01,12931
1941-11-01,12903
1941-12-01,12898
1942-01-01,12824
1942-02-01,13032
1942-03-01,13231
1942-04-01,13424
1942-05-01,13603
1942-06-01,13802
1942-07-01,14123
1942-08-01,14467
1942-09-01,14722
1942-10-01,14859
1942-11-01,15009
1942-12-01,15267
1943-01-01,15404
1943-02-01,15625
1943-03-01,15829
1943-04-01,15922
1943-05-01,15973
1943-06-01,16208
1943-07-01,16379
1943-08-01,16487
1943-09-01,16445
1943-10-01,16516
1943-11-01,16586
1943-12-01,16457
1944-01-01,16325
1944-02-01,16322
1944-03-01,16203
1944-04-01,16014
1944-05-01,15901
1944-06-01,15915
1944-07-01,15895
1944-08-01,15888
1944-09-01,15706
1944-10-01,15580
1944-11-01,15520
1944-12-01,15567
1945-01-01,15567
1945-02-01,15611
1945-03-01,15547
1945-04-01,15370
1945-05-01,15161
1945-06-01,14956
1945-07-01,14621
1945-08-01,14299
1945-09-01,12537
1945-10-01,12438
1945-11-01,12490
1945-12-01,12460
1946-01-01,12634
1946-02-01,11970
1946-03-01,12628
1946-04-01,13221
1946-05-01,13307
1946-06-01,13549
1946-07-01,13724
1946-08-01,14076
1946-09-01,14242
1946-10-01,14193
1946-11-01,14311
1946-12-01,14302
1947-01-01,14265
1947-02-01,14313
1947-03-01,14314
1947-04-01,14212
1947-05-01,14034
1947-06-01,14088
1947-07-01,13973
1947-08-01,14298
1947-09-01,14489
1947-10-01,14481
1947-11-01,14472
1947-12-01,14507
1948-01-01,14402
1948-02-01,14344
1948-03-01,14373
1948-04-01,14082
1948-05-01,14019
1948-06-01,14173
1948-07-01,14230
1948-08-01,14463
1948-09-01,14667
1948-10-01,14543
1948-11-01,14388
1948-12-01,14203
1949-01-01,13833
1949-02-01,13715
1949-03-01,13554
1949-04-01,13293
1949-05-01,13034
1949-06-01,13038
1949-07-01,12932
1949-08-01,13282
1949-09-01,13467
1949-10-01,13070
1949-11-01,12977
1949-12-01,13174
1950-01-01,13122
1950-02-01,13138
1950-03-01,13248
1950-04-01,13315
1950-05-01,13558
1950-06-01,13811
1950-07-01,13932
1950-08-01,14587
1950-09-01,14804
1950-10-01,14928
1950-11-01,14852
1950-12-01,14864
1951-01-01,14889
1951-02-01,15047
1951-03-01,15085
1951-04-01,15032
1951-05-01,14960
1951-06-01,15088
1951-07-01,14973
1951-08-01,15184
1951-09-01,15223
1951-10-01,15153
1951-11-01,15089
1951-12-01,15111
1952-01-01,14989
1952-02-01,15069
1952-03-01,15090
1952-04-01,15049
1952-05-01,14953
1952-06-01,14754
1952-07-01,14569
1952-08-01,15391
1952-09-01,15769
1952-10-01,15868
1952-11-01,15952
1952-12-01,16034
1953-01-01,15973
1953-02-01,16105
1953-03-01,16231
1953-04-01,16190
1953-05-01,16165
1953-06-01,16284
1953-07-01,16214
1953-08-01,16383
1953-09-01,16354
1953-10-01,16154
1953-11-01,15860
1953-12-01,15654
1954-01-01,15341
1954-02-01,15235
1954-03-01,15150
1954-04-01,14955
1954-05-01,14808
1954-06-01,14865
1954-07-01,14647
1954-08-01,14866
1954-09-01,14998
1954-10-01,15026
1954-11-01,15069
1954-12-01,15060
1955-01-01,14939
1955-02-01,15054
1955-03-01,15193
1955-04-01,15248
1955-05-01,15324
1955-06-01,15548
1955-07-01,15458
1955-08-01,15768
1955-09-01,15856
1955-10-01,15940
1955-11-01,15987
1955-12-01,15977
