DATE,CEU1000000001
1939-01-01,885
1939-02-01,882
1939-03-01,883
1939-04-01,614
1939-05-01,719
1939-06-01,852
1939-07-01,847
1939-08-01,864
1939-09-01,894
1939-10-01,941
1939-11-01,952
1939-12-01,938
1940-01-01,927
1940-02-01,925
1940-03-01,925
1940-04-01,909
1940-05-01,912
1940-06-01,904
1940-07-01,917
1940-08-01,930
1940-09-01,938
1940-10-01,947
1940-11-01,947
1940-12-01,945
1941-01-01,946
1941-02-01,945
1941-03-01,959
1941-04-01,670
1941-05-01,963
1941-06-01,980
1941-07-01,1001
1941-08-01,1021
1941-09-01,1031
1941-10-01,1034
1941-11-01,1030
1941-12-01,1027
1942-01-01,1027
1942-02-01,1015
1942-03-01,1011
1942-04-01,1013
1942-05-01,1013
1942-06-01,1013
1942-07-01,1020
1942-08-01,1020
1942-09-01,1012
1942-10-01,1002
1942-11-01,994
1942-12-01,985
1943-01-01,970
1943-02-01,972
1943-03-01,969
1943-04-01,961
1943-05-01,949
1943-06-01,956
1943-07-01,957
1943-08-01,955
1943-09-01,957
1943-10-01,954
1943-11-01,946
1943-12-01,950
1944-01-01,943
1944-02-01,944
1944-03-01,939
1944-04-01,934
1944-05-01,932
1944-06-01,937
1944-07-01,928
1944-08-01,929
1944-09-01,920
1944-10-01,907
1944-11-01,902
1944-12-01,894
1945-01-01,890
1945-02-01,889
1945-03-01,887
1945-04-01,851
1945-05-01,815
1945-06-01,883
1945-07-01,871
1945-08-01,870
1945-09-01,861
1945-10-01,794
1945-11-01,871
1945-12-01,882
1946-01-01,889
1946-02-01,882
1946-03-01,887
1946-04-01,595
1946-05-01,801
1946-06-01,915
1946-07-01,933
1946-08-01,947
1946-09-01,945
1946-10-01,945
1946-11-01,945
1946-12-01,935
1947-01-01,957
1947-02-01,958
1947-03-01,960
1947-04-01,940
1947-05-01,967
1947-06-01,981
1947-07-01,957
1947-08-01,994
1947-09-01,994
1947-10-01,997
1947-11-01,1001
1947-12-01,1008
1948-01-01,1006
1948-02-01,997
1948-03-01,1011
1948-04-01,911
1948-05-01,1023
1948-06-01,1039
1948-07-01,1009
1948-08-01,1042
1948-09-01,1042
1948-10-01,1031
1948-11-01,1026
1948-12-01,1027
1949-01-01,1007
1949-02-01,1004
1949-03-01,997
1949-04-01,998
1949-05-01,986
1949-06-01,981
1949-07-01,956
1949-08-01,970
1949-09-01,961
1949-10-01,631
1949-11-01,929
1949-12-01,950
1950-01-01,875
1950-02-01,631
1950-03-01,946
1950-04-01,949
1950-05-01,950
1950-06-01,961
1950-07-01,940
1950-08-01,973
1950-09-01,974
1950-10-01,967
1950-11-01,963
1950-12-01,962
1951-01-01,956
1951-02-01,956
1951-03-01,955
1951-04-01,942
1951-05-01,948
1951-06-01,963
1951-07-01,946
1951-08-01,966
1951-09-01,959
1951-10-01,958
1951-11-01,961
1951-12-01,961
1952-01-01,956
1952-02-01,948
1952-03-01,953
1952-04-01,948
1952-05-01,948
1952-06-01,879
1952-07-01,847
1952-08-01,938
1952-09-01,937
1952-10-01,927
1952-11-01,927
1952-12-01,929
1953-01-01,924
1953-02-01,913
1953-03-01,906
1953-04-01,898
1953-05-01,898
1953-06-01,908
1953-07-01,899
1953-08-01,906
1953-09-01,903
1953-10-01,891
1953-11-01,892
1953-12-01,885
1954-01-01,868
1954-02-01,857
1954-03-01,842
1954-04-01,826
1954-05-01,816
1954-06-01,827
1954-07-01,818
1954-08-01,821
1954-09-01,804
1954-10-01,804
1954-11-01,811
1954-12-01,810
1955-01-01,801
1955-02-01,800
1955-03-01,809
1955-04-01,810
1955-05-01,821
1955-06-01,838
1955-07-01,831
1955-08-01,839
1955-09-01,848
1955-10-01,844
1955-11-01,849
1955-12-01,851
1956-01-01,843
1956-02-01,846
1956-03-01,853
1956-04-01,857
1956-05-01,852
1956-06-01,877
1956-07-01,808
1956-08-01,879
1956-09-01,880
1956-10-01,873
1956-11-01,870
1956-12-01,867
1957-01-01,860
1957-02-01,859
1957-03-01,856
1957-04-01,857
1957-05-01,862
1957-06-01,880
1957-07-01,873
1957-08-01,886
1957-09-01,876
1957-10-01,861
1957-11-01,854
1957-12-01,848
1958-01-01,833
1958-02-01,811
1958-03-01,792
1958-04-01,780
1958-05-01,786
1958-06-01,803
1958-07-01,793
1958-08-01,800
1958-09-01,806
1958-10-01,801
1958-11-01,804
1958-12-01,804
1959-01-01,791
1959-02-01,775
1959-03-01,776
1959-04-01,786
1959-05-01,810
1959-06-01,831
1959-07-01,833
1959-08-01,775
1959-09-01,756
1959-10-01,756
1959-11-01,787
1959-12-01,792
1960-01-01,766
1960-02-01,766
1960-03-01,761
1960-04-01,774
1960-05-01,783
1960-06-01,796
1960-07-01,771
1960-08-01,788
1960-09-01,780
1960-10-01,773
1960-11-01,755
1960-12-01,736
1961-01-01,719
1961-02-01,707
1961-03-01,703
1961-04-01,710
1961-05-01,728
1961-06-01,750
1961-07-01,744
1961-08-01,749
1961-09-01,746
1961-10-01,736
1961-11-01,732
1961-12-01,717
1962-01-01,703
1962-02-01,699
1962-03-01,692
1962-04-01,702
1962-05-01,717
1962-06-01,728
1962-07-01,718
1962-08-01,728
1962-09-01,720
1962-10-01,711
1962-11-01,700
1962-12-01,686
1963-01-01,670
1963-02-01,665
1963-03-01,665
1963-04-01,681
1963-05-01,698
1963-06-01,706
1963-07-01,706
1963-08-01,714
1963-09-01,715
1963-10-01,708
1963-11-01,703
1963-12-01,694
1964-01-01,673
1964-02-01,670
1964-03-01,667
1964-04-01,682
1964-05-01,693
1964-06-01,717
1964-07-01,715
1964-08-01,717
1964-09-01,714
1964-10-01,710
1964-11-01,708
1964-12-01,698
1965-01-01,676
1965-02-01,676
1965-03-01,675
1965-04-01,686
1965-05-01,696
1965-06-01,710
1965-07-01,712
1965-08-01,712
1965-09-01,699
1965-10-01,697
1965-11-01,697
1965-12-01,690
1966-01-01,673
1966-02-01,668
1966-03-01,673
1966-04-01,645
1966-05-01,688
1966-06-01,712
1966-07-01,712
1966-08-01,717
1966-09-01,706
1966-10-01,699
1966-11-01,695
1966-12-01,687
1967-01-01,676
1967-02-01,671
1967-03-01,670
1967-04-01,676
1967-05-01,682
1967-06-01,706
1967-07-01,706
1967-08-01,690
1967-09-01,678
1967-10-01,669
1967-11-01,667
1967-12-01,662
1968-01-01,647
1968-02-01,646
1968-03-01,646
1968-04-01,666
1968-05-01,673
1968-06-01,693
1968-07-01,699
1968-08-01,700
1968-09-01,691
1968-10-01,637
1968-11-01,678
1968-12-01,675
1969-01-01,661
1969-02-01,660
1969-03-01,659
1969-04-01,663
1969-05-01,675
1969-06-01,697
1969-07-01,705
1969-08-01,709
1969-09-01,700
1969-10-01,691
1969-11-01,686
1969-12-01,686
1970-01-01,670
1970-02-01,667
1970-03-01,667
1970-04-01,669
1970-05-01,673
1970-06-01,695
1970-07-01,692
1970-08-01,693
1970-09-01,684
1970-10-01,676
1970-11-01,673
1970-12-01,669
1971-01-01,657
1971-02-01,652
1971-03-01,652
1971-04-01,662
1971-05-01,672
1971-06-01,689
1971-07-01,670
1971-08-01,683
1971-09-01,681
1971-10-01,609
1971-11-01,610
1971-12-01,664
1972-01-01,658
1972-02-01,654
1972-03-01,658
1972-04-01,655
1972-05-01,664
1972-06-01,689
1972-07-01,683
1972-08-01,689
1972-09-01,687
1972-10-01,681
1972-11-01,679
1972-12-01,670
1973-01-01,664
1973-02-01,668
1973-03-01,668
1973-04-01,673
1973-05-01,680
1973-06-01,702
1973-07-01,707
1973-08-01,711
1973-09-01,708
1973-10-01,710
1973-11-01,714
1973-12-01,714
1974-01-01,714
1974-02-01,719
1974-03-01,718
1974-04-01,733
1974-05-01,747
1974-06-01,769
1974-07-01,776
1974-08-01,783
1974-09-01,781
1974-10-01,787
1974-11-01,787
1974-12-01,745
1975-01-01,777
1975-02-01,775
1975-03-01,777
1975-04-01,775
1975-05-01,796
1975-06-01,815
1975-07-01,817
1975-08-01,822
1975-09-01,816
1975-10-01,820
1975-11-01,815
1975-12-01,816
1976-01-01,810
1976-02-01,804
1976-03-01,808
1976-04-01,813
1976-05-01,823
1976-06-01,845
1976-07-01,854
1976-08-01,828
1976-09-01,853
1976-10-01,851
1976-11-01,850
1976-12-01,848
1977-01-01,840
1977-02-01,840
1977-03-01,854
1977-04-01,866
1977-05-01,878
1977-06-01,910
