DATE,LNU02600000
1968-01-01,10188
1968-02-01,10856
1968-03-01,10915
1968-04-01,11040
1968-05-01,11574
1968-06-01,10181
1968-07-01,9649
1968-08-01,8987
1968-09-01,10176
1968-10-01,11148
1968-11-01,11451
1968-12-01,11553
1969-01-01,11127
1969-02-01,11508
1969-03-01,11617
1969-04-01,11900
1969-05-01,12055
1969-06-01,10692
1969-07-01,10177
1969-08-01,9556
1969-09-01,10616
1969-10-01,11995
1969-11-01,12120
1969-12-01,12309
1970-01-01,11876
1970-02-01,12193
1970-03-01,12558
1970-04-01,12831
1970-05-01,12746
1970-06-01,11200
1970-07-01,10902
1970-08-01,10186
1970-09-01,11164
1970-10-01,12343
1970-11-01,12559
1970-12-01,12531
1971-01-01,12332
1971-02-01,12471
1971-03-01,12870
1971-04-01,12810
1971-05-01,12958
1971-06-01,11800
1971-07-01,11419
1971-08-01,10832
1971-09-01,11896
1971-10-01,13071
1971-11-01,13149
1971-12-01,13104
1972-01-01,12906
1972-02-01,13257
1972-03-01,13516
1972-04-01,13612
1972-05-01,13742
1972-06-01,11956
1972-07-01,11883
1972-08-01,11506
1972-09-01,12519
1972-10-01,13308
1972-11-01,13515
1972-12-01,13539
1973-01-01,12680
1973-02-01,13426
1973-03-01,13869
1973-04-01,13874
1973-05-01,13915
1973-06-01,12333
1973-07-01,11878
1973-08-01,11259
1973-09-01,13080
1973-10-01,14128
1973-11-01,14304
1973-12-01,14396
1974-01-01,13688
1974-02-01,14072
1974-03-01,14308
1974-04-01,14171
1974-05-01,14390
1974-06-01,12848
1974-07-01,12632
1974-08-01,11827
1974-09-01,13396
1974-10-01,14335
1974-11-01,14456
1974-12-01,14295
1975-01-01,13901
1975-02-01,14151
1975-03-01,14723
1975-04-01,14837
1975-05-01,14823
1975-06-01,13920
1975-07-01,13717
1975-08-01,12769
1975-09-01,13957
1975-10-01,14767
1975-11-01,14883
1975-12-01,14668
1976-01-01,14524
1976-02-01,14791
1976-03-01,15085
1976-04-01,15226
1976-05-01,15192
1976-06-01,14183
1976-07-01,13676
1976-08-01,13180
1976-09-01,14793
1976-10-01,15514
1976-11-01,15711
1976-12-01,15579
1977-01-01,14932
1977-02-01,15485
1977-03-01,15953
1977-04-01,16080
1977-05-01,15975
1977-06-01,14444
1977-07-01,14046
1977-08-01,13625
1977-09-01,15137
1977-10-01,16109
1977-11-01,16521
1977-12-01,16384
1978-01-01,15705
1978-02-01,16086
1978-03-01,16383
1978-04-01,16721
