DATE,CEU6000000001
1939-01-01,1910
1939-02-01,1915
1939-03-01,1936
1939-04-01,1947
1939-05-01,1975
1939-06-01,1999
1939-07-01,2000
1939-08-01,2015
1939-09-01,2043
1939-10-01,2037
1939-11-01,2024
1939-12-01,2022
1940-01-01,2005
1940-02-01,2010
1940-03-01,2028
1940-04-01,2045
1940-05-01,2069
1940-06-01,2085
1940-07-01,2087
1940-08-01,2114
1940-09-01,2137
1940-10-01,2139
1940-11-01,2133
1940-12-01,2143
1941-01-01,2136
1941-02-01,2150
1941-03-01,2182
1941-04-01,2223
1941-05-01,2268
1941-06-01,2299
1941-07-01,2323
1941-08-01,2346
1941-09-01,2359
1941-10-01,2350
1941-11-01,2339
1941-12-01,2337
1942-01-01,2327
1942-02-01,2325
1942-03-01,2353
1942-04-01,2386
1942-05-01,2411
1942-06-01,2437
1942-07-01,2453
1942-08-01,2470
1942-09-01,2483
1942-10-01,2473
1942-11-01,2462
1942-12-01,2467
1943-01-01,2464
1943-02-01,2471
1943-03-01,2494
1943-04-01,2512
1943-05-01,2527
1943-06-01,2556
1943-07-01,2557
1943-08-01,2558
1943-09-01,2561
1943-10-01,2551
1943-11-01,2549
1943-12-01,2543
1944-01-01,2520
1944-02-01,2522
1944-03-01,2532
1944-04-01,2534
1944-05-01,2541
1944-06-01,2564
1944-07-01,2553
1944-08-01,2551
1944-09-01,2544
1944-10-01,2521
1944-11-01,2515
1944-12-01,2515
1945-01-01,2498
1945-02-01,2503
1945-03-01,2513
1945-04-01,2512
1945-05-01,2515
1945-06-01,2539
1945-07-01,2533
1945-08-01,2528
1945-09-01,2468
1945-10-01,2468
1945-11-01,2491
1945-12-01,2508
1946-01-01,2531
1946-02-01,2520
1946-03-01,2579
1946-04-01,2625
1946-05-01,2651
1946-06-01,2695
1946-07-01,2711
1946-08-01,2741
1946-09-01,2774
1946-10-01,2763
1946-11-01,2775
1946-12-01,2777
1947-01-01,2774
1947-02-01,2777
1947-03-01,2794
1947-04-01,2799
1947-05-01,2820
1947-06-01,2858
1947-07-01,2860
1947-08-01,2873
1947-09-01,2893
1947-10-01,2884
1947-11-01,2879
1947-12-01,2884
1948-01-01,2850
1948-02-01,2843
1948-03-01,2863
1948-04-01,2872
1948-05-01,2900
1948-06-01,2935
1948-07-01,2942
1948-08-01,2949
1948-09-01,2963
1948-10-01,2936
1948-11-01,2920
1948-12-01,2917
1949-01-01,2853
1949-02-01,2842
1949-03-01,2840
1949-04-01,2862
1949-05-01,2873
1949-06-01,2887
1949-07-01,2883
1949-08-01,2890
1949-09-01,2905
1949-10-01,2853
1949-11-01,2852
1949-12-01,2864
1950-01-01,2819
1950-02-01,2809
1950-03-01,2837
1950-04-01,2885
1950-05-01,2915
1950-06-01,2962
1950-07-01,2980
1950-08-01,3018
1950-09-01,3032
1950-10-01,3021
1950-11-01,3011
1950-12-01,3015
1951-01-01,2990
1951-02-01,2998
1951-03-01,3024
1951-04-01,3054
1951-05-01,3074
1951-06-01,3104
1951-07-01,3111
1951-08-01,3125
1951-09-01,3122
1951-10-01,3105
1951-11-01,3098
1951-12-01,3098
1952-01-01,3064
1952-02-01,3071
1952-03-01,3084
1952-04-01,3116
1952-05-01,3136
1952-06-01,3146
1952-07-01,3142
1952-08-01,3185
1952-09-01,3198
1952-10-01,3192
1952-11-01,3187
1952-12-01,3196
1953-01-01,3148
1953-02-01,3157
1953-03-01,3179
1953-04-01,3217
1953-05-01,3238
1953-06-01,3269
1953-07-01,3277
1953-08-01,3283
1953-09-01,3281
1953-10-01,3260
1953-11-01,3234
1953-12-01,3221
1954-01-01,3160
1954-02-01,3153
1954-03-01,3157
1954-04-01,3193
1954-05-01,3205
1954-06-01,3232
1954-07-01,3239
1954-08-01,3245
1954-09-01,3252
1954-10-01,3239
1954-11-01,3233
1954-12-01,3236
1955-01-01,3199
1955-02-01,3208
1955-03-01,3235
1955-04-01,3285
1955-05-01,3316
1955-06-01,3359
1955-07-01,3377
1955-08-01,3395
1955-09-01,3404
1955-10-01,3415
1955-11-01,3417
1955-12-01,3418
1956-01-01,3380
1956-02-01,3388
1956-03-01,3407
1956-04-01,3446
1956-05-01,3462
1956-06-01,3487
1956-07-01,3451
1956-08-01,3477
1956-09-01,3481
1956-10-01,3492
1956-11-01,3485
1956-12-01,3483
1957-01-01,3446
1957-02-01,3455
1957-03-01,3468
1957-04-01,3510
1957-05-01,3536
1957-06-01,3562
1957-07-01,3559
1957-08-01,3564
1957-09-01,3559
1957-10-01,3548
1957-11-01,3524
1957-12-01,3501
1958-01-01,3436
1958-02-01,3412
1958-03-01,3406
1958-04-01,3430
1958-05-01,3447
1958-06-01,3475
1958-07-01,3475
1958-08-01,3488
1958-09-01,3497
1958-10-01,3499
1958-11-01,3500
1958-12-01,3506
1959-01-01,3491
1959-02-01,3501
1959-03-01,3525
1959-04-01,3583
1959-05-01,3621
1959-06-01,3662
1959-07-01,3658
1959-08-01,3643
1959-09-01,3649
1959-10-01,3645
1959-11-01,3645
1959-12-01,3663
1960-01-01,3632
1960-02-01,3643
1960-03-01,3646
1960-04-01,3700
1960-05-01,3722
1960-06-01,3761
1960-07-01,3758
1960-08-01,3756
1960-09-01,3745
1960-10-01,3738
1960-11-01,3719
1960-12-01,3703
1961-01-01,3658
1961-02-01,3652
1961-03-01,3670
1961-04-01,3711
1961-05-01,3741
1961-06-01,3795
1961-07-01,3805
1961-08-01,3817
1961-09-01,3820
