DATE,CEU4000000001
1939-01-01,6470
1939-02-01,6462
1939-03-01,6521
1939-04-01,6588
1939-05-01,6627
1939-06-01,6701
1939-07-01,6663
1939-08-01,6680
1939-09-01,6844
1939-10-01,6965
1939-11-01,6994
1939-12-01,7233
1940-01-01,6761
1940-02-01,6760
1940-03-01,6888
1940-04-01,6853
1940-05-01,6935
1940-06-01,7008
1940-07-01,6951
1940-08-01,6994
1940-09-01,7144
1940-10-01,7225
1940-11-01,7287
1940-12-01,7591
1941-01-01,7075
1941-02-01,7096
1941-03-01,7194
1941-04-01,7402
1941-05-01,7428
1941-06-01,7550
1941-07-01,7578
1941-08-01,7657
1941-09-01,7745
1941-10-01,7809
1941-11-01,7852
1941-12-01,8078
1942-01-01,7556
1942-02-01,7500
1942-03-01,7531
1942-04-01,7556
1942-05-01,7559
1942-06-01,7541
1942-07-01,7491
1942-08-01,7502
1942-09-01,7563
1942-10-01,7675
1942-11-01,7724
1942-12-01,7954
1943-01-01,7459
1943-02-01,7427
1943-03-01,7483
1943-04-01,7576
1943-05-01,7535
1943-06-01,7614
1943-07-01,7595
1943-08-01,7559
1943-09-01,7600
1943-10-01,7707
1943-11-01,7832
1943-12-01,8013
1944-01-01,7625
1944-02-01,7635
1944-03-01,7684
1944-04-01,7724
1944-05-01,7718
1944-06-01,7756
1944-07-01,7746
1944-08-01,7739
1944-09-01,7784
1944-10-01,7886
1944-11-01,8005
1944-12-01,8219
1945-01-01,7829
1945-02-01,7835
1945-03-01,7912
1945-04-01,7847
1945-05-01,7878
1945-06-01,7907
1945-07-01,7920
1945-08-01,7924
1945-09-01,8039
1945-10-01,8194
1945-11-01,8427
1945-12-01,8721
1946-01-01,8470
1946-02-01,8526
1946-03-01,8668
1946-04-01,8780
1946-05-01,8733
1946-06-01,8811
1946-07-01,8870
1946-08-01,8983
1946-09-01,9055
1946-10-01,9202
1946-11-01,9411
1946-12-01,9675
1947-01-01,9204
1947-02-01,9166
1947-03-01,9248
1947-04-01,9177
1947-05-01,9234
1947-06-01,9360
1947-07-01,9371
1947-08-01,9403
1947-09-01,9543
1947-10-01,9671
1947-11-01,9790
1947-12-01,10093
1948-01-01,9537
1948-02-01,9497
1948-03-01,9553
1948-04-01,9492
1948-05-01,9564
1948-06-01,9642
1948-07-01,9652
1948-08-01,9670
1948-09-01,9760
1948-10-01,9855
1948-11-01,9944
1948-12-01,10255
1949-01-01,9603
1949-02-01,9514
1949-03-01,9495
1949-04-01,9594
1949-05-01,9516
1949-06-01,9521
1949-07-01,9417
1949-08-01,9422
1949-09-01,9544
1949-10-01,9540
1949-11-01,9617
1949-12-01,10002
1950-01-01,9377
1950-02-01,9292
1950-03-01,9351
1950-04-01,9472
1950-05-01,9430
1950-06-01,9590
1950-07-01,9621
1950-08-01,9743
1950-09-01,9882
1950-10-01,9962
1950-11-01,10047
1950-12-01,10397
1951-01-01,9836
1951-02-01,9827
1951-03-01,9960
1951-04-01,9926
1951-05-01,9965
1951-06-01,10029
1951-07-01,10005
1951-08-01,10007
1951-09-01,10102
1951-10-01,10189
1951-11-01,10349
1951-12-01,10698
1952-01-01,10071
1952-02-01,10034
1952-03-01,10067
1952-04-01,10148
1952-05-01,10130
1952-06-01,10197
1952-07-01,10148
1952-08-01,10203
1952-09-01,10351
1952-10-01,10475
1952-11-01,10618
1952-12-01,10997
1953-01-01,10333
1953-02-01,10288
1953-03-01,10356
1953-04-01,10358
1953-05-01,10397
1953-06-01,10465
1953-07-01,10442
1953-08-01,10423
1953-09-01,10506
1953-10-01,10601
1953-11-01,10686
1953-12-01,11009
1954-01-01,10312
1954-02-01,10212
1954-03-01,10170
1954-04-01,10300
1954-05-01,10210
1954-06-01,10257
1954-07-01,10249
1954-08-01,10225
1954-09-01,10315
1954-10-01,10389
1954-11-01,10526
1954-12-01,10941
1955-01-01,10276
1955-02-01,10206
1955-03-01,10289
1955-04-01,10366
1955-05-01,10397
1955-06-01,10540
1955-07-01,10568
1955-08-01,10593
1955-09-01,10733
1955-10-01,10800
1955-11-01,10979
1955-12-01,11414
1956-01-01,10751
1956-02-01,10691
1956-03-01,10778
1956-04-01,10774
1956-05-01,10806
1956-06-01,10894
1956-07-01,10809
1956-08-01,10845
1956-09-01,10914
1956-10-01,10986
1956-11-01,11110
1956-12-01,11502
1957-01-01,10800
1957-02-01,10735
1957-03-01,10760
1957-04-01,10861
1957-05-01,10841
1957-06-01,10913
1957-07-01,10904
1957-08-01,10919
1957-09-01,10982
1957-10-01,10978
1957-11-01,11053
1957-12-01,11363
1958-01-01,10663
1958-02-01,10488
1958-03-01,10439
1958-04-01,10447
1958-05-01,10478
1958-06-01,10567
1958-07-01,10547
1958-08-01,10569
1958-09-01,10659
1958-10-01,10735
1958-11-01,10853
1958-12-01,11240
1959-01-01,10658
1959-02-01,10592
1959-03-01,10654
1959-04-01,10743
1959-05-01,10855
1959-06-01,10971
1959-07-01,10960
1959-08-01,11014
1959-09-01,11040
1959-10-01,11076
1959-11-01,11178
1959-12-01,11591
1960-01-01,10968
1960-02-01,10898
1960-03-01,10890
1960-04-01,11122
1960-05-01,11072
1960-06-01,11162
1960-07-01,11139
1960-08-01,11166
1960-09-01,11173
1960-10-01,11198
1960-11-01,11231
1960-12-01,11554
1961-01-01,10896
1961-02-01,10750
1961-03-01,10782
1961-04-01,10823
1961-05-01,10895
1961-06-01,11019
1961-07-01,11037
1961-08-01,11063
1961-09-01,11085
1961-10-01,11125
1961-11-01,11227
1961-12-01,11581
1962-01-01,10940
1962-02-01,10889
1962-03-01,10924
1962-04-01,11095
1962-05-01,11123
1962-06-01,11241
1962-07-01,11213
1962-08-01,11243
1962-09-01,11276
1962-10-01,11307
1962-11-01,11382
1962-12-01,11750
1963-01-01,11050
1963-02-01,11032
1963-03-01,11071
1963-04-01,11240
1963-05-01,11244
1963-06-01,11376
1963-07-01,11374
1963-08-01,11399
1963-09-01,11434
1963-10-01,11477
1963-11-01,11564
1963-12-01,11952
1964-01-01,11339
1964-02-01,11280
1964-03-01,11355
1964-04-01,11426
1964-05-01,11515
1964-06-01,11669
1964-07-01,11703
1964-08-01,11735
1964-09-01,11773
1964-10-01,11823
1964-11-01,11933
1964-12-01,12367
1965-01-01,11686
1965-02-01,11665
1965-03-01,11737
1965-04-01,11944
1965-05-01,12000
1965-06-01,12172
1965-07-01,12182
1965-08-01,12198
1965-09-01,12258
1965-10-01,12312
1965-11-01,12431
1965-12-01,12865
1966-01-01,12206
1966-02-01,12143
1966-03-01,12222
1966-04-01,12392
1966-05-01,12469
1966-06-01,12667
1966-07-01,12665
1966-08-01,12663
1966-09-01,12719
1966-10-01,12767
1966-11-01,12898
1966-12-01,13306
1967-01-01,12634
1967-02-01,12536
1967-03-01,12631
1967-04-01,12699
1967-05-01,12820
1967-06-01,12984
1967-07-01,12989
1967-08-01,12990
1967-09-01,13021
1967-10-01,13035
1967-11-01,13225
1967-12-01,13617
1968-01-01,12879
1968-02-01,12863
1968-03-01,12935
1968-04-01,13121
1968-05-01,13141
1968-06-01,13357
1968-07-01,13365
1968-08-01,13403
1968-09-01,13452
1968-10-01,13520
1968-11-01,13687
1968-12-01,14060
1969-01-01,13399
1969-02-01,13346
1969-03-01,13440
1969-04-01,13611
1969-05-01,13717
1969-06-01,13932
1969-07-01,13917
1969-08-01,13927
1969-09-01,13950
1969-10-01,14025
1969-11-01,14189
1969-12-01,14540
1970-01-01,13901
1970-02-01,13826
1970-03-01,13910
1970-04-01,13986
1970-05-01,14050
1970-06-01,14205
1970-07-01,14195
1970-08-01,14144
1970-09-01,14171
1970-10-01,14206
1970-11-01,14291
1970-12-01,14603
1971-01-01,14019
1971-02-01,13936
1971-03-01,13998
1971-04-01,14130
1971-05-01,14228
1971-06-01,14359
1971-07-01,14321
1971-08-01,14307
1971-09-01,14388
1971-10-01,14408
1971-11-01,14548
1971-12-01,14930
1972-01-01,14358
1972-02-01,14298
1972-03-01,14413
1972-04-01,14549
1972-05-01,14645
1972-06-01,14839
1972-07-01,14755
1972-08-01,14795
1972-09-01,14866
1972-10-01,14978
1972-11-01,15176
1972-12-01,15526
1973-01-01,14942
1973-02-01,14874
1973-03-01,14972
1973-04-01,15113
1973-05-01,15231
1973-06-01,15402
1973-07-01,15327
1973-08-01,15363
1973-09-01,15449
1973-10-01,15554
1973-11-01,15720
1973-12-01,15971
1974-01-01,15398
1974-02-01,15277
1974-03-01,15333
1974-04-01,15489
1974-05-01,15626
1974-06-01,15771
1974-07-01,15738
1974-08-01,15731
1974-09-01,15800
1974-10-01,15868
1974-11-01,15933
1974-12-01,16074
1975-01-01,15403
1975-02-01,15215
1975-03-01,15227
1975-04-01,15318
1975-05-01,15459
1975-06-01,15604
1975-07-01,15590
1975-08-01,15637
1975-09-01,15723
1975-10-01,15765
1975-11-01,15892
1975-12-01,16164
1976-01-01,15676
1976-02-01,15614
1976-03-01,15702
1976-04-01,15929
1976-05-01,16063
1976-06-01,16179
1976-07-01,16159
1976-08-01,16191
1976-09-01,16307
1976-10-01,16301
1976-11-01,16427
1976-12-01,16716
1977-01-01,16199
1977-02-01,16083
1977-03-01,16230
1977-04-01,16450
1977-05-01,16631
1977-06-01,16806
1977-07-01,16796
1977-08-01,16853
1977-09-01,17006
1977-10-01,17033
1977-11-01,17233
1977-12-01,17566
1978-01-01,17022
1978-02-01,16921
1978-03-01,17085
1978-04-01,17339
1978-05-01,17536
1978-06-01,17745
1978-07-01,17689
1978-08-01,17756
1978-09-01,17873
1978-10-01,17964
1978-11-01,18180
1978-12-01,18482
1979-01-01,17928
1979-02-01,17813
1979-03-01,17945
1979-04-01,18026
1979-05-01,18227
1979-06-01,18388
1979-07-01,18282
1979-08-01,18310
1979-09-01,18403
1979-10-01,18469
1979-11-01,18654
1979-12-01,18871
1980-01-01,18265
1980-02-01,18145
1980-03-01,18213
1980-04-01,18268
1980-05-01,18342
1980-06-01,18399
1980-07-01,18308
1980-08-01,18371
1980-09-01,18447
1980-10-01,18451
1980-11-01,18587
1980-12-01,18848
1981-01-01,18255
1981-02-01,18151
1981-03-01,18227
1981-04-01,18441
1981-05-01,18581
1981-06-01,18723
1981-07-01,18682
1981-08-01,18727
1981-09-01,18757
1981-10-01,18705
1981-11-01,18756
1981-12-01,18918
1982-01-01,18268
1982-02-01,18129
1982-03-01,18177
1982-04-01,18314
1982-05-01,18483
1982-06-01,18593
1982-07-01,18520
1982-08-01,18524
1982-09-01,18518
1982-10-01,18444
1982-11-01,18496
1982-12-01,18698
1983-01-01,18108
1983-02-01,17960
1983-03-01,18065
1983-04-01,18283
1983-05-01,18484
1983-06-01,18703
1983-07-01,18740
1983-08-01,18796
1983-09-01,18970
1983-10-01,18996
1983-11-01,19151
1983-12-01,19442
1984-01-01,18958
1984-02-01,18902
1984-03-01,19036
1984-04-01,19272
1984-05-01,19478
1984-06-01,19723
1984-07-01,19751
1984-08-01,19829
1984-09-01,19922
1984-10-01,19983
1984-11-01,20206
1984-12-01,20433
1985-01-01,19823
1985-02-01,19717
1985-03-01,19871
1985-04-01,20087
1985-05-01,20322
1985-06-01,20519
1985-07-01,20475
1985-08-01,20533
1985-09-01,20571
1985-10-01,20583
1985-11-01,20727
1985-12-01,20970
1986-01-01,20318
1986-02-01,20180
1986-03-01,20280
1986-04-01,20485
1986-05-01,20711
1986-06-01,20844
1986-07-01,20886
1986-08-01,20952
1986-09-01,20986
1986-10-01,20999
1986-11-01,21153
1986-12-01,21387
1987-01-01,20728
1987-02-01,20637
1987-03-01,20754
1987-04-01,20994
1987-05-01,21184
1987-06-01,21387
1987-07-01,21370
1987-08-01,21425
1987-09-01,21463
1987-10-01,21558
1987-11-01,21750
1987-12-01,22007
1988-01-01,21351
1988-02-01,21327
1988-03-01,21430
1988-04-01,21632
1988-05-01,21856
1988-06-01,22084
1988-07-01,22075
1988-08-01,22136
1988-09-01,22140
1988-10-01,22177
1988-11-01,22397
1988-12-01,22700
1989-01-01,22067
1989-02-01,21995
1989-03-01,22105
1989-04-01,22251
1989-05-01,22449
1989-06-01,22617
1989-07-01,22561
1989-08-01,22627
1989-09-01,22578
1989-10-01,22594
1989-11-01,22835
1989-12-01,23048
1990-01-01,22608
1990-02-01,22303
1990-03-01,22296
1990-04-01,22401
1990-05-01,22558
1990-06-01,22697
1990-07-01,22630
1990-08-01,22615
1990-09-01,22616
1990-10-01,22694
1990-11-01,22965
1990-12-01,23221
1991-01-01,22397
1991-02-01,22023
1991-03-01,21964
1991-04-01,21984
1991-05-01,22126
1991-06-01,22241
1991-07-01,22202
1991-08-01,22220
1991-09-01,22211
1991-10-01,22276
1991-11-01,22543
1991-12-01,22797
1992-01-01,22001
1992-02-01,21776
1992-03-01,21755
1992-04-01,21868
1992-05-01,22009
1992-06-01,22139
1992-07-01,22060
1992-08-01,22051
1992-09-01,22073
1992-10-01,22196
1992-11-01,22456
1992-12-01,22741
1993-01-01,22038
1993-02-01,21874
1993-03-01,21838
1993-04-01,21971
1993-05-01,22167
1993-06-01,22339
1993-07-01,22358
1993-08-01,22373
1993-09-01,22445
1993-10-01,22601
1993-11-01,22914
1993-12-01,23243
1994-01-01,22504
1994-02-01,22387
1994-03-01,22477
1994-04-01,22601
1994-05-01,22861
1994-06-01,23071
1994-07-01,23106
1994-08-01,23192
1994-09-01,23303
1994-10-01,23486
1994-11-01,23900
1994-12-01,24259
1995-01-01,23501
1995-02-01,23326
1995-03-01,23328
1995-04-01,23483
