DATE,LNS11300012
1948-01-01,53.2
1948-02-01,53.7
1948-03-01,54.1
1948-04-01,54.2
1948-05-01,50.9
1948-06-01,53.8
1948-07-01,52.6
1948-08-01,51.5
1948-09-01,51.5
1948-10-01,50.6
1948-11-01,51
1948-12-01,53.1
1949-01-01,52.8
1949-02-01,53.7
1949-03-01,54.5
1949-04-01,53
1949-05-01,53.4
1949-06-01,49.8
1949-07-01,50.3
1949-08-01,51.7
1949-09-01,53.1
1949-10-01,52.5
1949-11-01,52.9
1949-12-01,52.6
1950-01-01,51.9
1950-02-01,51.7
1950-03-01,50.2
1950-04-01,50.8
1950-05-01,50.9
1950-06-01,50.4
1950-07-01,50.8
1950-08-01,52
1950-09-01,52.5
1950-10-01,53.5
1950-11-01,52.6
1950-12-01,52.5
1951-01-01,51.4
1951-02-01,51
1951-03-01,53.3
1951-04-01,50.9
1951-05-01,52.6
1951-06-01,51.3
1951-07-01,52.6
1951-08-01,53
1951-09-01,52.7
1951-10-01,52.4
1951-11-01,51.9
1951-12-01,52.9
1952-01-01,52.2
1952-02-01,51.8
1952-03-01,50.9
1952-04-01,50.7
1952-05-01,52.3
1952-06-01,52.8
1952-07-01,51.2
1952-08-01,50
1952-09-01,50.5
1952-10-01,50.2
1952-11-01,51.4
1952-12-01,51.1
1953-01-01,52.4
1953-02-01,54
1953-03-01,53.1
1953-04-01,51.8
1953-05-01,49.5
1953-06-01,50.9
1953-07-01,49.5
1953-08-01,49.6
1953-09-01,49.1
1953-10-01,48.2
1953-11-01,48.9
1953-12-01,49.2
1954-01-01,50.9
1954-02-01,51.4
1954-03-01,51.7
1954-04-01,50.1
1954-05-01,48.6
1954-06-01,46.3
1954-07-01,47.1
1954-08-01,48
1954-09-01,48.5
1954-10-01,47.3
1954-11-01,46.3
1954-12-01,44.6
1955-01-01,46.8
1955-02-01,45.4
1955-03-01,46.3
1955-04-01,47.3
1955-05-01,47.6
1955-06-01,46.7
1955-07-01,48.4
1955-08-01,49.6
1955-09-01,50.5
1955-10-01,51.1
1955-11-01,52.7
1955-12-01,53.4
1956-01-01,51.4
1956-02-01,50.5
1956-03-01,50
1956-04-01,49.4
1956-05-01,52.1
1956-06-01,52.5
1956-07-01,51.7
1956-08-01,50.6
1956-09-01,50.3
1956-10-01,49.7
1956-11-01,50.4
1956-12-01,50.3
1957-01-01,49.5
1957-02-01,49.8
1957-03-01,50.6
1957-04-01,49.5
1957-05-01,49.4
1957-06-01,50.2
1957-07-01,50.2
1957-08-01,48.4
1957-09-01,49.3
1957-10-01,49.3
1957-11-01,49.4
1957-12-01,49.3
1958-01-01,47.4
1958-02-01,48
1958-03-01,47.5
1958-04-01,48.1
1958-05-01,48.9
1958-06-01,46.5
1958-07-01,46.8
1958-08-01,47.1
1958-09-01,47.9
1958-10-01,47.9
1958-11-01,46.8
1958-12-01,47.1
1959-01-01,47.5
1959-02-01,46.7
1959-03-01,46.7
1959-04-01,47.7
1959-05-01,46.2
1959-06-01,46
1959-07-01,46.3
1959-08-01,46.6
1959-09-01,46.9
1959-10-01,46.6
1959-11-01,46.3
1959-12-01,47.4
1960-01-01,47.2
1960-02-01,47.4
1960-03-01,46.7
1960-04-01,48.5
1960-05-01,48.1
1960-06-01,49.7
1960-07-01,47.3
1960-08-01,46.9
1960-09-01,47.4
1960-10-01,47.3
1960-11-01,47.4
1960-12-01,46.5
1961-01-01,47.4
1961-02-01,46.7
1961-03-01,47.6
1961-04-01,46
1961-05-01,45.8
1961-06-01,47.8
1961-07-01,47.1
1961-08-01,48
1961-09-01,46.4
1961-10-01,46.4
1961-11-01,47.4
1961-12-01,45.6
1962-01-01,45.6
1962-02-01,45.9
1962-03-01,46.8
1962-04-01,46.5
1962-05-01,47.4
1962-06-01,47.8
1962-07-01,46.5
1962-08-01,46.4
1962-09-01,45.8
1962-10-01,45.3
1962-11-01,44.9
1962-12-01,44.8
1963-01-01,45.4
1963-02-01,45.1
1963-03-01,44.8
1963-04-01,45.3
1963-05-01,46.2
1963-06-01,44.6
1963-07-01,45
1963-08-01,44.8
1963-09-01,45.7
1963-10-01,45.8
1963-11-01,44.8
1963-12-01,43.9
1964-01-01,44.4
1964-02-01,45.3
1964-03-01,45
1964-04-01,44
1964-05-01,44.8
1964-06-01,44.4
1964-07-01,44
1964-08-01,44.2
1964-09-01,45.5
1964-10-01,44.1
1964-11-01,44.1
1964-12-01,44.3
1965-01-01,43
1965-02-01,43.7
1965-03-01,44.1
1965-04-01,45.3
1965-05-01,45.6
1965-06-01,44
1965-07-01,46.3
1965-08-01,45.5
1965-09-01,46.5
1965-10-01,47.8
1965-11-01,47.1
1965-12-01,48.1
1966-01-01,48
1966-02-01,46.7
1966-03-01,46.9
1966-04-01,47.4
1966-05-01,46.9
1966-06-01,48.5
1966-07-01,49.1
1966-08-01,49.3
1966-09-01,47.5
1966-10-01,48.2
1966-11-01,49.1
1966-12-01,49.3
1967-01-01,48.3
1967-02-01,48.2
1967-03-01,47.5
1967-04-01,47.6
1967-05-01,47.2
1967-06-01,48.8
1967-07-01,49
1967-08-01,49.5
1967-09-01,48.3
1967-10-01,48.7
1967-11-01,48.3
1967-12-01,48.3
1968-01-01,46.6
1968-02-01,48.5
1968-03-01,48.2
1968-04-01,47.9
1968-05-01,48.2
1968-06-01,49.3
1968-07-01,49.1
1968-08-01,49
1968-09-01,47.9
1968-10-01,48
1968-11-01,47.7
1968-12-01,47.8
1969-01-01,47.7
1969-02-01,47.8
1969-03-01,48.3
1969-04-01,48.7
1969-05-01,47.5
1969-06-01,49.6
1969-07-01,50
1969-08-01,50
1969-09-01,50.5
1969-10-01,50.9
1969-11-01,50.9
1969-12-01,50.4
1970-01-01,50.4
1970-02-01,50.3
1970-03-01,50.4
1970-04-01,49.9
1970-05-01,49.7
1970-06-01,49
1970-07-01,49.4
1970-08-01,49.7
1970-09-01,50.4
1970-10-01,50.1
1970-11-01,50.1
1970-12-01,49.8
1971-01-01,50
1971-02-01,49.9
1971-03-01,49.3
1971-04-01,49.7
1971-05-01,49.4
1971-06-01,47.5
1971-07-01,50.5
1971-08-01,50.5
1971-09-01,49.3
1971-10-01,49.7
1971-11-01,50.5
1971-12-01,50.6
1972-01-01,51.1
1972-02-01,51.4
1972-03-01,51.9
1972-04-01,51.8
1972-05-01,51.5
1972-06-01,51.9
1972-07-01,51.6
1972-08-01,52.9
1972-09-01,51.6
1972-10-01,51.9
1972-11-01,52.4
1972-12-01,52.8
1973-01-01,50.8
1973-02-01,52.9
1973-03-01,53.5
1973-04-01,53.7
1973-05-01,53.2
1973-06-01,54.5
1973-07-01,53.3
1973-08-01,53.2
1973-09-01,54.3
1973-10-01,54.8
1973-11-01,55.1
1973-12-01,55.1
1974-01-01,55.1
1974-02-01,55.2
1974-03-01,55
1974-04-01,53.8
1974-05-01,54.3
1974-06-01,55.3
1974-07-01,54.9
1974-08-01,53.8
1974-09-01,55.7
1974-10-01,55.5
1974-11-01,55.1
1974-12-01,54.4
1975-01-01,54.9
1975-02-01,54.1
1975-03-01,54.1
1975-04-01,53.6
1975-05-01,54.7
1975-06-01,53.8
1975-07-01,54.1
1975-08-01,53.8
1975-09-01,54.1
1975-10-01,53.5
1975-11-01,53.2
1975-12-01,53.8
1976-01-01,54.2
1976-02-01,54.2
1976-03-01,54.4
1976-04-01,55.2
1976-05-01,55.1
1976-06-01,53.8
1976-07-01,55.3
1976-08-01,55.1
1976-09-01,53.9
1976-10-01,54.4
1976-11-01,54.4
1976-12-01,54.1
1977-01-01,54.2
1977-02-01,55.2
1977-03-01,55.5
1977-04-01,55.7
1977-05-01,55.6
1977-06-01,57
1977-07-01,56.1
1977-08-01,57.2
1977-09-01,55.9
1977-10-01,56.5
1977-11-01,57.2
1977-12-01,56.3
1978-01-01,56.7
1978-02-01,56.6
1978-03-01,56.5
1978-04-01,57
1978-05-01,57.9
1978-06-01,58.5
1978-07-01,58.4
1978-08-01,59.3
1978-09-01,58.1
1978-10-01,58.3
1978-11-01,58.2
1978-12-01,58.2
1979-01-01,58.5
1979-02-01,58.6
1979-03-01,58.4
1979-04-01,57.9
1979-05-01,57.3
1979-06-01,58
1979-07-01,57.7
1979-08-01,56.8
1979-09-01,57.8
1979-10-01,57.5
1979-11-01,57.7
1979-12-01,58.3
1980-01-01,57.7
1980-02-01,57.2
1980-03-01,57.2
1980-04-01,55.9
1980-05-01,57
1980-06-01,57
1980-07-01,57.3
1980-08-01,55.9
1980-09-01,56.3
1980-10-01,56.6
1980-11-01,56.2
1980-12-01,55.9
1981-01-01,56.7
1981-02-01,56.6
1981-03-01,56.4
1981-04-01,57
1981-05-01,56.3
1981-06-01,54
1981-07-01,54.5
1981-08-01,55.2
1981-09-01,54.8
1981-10-01,55
1981-11-01,55.2
1981-12-01,53.8
1982-01-01,54.4
1982-02-01,54.7
1982-03-01,53.8
1982-04-01,54.3
1982-05-01,55.3
1982-06-01,52.5
1982-07-01,53.2
1982-08-01,54.2
1982-09-01,54
1982-10-01,54.4
1982-11-01,54.7
1982-12-01,53.9
1983-01-01,53.7
1983-02-01,52.7
1983-03-01,52.5
1983-04-01,52.6
1983-05-01,52.2
1983-06-01,55.2
1983-07-01,53.8
1983-08-01,55.1
1983-09-01,53.8
1983-10-01,53
1983-11-01,53.6
1983-12-01,53.8
1984-01-01,53.2
1984-02-01,53.3
1984-03-01,53.3
1984-04-01,53.9
1984-05-01,53.8
1984-06-01,55.2
1984-07-01,54.8
1984-08-01,53.3
1984-09-01,54.4
1984-10-01,53.9
1984-11-01,53.8
1984-12-01,54.5
1985-01-01,55
1985-02-01,54.9
1985-03-01,55.3
1985-04-01,54.7
1985-05-01,55
1985-06-01,53
1985-07-01,55.5
1985-08-01,53.4
1985-09-01,54.1
1985-10-01,54.5
1985-11-01,54.3
1985-12-01,54.1
1986-01-01,53.3
1986-02-01,54.6
1986-03-01,55.1
1986-04-01,55.6
1986-05-01,55.2
1986-06-01,55.4
1986-07-01,54.7
1986-08-01,54.6
1986-09-01,54.8
1986-10-01,54.9
1986-11-01,54.2
1986-12-01,53.4
1987-01-01,54
1987-02-01,54.8
1987-03-01,54.4
1987-04-01,54.4
1987-05-01,55.3
1987-06-01,53.7
1987-07-01,54.1
1987-08-01,56.2
1987-09-01,54.3
1987-10-01,55.1
1987-11-01,54.6
1987-12-01,55.4
1988-01-01,55.6
1988-02-01,55
1988-03-01,53.8
1988-04-01,54.4
1988-05-01,54.2
1988-06-01,56.4
1988-07-01,56.4
1988-08-01,56.6
1988-09-01,56.1
1988-10-01,55.1
1988-11-01,54.8
1988-12-01,55.1
1989-01-01,55.6
1989-02-01,54.8
1989-03-01,54.5
1989-04-01,55.5
1989-05-01,55.5
1989-06-01,57
1989-07-01,56.1
1989-08-01,57.4
1989-09-01,55.6
1989-10-01,56.3
1989-11-01,56.5
1989-12-01,55.8
1990-01-01,54.9
1990-02-01,54.3
1990-03-01,55
1990-04-01,54.6
1990-05-01,54.2
1990-06-01,53.5
1990-07-01,53.5
1990-08-01,53.5
1990-09-01,52.6
1990-10-01,52.7
1990-11-01,52.4
1990-12-01,52.6
1991-01-01,52.6
1991-02-01,52.2
1991-03-01,52.5
1991-04-01,52
1991-05-01,51.7
1991-06-01,51.4
1991-07-01,50.8
1991-08-01,50.6
1991-09-01,50.8
1991-10-01,51.5
1991-11-01,51.4
1991-12-01,51.2
1992-01-01,51.6
1992-02-01,51.3
1992-03-01,50.5
1992-04-01,49.8
1992-05-01,50.8
1992-06-01,51.6
1992-07-01,51.2
1992-08-01,52
1992-09-01,52.1
1992-10-01,50.4
1992-11-01,51.7
1992-12-01,51.9
1993-01-01,51.2
1993-02-01,51.9
1993-03-01,51.7
1993-04-01,51.2
1993-05-01,52.2
1993-06-01,51
1993-07-01,51.7
1993-08-01,51.8
1993-09-01,51.3
1993-10-01,51.1
1993-11-01,51.5
1993-12-01,51.1
1994-01-01,53.2
1994-02-01,52.8
1994-03-01,52.4
1994-04-01,53.4
1994-05-01,52.6
1994-06-01,53
1994-07-01,52.2
1994-08-01,53.5
1994-09-01,51.5
1994-10-01,52.9
1994-11-01,52.1
1994-12-01,53.2
1995-01-01,53.6
1995-02-01,53.6
1995-03-01,54
1995-04-01,54
1995-05-01,53
1995-06-01,54.1
1995-07-01,53.7
1995-08-01,54.3
1995-09-01,53.4
1995-10-01,53
1995-11-01,52.6
1995-12-01,52.8
1996-01-01,52.6
1996-02-01,52.2
1996-03-01,52
1996-04-01,52.5
1996-05-01,52.9
1996-06-01,52
1996-07-01,52.5
1996-08-01,51.4
1996-09-01,52.5
1996-10-01,52.7
1996-11-01,52.1
1996-12-01,52.1
1997-01-01,51.8
1997-02-01,52.1
1997-03-01,52.1
1997-04-01,52.1
1997-05-01,52.1
1997-06-01,51.2
1997-07-01,51.9
1997-08-01,51.5
1997-09-01,51.1
1997-10-01,50.9
1997-11-01,52
1997-12-01,51.3
1998-01-01,53
1998-02-01,52.7
1998-03-01,53.1
1998-04-01,51.8
1998-05-01,52.7
1998-06-01,52.8
1998-07-01,52.4
1998-08-01,52.8
1998-09-01,54.1
1998-10-01,52.9
1998-11-01,52.4
1998-12-01,52.6
1999-01-01,52.6
1999-02-01,52.7
1999-03-01,52.2
1999-04-01,52.1
1999-05-01,52.7
1999-06-01,51
1999-07-01,51.7
1999-08-01,51.1
1999-09-01,51.7
1999-10-01,52
1999-11-01,51.9
1999-12-01,51.9
2000-01-01,52.2
2000-02-01,52.2
2000-03-01,52
2000-04-01,52.9
2000-05-01,52.4
2000-06-01,52.4
2000-07-01,51
2000-08-01,52.3
2000-09-01,51.6
2000-10-01,51.3
2000-11-01,51.8
2000-12-01,52
2001-01-01,51.7
2001-02-01,51.1
2001-03-01,50.9
2001-04-01,50.2
2001-05-01,49
2001-06-01,50.1
2001-07-01,49.8
2001-08-01,47.3
2001-09-01,49.2
2001-10-01,49.3
2001-11-01,49.2
2001-12-01,48.1
2002-01-01,47.4
2002-02-01,47.6
2002-03-01,48.5
2002-04-01,47.6
2002-05-01,47.4
2002-06-01,47.8
2002-07-01,47.5
2002-08-01,46.8
2002-09-01,48.1
2002-10-01,47.2
2002-11-01,47
2002-12-01,46.4
2003-01-01,45.9
2003-02-01,45.7
2003-03-01,44.5
2003-04-01,45
2003-05-01,45
2003-06-01,45.2
2003-07-01,44.4
2003-08-01,43.7
2003-09-01,44.1
2003-10-01,43.7
2003-11-01,44
2003-12-01,43.1
2004-01-01,44.5
2004-02-01,43.8
2004-03-01,42.8
2004-04-01,43.8
2004-05-01,44
2004-06-01,43.2
2004-07-01,44.2
2004-08-01,43.9
2004-09-01,43.4
2004-10-01,44.2
2004-11-01,44.3
2004-12-01,44.2
2005-01-01,43.4
2005-02-01,43.3
2005-03-01,44
2005-04-01,44
2005-05-01,44
2005-06-01,43.6
2005-07-01,43.6
2005-08-01,44.1
2005-09-01,43.4
2005-10-01,43.3
2005-11-01,44.1
2005-12-01,43.2
2006-01-01,43.6
2006-02-01,44.1
2006-03-01,44.3
2006-04-01,43.3
2006-05-01,43.4
2006-06-01,44.4
2006-07-01,43.9
2006-08-01,43.4
2006-09-01,43
2006-10-01,43.4
2006-11-01,43.6
2006-12-01,43.3
2007-01-01,42.9
2007-02-01,42.2
2007-03-01,41.7
2007-04-01,41.2
2007-05-01,40.6
2007-06-01,41.9
2007-07-01,40.9
2007-08-01,39.5
2007-09-01,41.1
2007-10-01,41.3
2007-11-01,41.5
