DATE,LNS12000093
1948-01-01,10507
1948-02-01,10510
1948-03-01,10466
1948-04-01,10599
1948-05-01,10499
1948-06-01,10649
1948-07-01,10827
1948-08-01,10644
1948-09-01,10736
1948-10-01,10705
1948-11-01,10667
1948-12-01,10673
1949-01-01,10618
1949-02-01,10582
1949-03-01,10611
1949-04-01,10599
1949-05-01,10594
1949-06-01,10573
1949-07-01,10623
1949-08-01,10639
1949-09-01,10686
1949-10-01,10645
1949-11-01,10749
1949-12-01,10711
1950-01-01,10674
1950-02-01,10665
1950-03-01,10763
1950-04-01,10871
1950-05-01,10937
1950-06-01,11057
1950-07-01,10967
1950-08-01,11059
1950-09-01,11075
1950-10-01,11168
1950-11-01,11169
1950-12-01,11173
1951-01-01,11246
1951-02-01,11253
1951-03-01,11314
1951-04-01,11313
1951-05-01,11409
1951-06-01,11282
1951-07-01,11581
1951-08-01,11546
1951-09-01,11414
1951-10-01,11467
1951-11-01,11582
1951-12-01,11636
1952-01-01,11642
1952-02-01,11694
1952-03-01,11735
1952-04-01,11644
1952-05-01,11616
1952-06-01,11620
1952-07-01,11620
1952-08-01,11535
1952-09-01,11775
1952-10-01,11719
1952-11-01,11782
1952-12-01,11867
1953-01-01,11899
1953-02-01,12106
1953-03-01,12067
1953-04-01,12039
1953-05-01,11777
1953-06-01,11937
1953-07-01,12101
1953-08-01,12001
1953-09-01,11971
1953-10-01,12013
1953-11-01,11912
1953-12-01,11824
1954-01-01,11858
1954-02-01,12006
1954-03-01,11849
1954-04-01,11839
1954-05-01,11946
1954-06-01,11956
1954-07-01,11902
1954-08-01,11863
1954-09-01,12059
1954-10-01,12116
1954-11-01,12164
1954-12-01,12146
1955-01-01,12308
1955-02-01,12344
1955-03-01,12362
1955-04-01,12409
1955-05-01,12439
1955-06-01,12518
1955-07-01,12627
1955-08-01,12687
1955-09-01,12714
1955-10-01,12718
1955-11-01,12733
1955-12-01,12804
1956-01-01,12854
1956-02-01,12787
1956-03-01,12839
1956-04-01,12884
1956-05-01,12924
1956-06-01,13008
1956-07-01,12965
1956-08-01,13106
1956-09-01,13081
1956-10-01,13075
1956-11-01,13088
1956-12-01,13115
1957-01-01,13073
1957-02-01,13180
1957-03-01,13343
1957-04-01,13329
1957-05-01,13322
1957-06-01,13312
1957-07-01,13469
1957-08-01,13305
1957-09-01,13372
1957-10-01,13388
1957-11-01,13349
1957-12-01,13387
1958-01-01,13375
1958-02-01,13351
1958-03-01,13322
1958-04-01,13294
1958-05-01,13354
1958-06-01,13377
1958-07-01,13449
1958-08-01,13491
1958-09-01,13494
1958-10-01,13604
1958-11-01,13582
1958-12-01,13679
1959-01-01,13722
1959-02-01,13698
1959-03-01,13831
1959-04-01,13927
1959-05-01,13953
1959-06-01,14085
1959-07-01,14038
1959-08-01,13944
1959-09-01,13885
1959-10-01,13891
1959-11-01,13919
1959-12-01,14077
1960-01-01,14093
1960-02-01,14130
1960-03-01,14043
1960-04-01,14228
1960-05-01,14249
1960-06-01,14302
1960-07-01,14303
1960-08-01,14337
1960-09-01,14426
1960-10-01,14234
1960-11-01,14335
1960-12-01,14180
1961-01-01,14153
1961-02-01,14112
1961-03-01,14268
1961-04-01,14240
1961-05-01,14289
1961-06-01,14356
1961-07-01,14307
1961-08-01,14332
1961-09-01,14348
1961-10-01,14506
1961-11-01,14465
1961-12-01,14465
1962-01-01,14564
1962-02-01,14523
1962-03-01,14502
1962-04-01,14332
1962-05-01,14439
1962-06-01,14401
1962-07-01,14416
1962-08-01,14550
1962-09-01,14522
1962-10-01,14606
1962-11-01,14525
1962-12-01,14525
1963-01-01,14528
1963-02-01,14647
1963-03-01,14697
1963-04-01,14735
1963-05-01,14661
1963-06-01,14728
1963-07-01,14684
1963-08-01,14724
1963-09-01,14760
1963-10-01,14883
1963-11-01,14943
1963-12-01,15005
1964-01-01,14983
1964-02-01,15052
1964-03-01,15050
1964-04-01,15116
1964-05-01,15142
1964-06-01,14982
1964-07-01,15049
1964-08-01,15101
1964-09-01,15206
1964-10-01,15130
1964-11-01,15096
1964-12-01,15210
1965-01-01,15231
1965-02-01,15157
1965-03-01,15186
1965-04-01,15258
1965-05-01,15313
1965-06-01,15405
1965-07-01,15425
1965-08-01,15357
1965-09-01,15332
1965-10-01,15357
1965-11-01,15416
1965-12-01,15391
1966-01-01,15459
1966-02-01,15465
1966-03-01,15493
1966-04-01,15524
1966-05-01,15586
1966-06-01,15601
1966-07-01,15650
1966-08-01,15675
1966-09-01,15750
1966-10-01,15739
1966-11-01,15785
1966-12-01,15655
1967-01-01,15744
1967-02-01,15699
1967-03-01,15615
1967-04-01,15745
