DATE,LNS12024230
1948-01-01,9741
1948-02-01,9813
1948-03-01,9771
1948-04-01,9871
1948-05-01,9832
1948-06-01,9974
1948-07-01,10005
1948-08-01,9979
1948-09-01,9932
1948-10-01,9979
1948-11-01,9930
1948-12-01,10028
1949-01-01,9949
1949-02-01,9912
1949-03-01,9835
1949-04-01,9857
1949-05-01,9776
1949-06-01,9793
1949-07-01,9777
1949-08-01,9816
1949-09-01,9943
1949-10-01,10030
1949-11-01,10087
1949-12-01,10089
1950-01-01,10044
1950-02-01,10077
1950-03-01,10072
1950-04-01,10077
1950-05-01,10212
1950-06-01,10141
1950-07-01,10222
1950-08-01,10260
1950-09-01,10217
1950-10-01,10181
1950-11-01,10257
1950-12-01,10225
1951-01-01,10177
1951-02-01,10319
1951-03-01,10619
1951-04-01,10508
1951-05-01,10558
1951-06-01,10530
1951-07-01,10544
1951-08-01,10548
1951-09-01,10490
1951-10-01,10391
1951-11-01,10476
1951-12-01,10544
1952-01-01,10645
1952-02-01,10557
1952-03-01,10390
1952-04-01,10446
1952-05-01,10624
1952-06-01,10546
1952-07-01,10628
1952-08-01,10702
1952-09-01,10949
1952-10-01,10875
1952-11-01,11106
1952-12-01,10969
1953-01-01,10916
1953-02-01,10964
1953-03-01,11143
1953-04-01,10985
1953-05-01,10917
1953-06-01,11110
1953-07-01,11106
1953-08-01,11122
1953-09-01,10920
1953-10-01,11020
1953-11-01,10794
1953-12-01,10694
1954-01-01,10844
1954-02-01,10949
1954-03-01,10853
1954-04-01,10926
1954-05-01,10876
1954-06-01,10829
1954-07-01,10813
1954-08-01,11013
1954-09-01,11077
1954-10-01,11122
1954-11-01,11077
1954-12-01,11063
1955-01-01,11019
1955-02-01,10989
1955-03-01,11122
1955-04-01,11261
1955-05-01,11229
1955-06-01,11222
1955-07-01,11405
1955-08-01,11478
1955-09-01,11495
1955-10-01,11553
1955-11-01,11657
1955-12-01,11658
1956-01-01,11776
1956-02-01,11652
1956-03-01,11852
1956-04-01,11877
1956-05-01,11929
1956-06-01,11845
1956-07-01,11885
1956-08-01,11841
1956-09-01,11873
1956-10-01,11794
1956-11-01,11834
1956-12-01,11838
1957-01-01,11728
1957-02-01,11820
1957-03-01,11870
1957-04-01,11717
1957-05-01,11727
1957-06-01,11840
1957-07-01,11776
1957-08-01,11629
1957-09-01,11664
1957-10-01,11642
1957-11-01,11615
1957-12-01,11755
1958-01-01,11648
1958-02-01,11706
1958-03-01,11699
1958-04-01,11615
1958-05-01,11654
1958-06-01,11631
1958-07-01,11534
1958-08-01,11471
1958-09-01,11564
1958-10-01,11566
1958-11-01,11586
1958-12-01,11573
1959-01-01,11645
1959-02-01,11529
1959-03-01,11728
1959-04-01,11774
1959-05-01,11826
1959-06-01,11865
1959-07-01,11947
1959-08-01,11999
