DATE,LNS12034560
1948-01-01,8077
1948-02-01,7696
1948-03-01,7333
1948-04-01,7557
1948-05-01,7141
1948-06-01,7591
1948-07-01,7602
1948-08-01,7562
1948-09-01,7865
1948-10-01,7626
1948-11-01,7624
1948-12-01,7984
1949-01-01,7790
1949-02-01,8022
1949-03-01,8008
1949-04-01,7911
1949-05-01,8067
1949-06-01,7802
1949-07-01,8021
1949-08-01,7604
1949-09-01,7297
1949-10-01,6814
1949-11-01,7497
1949-12-01,7379
1950-01-01,7065
1950-02-01,7057
1950-03-01,7116
1950-04-01,7264
1950-05-01,7277
1950-06-01,7285
1950-07-01,7126
1950-08-01,7248
1950-09-01,6992
1950-10-01,7371
1950-11-01,7163
1950-12-01,6760
1951-01-01,6828
1951-02-01,6738
1951-03-01,6858
1951-04-01,6722
1951-05-01,6752
1951-06-01,6529
1951-07-01,6601
1951-08-01,6790
1951-09-01,6558
1951-10-01,6636
1951-11-01,6699
1951-12-01,7065
1952-01-01,7148
1952-02-01,7020
1952-03-01,6468
1952-04-01,6525
1952-05-01,6334
1952-06-01,6529
1952-07-01,6334
1952-08-01,6174
1952-09-01,6537
1952-10-01,6363
1952-11-01,6509
1952-12-01,6361
1953-01-01,6642
1953-02-01,6463
1953-03-01,6420
1953-04-01,6362
1953-05-01,5937
1953-06-01,6361
1953-07-01,6267
1953-08-01,6319
1953-09-01,6198
1953-10-01,6096
1953-11-01,6345
1953-12-01,5929
1954-01-01,6073
1954-02-01,6590
1954-03-01,6395
1954-04-01,6142
1954-05-01,6210
1954-06-01,6162
1954-07-01,6222
1954-08-01,6087
1954-09-01,6453
1954-10-01,6242
1954-11-01,5934
1954-12-01,5848
1955-01-01,6113
1955-02-01,5854
1955-03-01,6242
1955-04-01,6363
1955-05-01,6327
1955-06-01,6243
1955-07-01,6438
1955-08-01,6575
1955-09-01,6819
1955-10-01,6728
1955-11-01,6655
1955-12-01,6653
1956-01-01,6590
1956-02-01,6457
1956-03-01,6221
1956-04-01,6460
1956-05-01,6375
1956-06-01,6335
1956-07-01,6320
1956-08-01,6280
1956-09-01,6375
1956-10-01,6137
1956-11-01,5997
1956-12-01,5806
1957-01-01,5790
1957-02-01,6125
1957-03-01,5963
1957-04-01,5836
1957-05-01,5999
1957-06-01,6002
1957-07-01,6401
1957-08-01,5898
1957-09-01,5728
1957-10-01,5875
1957-11-01,5686
1957-12-01,6037
1958-01-01,5831
1958-02-01,5654
1958-03-01,5561
1958-04-01,5602
1958-05-01,5647
1958-06-01,5510
1958-07-01,5525
1958-08-01,5673
1958-09-01,5453
1958-10-01,5563
1958-11-01,5571
1958-12-01,5521
1959-01-01,5481
1959-02-01,5429
1959-03-01,5677
1959-04-01,5893
1959-05-01,5792
1959-06-01,5712
1959-07-01,5564
1959-08-01,5442
1959-09-01,5447
1959-10-01,5355
1959-11-01,5480
1959-12-01,5458
1960-01-01,5458
1960-02-01,5443
1960-03-01,4959
1960-04-01,5471
1960-05-01,5359
1960-06-01,5416
1960-07-01,5542
1960-08-01,5520
1960-09-01,5755
1960-10-01,5436
1960-11-01,5513
1960-12-01,5622
1961-01-01,5422
1961-02-01,5472
1961-03-01,5406
1961-04-01,5037
1961-05-01,5099
1961-06-01,5220
1961-07-01,5153
1961-08-01,5366
1961-09-01,5021
1961-10-01,5203
1961-11-01,5090
1961-12-01,4992
1962-01-01,5094
1962-02-01,5289
1962-03-01,5157
1962-04-01,5009
1962-05-01,4964
1962-06-01,4943
1962-07-01,4840
1962-08-01,4866
1962-09-01,4867
1962-10-01,4816
1962-11-01,4831
1962-12-01,4647
1963-01-01,4882
1963-02-01,4652
1963-03-01,4696
1963-04-01,4670
1963-05-01,4729
1963-06-01,4642
1963-07-01,4694
1963-08-01,4604
1963-09-01,4650
1963-10-01,4702
1963-11-01,4694
1963-12-01,4629
1964-01-01,4603
1964-02-01,4563
1964-03-01,4366
1964-04-01,4414
1964-05-01,4603
1964-06-01,4556
1964-07-01,4591
1964-08-01,4573
1964-09-01,4619
1964-10-01,4550
1964-11-01,4496
1964-12-01,4322
1965-01-01,4271
1965-02-01,4322
1965-03-01,4318
1965-04-01,4424
1965-05-01,4724
1965-06-01,4444
1965-07-01,4390
1965-08-01,4355
1965-09-01,4271
1965-10-01,4418
1965-11-01,4093
1965-12-01,4159
1966-01-01,4077
1966-02-01,4078
1966-03-01,4069
1966-04-01,4108
1966-05-01,3930
1966-06-01,3967
1966-07-01,3920
1966-08-01,3921
1966-09-01,3952
1966-10-01,3912
1966-11-01,3945
1966-12-01,3906
1967-01-01,3890
1967-02-01,3723
1967-03-01,3757
1967-04-01,3748
1967-05-01,3658
1967-06-01,3689
1967-07-01,3833
1967-08-01,3963
1967-09-01,3851
1967-10-01,4008
1967-11-01,3933
1967-12-01,4076
1968-01-01,3908
1968-02-01,3959
1968-03-01,3904
1968-04-01,3875
1968-05-01,3814
1968-06-01,3806
1968-07-01,3820
1968-08-01,3736
1968-09-01,3758
1968-10-01,3741
1968-11-01,3758
1968-12-01,3746
1969-01-01,3704
1969-02-01,3770
1969-03-01,3668
1969-04-01,3629
1969-05-01,3706
1969-06-01,3663
1969-07-01,3548
1969-08-01,3613
1969-09-01,3551
1969-10-01,3517
1969-11-01,3477
1969-12-01,3409
1970-01-01,3422
1970-02-01,3439
1970-03-01,3499
1970-04-01,3568
1970-05-01,3547
1970-06-01,3555
1970-07-01,3517
1970-08-01,3418
1970-09-01,3451
1970-10-01,3337
1970-11-01,3372
1970-12-01,3380
1971-01-01,3393
1971-02-01,3288
1971-03-01,3356
1971-04-01,3574
1971-05-01,3449
1971-06-01,3334
1971-07-01,3386
1971-08-01,3395
1971-09-01,3367
1971-10-01,3405
1971-11-01,3410
1971-12-01,3371
1972-01-01,3366
1972-02-01,3358
1972-03-01,3438
1972-04-01,3382
1972-05-01,3412
1972-06-01,3402
1972-07-01,3461
1972-08-01,3603
1972-09-01,3568
1972-10-01,3634
1972-11-01,3517
1972-12-01,3596
1973-01-01,3456
1973-02-01,3415
1973-03-01,3469
1973-04-01,3407
1973-05-01,3376
1973-06-01,3509
1973-07-01,3540
1973-08-01,3425
1973-09-01,3342
1973-10-01,3424
1973-11-01,3593
1973-12-01,3658
1974-01-01,3756
1974-02-01,3824
1974-03-01,3726
1974-04-01,3582
1974-05-01,3529
1974-06-01,3386
1974-07-01,3436
1974-08-01,3429
1974-09-01,3460
1974-10-01,3431
1974-11-01,3405
1974-12-01,3361
1975-01-01,3401
1975-02-01,3361
1975-03-01,3358
1975-04-01,3315
1975-05-01,3560
1975-06-01,3368
1975-07-01,3457
1975-08-01,3429
1975-09-01,3508
1975-10-01,3397
1975-11-01,3331
1975-12-01,3259
1976-01-01,3387
1976-02-01,3304
1976-03-01,3296
1976-04-01,3438
1976-05-01,3367
1976-06-01,3310
1976-07-01,3358
1976-08-01,3380
1976-09-01,3278
1976-10-01,3316
1976-11-01,3263
1976-12-01,3251
1977-01-01,3185
1977-02-01,3222
1977-03-01,3212
1977-04-01,3313
1977-05-01,3432
1977-06-01,3340
1977-07-01,3247
1977-08-01,3260
1977-09-01,3201
1977-10-01,3272
1977-11-01,3375
1977-12-01,3320
1978-01-01,3434
1978-02-01,3320
1978-03-01,3351
1978-04-01,3349
1978-05-01,3325
1978-06-01,3483
1978-07-01,3441
1978-08-01,3401
1978-09-01,3400
1978-10-01,3409
1978-11-01,3284
1978-12-01,3396
1979-01-01,3305
1979-02-01,3373
1979-03-01,3368
1979-04-01,3291
1979-05-01,3272
1979-06-01,3331
1979-07-01,3335
1979-08-01,3374
1979-09-01,3371
1979-10-01,3325
1979-11-01,3436
1979-12-01,3400
1980-01-01,3316
1980-02-01,3397
1980-03-01,3418
1980-04-01,3326
1980-05-01,3382
1980-06-01,3296
1980-07-01,3319
1980-08-01,3234
1980-09-01,3443
1980-10-01,3372
1980-11-01,3396
1980-12-01,3492
1981-01-01,3429
1981-02-01,3345
1981-03-01,3365
1981-04-01,3529
1981-05-01,3369
1981-06-01,3334
1981-07-01,3296
1981-08-01,3379
1981-09-01,3361
1981-10-01,3412
1981-11-01,3415
1981-12-01,3227
1982-01-01,3393
1982-02-01,3375
1982-03-01,3372
1982-04-01,3351
1982-05-01,3434
1982-06-01,3331
1982-07-01,3402
1982-08-01,3408
1982-09-01,3385
1982-10-01,3489
1982-11-01,3510
1982-12-01,3414
1983-01-01,3439
1983-02-01,3382
1983-03-01,3360
1983-04-01,3341
1983-05-01,3328
1983-06-01,3462
1983-07-01,3481
1983-08-01,3502
1983-09-01,3347
1983-10-01,3303
1983-11-01,3291
1983-12-01,3332
1984-01-01,3293
1984-02-01,3353
1984-03-01,3233
1984-04-01,3291
1984-05-01,3343
1984-06-01,3383
1984-07-01,3344
1984-08-01,3286
1984-09-01,3393
1984-10-01,3194
1984-11-01,3394
1984-12-01,3385
1985-01-01,3317
1985-02-01,3317
1985-03-01,3250
1985-04-01,3306
1985-05-01,3280
1985-06-01,3161
1985-07-01,3143
1985-08-01,3121
1985-09-01,3064
1985-10-01,3051
1985-11-01,3062
1985-12-01,3141
1986-01-01,3287
1986-02-01,3083
1986-03-01,3200
1986-04-01,3153
1986-05-01,3150
1986-06-01,3193
1986-07-01,3141
1986-08-01,3082
1986-09-01,3171
1986-10-01,3128
1986-11-01,3220
1986-12-01,3148
1987-01-01,3143
1987-02-01,3208
1987-03-01,3214
1987-04-01,3246
1987-05-01,3345
1987-06-01,3216
1987-07-01,3235
1987-08-01,3112
1987-09-01,3189
1987-10-01,3219
1987-11-01,3145
1987-12-01,3213
1988-01-01,3247
1988-02-01,3201
1988-03-01,3169
1988-04-01,3224
1988-05-01,3121
1988-06-01,3111
1988-07-01,3060
1988-08-01,3119
1988-09-01,3165
1988-10-01,3231
1988-11-01,3241
1988-12-01,3194
1989-01-01,3287
1989-02-01,3234
1989-03-01,3198
1989-04-01,3162
1989-05-01,3125
1989-06-01,3068
1989-07-01,3227
1989-08-01,3284
1989-09-01,3219
1989-10-01,3215
1989-11-01,3132
1989-12-01,3188
1990-01-01,3210
1990-02-01,3188
1990-03-01,3260
1990-04-01,3231
1990-05-01,3266
1990-06-01,3245
1990-07-01,3192
1990-08-01,3197
1990-09-01,3206
1990-10-01,3270
1990-11-01,3189
1990-12-01,3245
1991-01-01,3208
1991-02-01,3270
1991-03-01,3177
1991-04-01,3241
1991-05-01,3275
1991-06-01,3300
1991-07-01,3319
1991-08-01,3313
1991-09-01,3319
1991-10-01,3289
1991-11-01,3296
1991-12-01,3146
1992-01-01,3155
1992-02-01,3239
1992-03-01,3236
1992-04-01,3245
1992-05-01,3213
1992-06-01,3297
1992-07-01,3285
1992-08-01,3279
1992-09-01,3274
1992-10-01,3254
1992-11-01,3207
