DATE,USCONS
1939-01-01,1139
1939-02-01,1162
1939-03-01,1225
1939-04-01,1249
1939-05-01,1262
1939-06-01,1264
1939-07-01,1221
1939-08-01,1236
1939-09-01,1203
1939-10-01,1186
1939-11-01,1172
1939-12-01,1142
1940-01-01,1121
1940-02-01,1178
1940-03-01,1214
1940-04-01,1276
1940-05-01,1298
1940-06-01,1290
1940-07-01,1272
1940-08-01,1286
1940-09-01,1379
1940-10-01,1506
1940-11-01,1627
1940-12-01,1777
1941-01-01,1833
1941-02-01,1820
1941-03-01,1739
1941-04-01,1772
1941-05-01,1784
1941-06-01,1791
1941-07-01,1881
1941-08-01,1918
1941-09-01,1939
1941-10-01,1935
1941-11-01,1915
1941-12-01,1903
1942-01-01,1914
1942-02-01,1900
1942-03-01,2042
1942-04-01,2170
1942-05-01,2271
1942-06-01,2380
1942-07-01,2494
1942-08-01,2478
1942-09-01,2433
1942-10-01,2352
1942-11-01,2260
1942-12-01,2136
1943-01-01,2064
1943-02-01,2022
1943-03-01,1954
1943-04-01,1854
1943-05-01,1737
1943-06-01,1639
1943-07-01,1516
1943-08-01,1433
1943-09-01,1357
1943-10-01,1334
1943-11-01,1320
1943-12-01,1316
1944-01-01,1323
1944-02-01,1300
1944-03-01,1237
1944-04-01,1172
1944-05-01,1149
1944-06-01,1123
1944-07-01,1103
1944-08-01,1081
1944-09-01,1036
1944-10-01,1085
1944-11-01,1095
1944-12-01,1113
1945-01-01,1143
1945-02-01,1191
1945-03-01,1179
1945-04-01,1148
1945-05-01,1138
1945-06-01,1133
1945-07-01,1144
1945-08-01,1159
1945-09-01,1143
1945-10-01,1231
1945-11-01,1291
1945-12-01,1336
1946-01-01,1421
1946-02-01,1501
1946-03-01,1581
1946-04-01,1639
1946-05-01,1679
1946-06-01,1697
1946-07-01,1761
1946-08-01,1808
1946-09-01,1836
1946-10-01,1875
1946-11-01,1901
1946-12-01,1931
1947-01-01,1927
1947-02-01,1960
1947-03-01,1972
1947-04-01,1992
1947-05-01,2015
1947-06-01,2076
1947-07-01,2077
1947-08-01,2095
1947-09-01,2094
1947-10-01,2109
1947-11-01,2101
1947-12-01,2130
1948-01-01,2179
1948-02-01,2105
1948-03-01,2163
1948-04-01,2202
1948-05-01,2245
1948-06-01,2280
1948-07-01,2284
1948-08-01,2269
1948-09-01,2264
1948-10-01,2263
1948-11-01,2280
1948-12-01,2306
1949-01-01,2292
1949-02-01,2275
1949-03-01,2264
1949-04-01,2243
1949-05-01,2232
1949-06-01,2197
1949-07-01,2202
1949-08-01,2208
1949-09-01,2223
1949-10-01,2218
1949-11-01,2229
1949-12-01,2207
1950-01-01,2216
1950-02-01,2228
1950-03-01,2241
1950-04-01,2293
1950-05-01,2345
1950-06-01,2408
1950-07-01,2454
1950-08-01,2491
1950-09-01,2512
1950-10-01,2546
1950-11-01,2564
1950-12-01,2542
1951-01-01,2609
1951-02-01,2628
1951-03-01,2670
1951-04-01,2696
1951-05-01,2711
1951-06-01,2692
1951-07-01,2692
1951-08-01,2689
1951-09-01,2674
1951-10-01,2699
1951-11-01,2660
1951-12-01,2696
1952-01-01,2694
1952-02-01,2754
1952-03-01,2691
1952-04-01,2688
1952-05-01,2687
1952-06-01,2717
1952-07-01,2713
1952-08-01,2718
1952-09-01,2723
1952-10-01,2695
1952-11-01,2707
1952-12-01,2714
1953-01-01,2728
1953-02-01,2764
1953-03-01,2728
1953-04-01,2707
1953-05-01,2684
1953-06-01,2663
1953-07-01,2657
1953-08-01,2657
1953-09-01,2680
1953-10-01,2707
1953-11-01,2701
1953-12-01,2713
1954-01-01,2651
1954-02-01,2709
1954-03-01,2703
1954-04-01,2701
1954-05-01,2680
1954-06-01,2669
1954-07-01,2664
1954-08-01,2666
1954-09-01,2661
1954-10-01,2677
1954-11-01,2720
1954-12-01,2736
1955-01-01,2769
1955-02-01,2779
1955-03-01,2835
1955-04-01,2871
1955-05-01,2903
1955-06-01,2916
1955-07-01,2932
1955-08-01,2922
1955-09-01,2921
1955-10-01,2901
1955-11-01,2898
1955-12-01,2903
1956-01-01,2933
1956-02-01,2986
1956-03-01,2999
1956-04-01,3033
1956-05-01,3073
1956-06-01,3202
1956-07-01,3117
1956-08-01,3160
1956-09-01,3129
1956-10-01,3113
1956-11-01,3105
1956-12-01,3106
1957-01-01,2996
1957-02-01,3065
1957-03-01,3073
1957-04-01,3048
1957-05-01,3035
1957-06-01,3035
1957-07-01,3011
1957-08-01,2986
1957-09-01,2971
1957-10-01,2965
1957-11-01,2945
1957-12-01,2935
1958-01-01,2925
1958-02-01,2792
1958-03-01,2853
1958-04-01,2823
1958-05-01,2815
1958-06-01,2796
1958-07-01,2807
1958-08-01,2833
1958-09-01,2874
1958-10-01,2917
1958-11-01,2982
1958-12-01,2910
1959-01-01,2993
1959-02-01,2980
1959-03-01,3013
1959-04-01,3085
1959-05-01,3087
1959-06-01,3100
1959-07-01,3087
1959-08-01,3085
1959-09-01,3051
1959-10-01,3016
1959-11-01,3025
1959-12-01,3058
1960-01-01,3021
1960-02-01,3053
1960-03-01,2881
1960-04-01,3004
1960-05-01,3021
1960-06-01,2999
1960-07-01,3002
1960-08-01,2973
1960-09-01,2959
1960-10-01,2956
1960-11-01,2936
1960-12-01,2862
1961-01-01,2909
1961-02-01,2888
1961-03-01,2910
1961-04-01,2883
1961-05-01,2866
1961-06-01,2907
1961-07-01,2883
1961-08-01,2902
1961-09-01,2918
1961-10-01,2935
1961-11-01,2941
1961-12-01,2951
1962-01-01,2892
1962-02-01,2975
1962-03-01,2941
1962-04-01,3018
1962-05-01,3025
1962-06-01,2960
1962-07-01,3025
1962-08-01,3027
1962-09-01,3033
1962-10-01,3031
1962-11-01,3035
1962-12-01,3008
1963-01-01,3021
1963-02-01,2997
1963-03-01,2979
1963-04-01,3046
1963-05-01,3061
1963-06-01,3060
1963-07-01,3088
1963-08-01,3099
1963-09-01,3110
1963-10-01,3104
1963-11-01,3083
1963-12-01,3082
1964-01-01,2996
1964-02-01,3132
1964-03-01,3125
1964-04-01,3113
1964-05-01,3125
1964-06-01,3147
1964-07-01,3157
1964-08-01,3166
1964-09-01,3171
1964-10-01,3200
1964-11-01,3226
1964-12-01,3233
1965-01-01,3231
1965-02-01,3225
1965-03-01,3241
1965-04-01,3200
1965-05-01,3269
1965-06-01,3279
1965-07-01,3249
1965-08-01,3303
1965-09-01,3320
1965-10-01,3340
1965-11-01,3365
1965-12-01,3406
1966-01-01,3379
1966-02-01,3336
1966-03-01,3421
1966-04-01,3394
1966-05-01,3360
1966-06-01,3422
1966-07-01,3420
1966-08-01,3394
1966-09-01,3367
1966-10-01,3340
1966-11-01,3314
1966-12-01,3318
1967-01-01,3329
1967-02-01,3317
1967-03-01,3290
1967-04-01,3277
1967-05-01,3262
1967-06-01,3264
1967-07-01,3303
1967-08-01,3312
1967-09-01,3314
1967-10-01,3313
1967-11-01,3344
1967-12-01,3345
1968-01-01,3211
1968-02-01,3397
1968-03-01,3388
1968-04-01,3401
1968-05-01,3390
1968-06-01,3363
1968-07-01,3386
1968-08-01,3417
1968-09-01,3457
1968-10-01,3490
1968-11-01,3486
1968-12-01,3526
1969-01-01,3534
1969-02-01,3575
1969-03-01,3579
1969-04-01,3590
1969-05-01,3635
1969-06-01,3664
1969-07-01,3664
1969-08-01,3654
1969-09-01,3676
1969-10-01,3672
1969-11-01,3683
1969-12-01,3707
1970-01-01,3615
1970-02-01,3703
1970-03-01,3697
1970-04-01,3669
1970-05-01,3634
1970-06-01,3636
1970-07-01,3645
1970-08-01,3649
1970-09-01,3618
1970-10-01,3626
1970-11-01,3643
1970-12-01,3688
1971-01-01,3643
1971-02-01,3633
1971-03-01,3674
1971-04-01,3735
1971-05-01,3750
1971-06-01,3759
1971-07-01,3786
1971-08-01,3786
1971-09-01,3820
1971-10-01,3867
1971-11-01,3903
1971-12-01,3867
1972-01-01,3912
1972-02-01,3888
1972-03-01,3921
1972-04-01,3931
1972-05-01,3957
1972-06-01,3969
1972-07-01,3939
1972-08-01,3983
1972-09-01,4000
1972-10-01,4038
1972-11-01,4002
1972-12-01,3937
1973-01-01,4004
1973-02-01,4071
1973-03-01,4089
1973-04-01,4106
1973-05-01,4137
1973-06-01,4193
1973-07-01,4232
1973-08-01,4233
1973-09-01,4237
1973-10-01,4232
1973-11-01,4232
1973-12-01,4239
1974-01-01,4196
1974-02-01,4259
1974-03-01,4255
1974-04-01,4225
1974-05-01,4198
1974-06-01,4146
1974-07-01,4045
1974-08-01,4059
1974-09-01,4009
1974-10-01,3972
1974-11-01,3911
1974-12-01,3860
1975-01-01,3841
1975-02-01,3718
1975-03-01,3628
1975-04-01,3565
1975-05-01,3552
1975-06-01,3526
1975-07-01,3501
1975-08-01,3547
1975-09-01,3573
1975-10-01,3587
1975-11-01,3604
1975-12-01,3641
1976-01-01,3688
1976-02-01,3687
1976-03-01,3685
1976-04-01,3684
1976-05-01,3649
1976-06-01,3632
1976-07-01,3627
1976-08-01,3632
1976-09-01,3634
1976-10-01,3645
1976-11-01,3678
1976-12-01,3688
1977-01-01,3660
1977-02-01,3775
1977-03-01,3859
1977-04-01,3904
1977-05-01,3930
1977-06-01,3962
1977-07-01,3981
1977-08-01,3995
1977-09-01,4023
1977-10-01,4034
1977-11-01,4058
1977-12-01,4087
1978-01-01,4029
1978-02-01,4058
1978-03-01,4178
1978-04-01,4308
1978-05-01,4302
1978-06-01,4379
1978-07-01,4403
1978-08-01,4420
1978-09-01,4424
1978-10-01,4447
1978-11-01,4453
1978-12-01,4450
1979-01-01,4373
1979-02-01,4389
1979-03-01,4552
1979-04-01,4516
1979-05-01,4565
1979-06-01,4604
1979-07-01,4621
1979-08-01,4634
1979-09-01,4625
1979-10-01,4620
1979-11-01,4617
1979-12-01,4630
1980-01-01,4625
1980-02-01,4605
1980-03-01,4548
1980-04-01,4473
1980-05-01,4434
1980-06-01,4395
1980-07-01,4351
1980-08-01,4377
1980-09-01,4401
1980-10-01,4411
1980-11-01,4409
1980-12-01,4415
1981-01-01,4374
1981-02-01,4357
1981-03-01,4396
1981-04-01,4414
1981-05-01,4343
1981-06-01,4311
1981-07-01,4299
1981-08-01,4278
1981-09-01,4254
1981-10-01,4238
1981-11-01,4209
1981-12-01,4177
1982-01-01,4069
1982-02-01,4131
1982-03-01,4108
1982-04-01,4083
1982-05-01,4092
1982-06-01,4030
1982-07-01,4001
1982-08-01,3977
1982-09-01,3962
1982-10-01,3940
1982-11-01,3947
1982-12-01,3948
1983-01-01,4021
1983-02-01,3964
1983-03-01,3942
1983-04-01,3948
1983-05-01,3960
1983-06-01,4006
1983-07-01,4055
1983-08-01,4100
1983-09-01,4138
1983-10-01,4178
1983-11-01,4217
1983-12-01,4248
1984-01-01,4305
1984-02-01,4410
1984-03-01,4393
1984-04-01,4423
1984-05-01,4456
1984-06-01,4507
1984-07-01,4534
1984-08-01,4547
1984-09-01,4576
1984-10-01,4590
1984-11-01,4617
1984-12-01,4652
1985-01-01,4668
1985-02-01,4662
1985-03-01,4730
1985-04-01,4764
1985-05-01,4787
1985-06-01,4789
1985-07-01,4799
1985-08-01,4823
1985-09-01,4852
1985-10-01,4868
1985-11-01,4879
1985-12-01,4887
1986-01-01,4908
1986-02-01,4904
1986-03-01,4914
1986-04-01,4950
1986-05-01,4924
1986-06-01,4917
1986-07-01,4930
1986-08-01,4943
1986-09-01,4939
1986-10-01,4954
1986-11-01,4960
1986-12-01,4993
1987-01-01,5007
1987-02-01,5038
1987-03-01,5039
1987-04-01,5053
1987-05-01,5080
1987-06-01,5086
1987-07-01,5092
1987-08-01,5102
1987-09-01,5096
1987-10-01,5142
1987-11-01,5152
1987-12-01,5180
1988-01-01,5094
1988-02-01,5162
1988-03-01,5201
1988-04-01,5227
1988-05-01,5228
1988-06-01,5261
1988-07-01,5270
1988-08-01,5268
1988-09-01,5270
1988-10-01,5262
1988-11-01,5273
1988-12-01,5277
1989-01-01,5289
1989-02-01,5278
1989-03-01,5260
1989-04-01,5295
1989-05-01,5299
1989-06-01,5298
1989-07-01,5317
1989-08-01,5330
1989-09-01,5323
1989-10-01,5347
1989-11-01,5364
1989-12-01,5309
1990-01-01,5422
1990-02-01,5416
1990-03-01,5392
1990-04-01,5355
1990-05-01,5321
1990-06-01,5303
1990-07-01,5274
1990-08-01,5234
1990-09-01,5197
1990-10-01,5134
1990-11-01,5095
1990-12-01,5047
1991-01-01,4972
1991-02-01,4929
1991-03-01,4881
1991-04-01,4842
1991-05-01,4800
1991-06-01,4782
1991-07-01,4752
1991-08-01,4733
1991-09-01,4728
1991-10-01,4698
1991-11-01,4640
1991-12-01,4647
1992-01-01,4667
1992-02-01,4612
1992-03-01,4621
1992-04-01,4603
1992-05-01,4605
1992-06-01,4584
1992-07-01,4570
1992-08-01,4581
1992-09-01,4584
1992-10-01,4600
1992-11-01,4606
1992-12-01,4630
1993-01-01,4664
1993-02-01,4714
1993-03-01,4676
1993-04-01,4690
1993-05-01,4753
1993-06-01,4760
1993-07-01,4783
1993-08-01,4806
1993-09-01,4823
1993-10-01,4868
1993-11-01,4887
1993-12-01,4925
1994-01-01,4940
1994-02-01,4923
1994-03-01,4990
1994-04-01,5047
1994-05-01,5084
1994-06-01,5097
1994-07-01,5125
1994-08-01,5139
