DATE,USEHS
1939-01-01,1381
1939-02-01,1384
1939-03-01,1387
1939-04-01,1389
1939-05-01,1399
1939-06-01,1406
1939-07-01,1411
1939-08-01,1412
1939-09-01,1424
1939-10-01,1415
1939-11-01,1421
1939-12-01,1428
1940-01-01,1433
1940-02-01,1440
1940-03-01,1447
1940-04-01,1455
1940-05-01,1460
1940-06-01,1465
1940-07-01,1469
1940-08-01,1478
1940-09-01,1487
1940-10-01,1496
1940-11-01,1501
1940-12-01,1507
1941-01-01,1516
1941-02-01,1526
1941-03-01,1536
1941-04-01,1551
1941-05-01,1558
1941-06-01,1563
1941-07-01,1575
1941-08-01,1583
1941-09-01,1587
1941-10-01,1594
1941-11-01,1601
1941-12-01,1606
1942-01-01,1611
1942-02-01,1608
1942-03-01,1615
1942-04-01,1623
1942-05-01,1626
1942-06-01,1632
1942-07-01,1640
1942-08-01,1644
1942-09-01,1647
1942-10-01,1649
1942-11-01,1645
1942-12-01,1645
1943-01-01,1649
1943-02-01,1653
1943-03-01,1655
1943-04-01,1655
1943-05-01,1656
1943-06-01,1658
1943-07-01,1658
1943-08-01,1658
1943-09-01,1663
1943-10-01,1666
1943-11-01,1671
1943-12-01,1674
1944-01-01,1661
1944-02-01,1668
1944-03-01,1670
1944-04-01,1667
1944-05-01,1666
1944-06-01,1671
1944-07-01,1668
1944-08-01,1669
1944-09-01,1667
1944-10-01,1665
1944-11-01,1667
1944-12-01,1668
1945-01-01,1659
1945-02-01,1667
1945-03-01,1666
1945-04-01,1666
1945-05-01,1666
1945-06-01,1681
1945-07-01,1692
1945-08-01,1706
1945-09-01,1711
1945-10-01,1733
1945-11-01,1753
1945-12-01,1773
1946-01-01,1797
1946-02-01,1819
1946-03-01,1839
1946-04-01,1857
1946-05-01,1869
1946-06-01,1880
1946-07-01,1886
1946-08-01,1904
1946-09-01,1932
1946-10-01,1933
1946-11-01,1945
1946-12-01,1956
1947-01-01,1976
1947-02-01,1986
1947-03-01,1992
1947-04-01,1997
1947-05-01,2005
1947-06-01,2013
1947-07-01,2020
1947-08-01,2024
1947-09-01,2030
1947-10-01,2039
1947-11-01,2044
1947-12-01,2049
1948-01-01,2047
1948-02-01,2051
1948-03-01,2058
1948-04-01,2069
1948-05-01,2074
1948-06-01,2082
1948-07-01,2084
1948-08-01,2088
1948-09-01,2090
