DATE,USLAH
1939-01-01,1860
1939-02-01,1867
1939-03-01,1877
1939-04-01,1887
1939-05-01,1888
1939-06-01,1895
1939-07-01,1897
1939-08-01,1899
1939-09-01,1918
1939-10-01,1910
1939-11-01,1913
1939-12-01,1930
1940-01-01,1936
1940-02-01,1945
1940-03-01,1993
1940-04-01,1965
1940-05-01,1979
1940-06-01,1995
1940-07-01,1988
1940-08-01,2000
1940-09-01,2023
1940-10-01,2023
1940-11-01,2025
1940-12-01,2056
1941-01-01,2045
1941-02-01,2061
1941-03-01,2074
1941-04-01,2138
1941-05-01,2110
1941-06-01,2133
1941-07-01,2151
1941-08-01,2172
1941-09-01,2175
1941-10-01,2165
1941-11-01,2165
1941-12-01,2165
1942-01-01,2161
1942-02-01,2154
1942-03-01,2149
1942-04-01,2141
1942-05-01,2137
1942-06-01,2123
1942-07-01,2118
1942-08-01,2124
1942-09-01,2118
1942-10-01,2132
1942-11-01,2126
1942-12-01,2118
1943-01-01,2115
1943-02-01,2113
1943-03-01,2112
1943-04-01,2139
1943-05-01,2118
1943-06-01,2128
1943-07-01,2125
1943-08-01,2122
1943-09-01,2115
1943-10-01,2133
1943-11-01,2142
1943-12-01,2112
1944-01-01,2139
1944-02-01,2142
1944-03-01,2138
1944-04-01,2138
1944-05-01,2135
1944-06-01,2136
1944-07-01,2145
1944-08-01,2149
1944-09-01,2139
1944-10-01,2154
1944-11-01,2159
1944-12-01,2135
1945-01-01,2170
1945-02-01,2179
1945-03-01,2188
1945-04-01,2147
1945-05-01,2166
1945-06-01,2171
1945-07-01,2182
1945-08-01,2194
1945-09-01,2215
1945-10-01,2242
1945-11-01,2274
1945-12-01,2264
1946-01-01,2350
1946-02-01,2392
1946-03-01,2413
1946-04-01,2458
1946-05-01,2461
1946-06-01,2477
1946-07-01,2496
1946-08-01,2535
1946-09-01,2536
1946-10-01,2545
1946-11-01,2579
1946-12-01,2564
1947-01-01,2587
1947-02-01,2600
1947-03-01,2612
1947-04-01,2620
1947-05-01,2637
1947-06-01,2649
1947-07-01,2659
1947-08-01,2666
1947-09-01,2673
1947-10-01,2690
1947-11-01,2697
1947-12-01,2695
1948-01-01,2704
1948-02-01,2706
1948-03-01,2713
1948-04-01,2697
1948-05-01,2720
1948-06-01,2729
1948-07-01,2736
1948-08-01,2739
1948-09-01,2736
1948-10-01,2735
1948-11-01,2737
1948-12-01,2743
1949-01-01,2730
1949-02-01,2734
1949-03-01,2727
1949-04-01,2760
1949-05-01,2735
1949-06-01,2725
