DATE,USMINE
1939-01-01,882
1939-02-01,884
1939-03-01,883
1939-04-01,624
1939-05-01,737
1939-06-01,868
1939-07-01,852
1939-08-01,859
1939-09-01,885
1939-10-01,925
1939-11-01,939
1939-12-01,930
1940-01-01,925
1940-02-01,929
1940-03-01,926
1940-04-01,920
1940-05-01,930
1940-06-01,918
1940-07-01,920
1940-08-01,923
1940-09-01,928
1940-10-01,932
1940-11-01,936
1940-12-01,939
1941-01-01,945
1941-02-01,951
1941-03-01,961
1941-04-01,681
1941-05-01,979
1941-06-01,990
1941-07-01,1001
1941-08-01,1013
1941-09-01,1020
1941-10-01,1022
1941-11-01,1021
1941-12-01,1024
1942-01-01,1029
1942-02-01,1021
1942-03-01,1014
1942-04-01,1022
1942-05-01,1025
1942-06-01,1019
1942-07-01,1018
1942-08-01,1011
1942-09-01,1002
1942-10-01,994
1942-11-01,989
1942-12-01,984
1943-01-01,974
1943-02-01,978
1943-03-01,973
1943-04-01,968
1943-05-01,958
1943-06-01,957
1943-07-01,954
1943-08-01,947
1943-09-01,950
1943-10-01,950
1943-11-01,943
1943-12-01,950
1944-01-01,947
1944-02-01,948
1944-03-01,942
1944-04-01,940
1944-05-01,938
1944-06-01,934
1944-07-01,925
1944-08-01,922
1944-09-01,914
1944-10-01,906
1944-11-01,901
1944-12-01,894
1945-01-01,893
1945-02-01,892
1945-03-01,890
1945-04-01,855
1945-05-01,820
1945-06-01,878
1945-07-01,868
1945-08-01,863
1945-09-01,857
1945-10-01,795
1945-11-01,871
1945-12-01,880
1946-01-01,891
1946-02-01,885
1946-03-01,891
1946-04-01,600
1946-05-01,807
1946-06-01,911
1946-07-01,929
1946-08-01,939
1946-09-01,941
1946-10-01,945
1946-11-01,946
1946-12-01,932
1947-01-01,958
1947-02-01,962
1947-03-01,965
1947-04-01,946
1947-05-01,972
1947-06-01,977
1947-07-01,953
1947-08-01,985
1947-09-01,989
1947-10-01,997
1947-11-01,1002
1947-12-01,1005
1948-01-01,1008
1948-02-01,1003
1948-03-01,1017
1948-04-01,917
1948-05-01,1028
1948-06-01,1035
1948-07-01,1006
1948-08-01,1033
1948-09-01,1036
1948-10-01,1030
1948-11-01,1027
1948-12-01,1025
1949-01-01,1011
1949-02-01,1010
1949-03-01,1003
1949-04-01,1003
1949-05-01,991
1949-06-01,976
1949-07-01,953
1949-08-01,961
1949-09-01,955
1949-10-01,630
1949-11-01,929
1949-12-01,948
1950-01-01,878
1950-02-01,638
1950-03-01,951
1950-04-01,954
1950-05-01,955
1950-06-01,957
1950-07-01,938
1950-08-01,965
1950-09-01,967
1950-10-01,966
1950-11-01,962
1950-12-01,959
1951-01-01,959
1951-02-01,962
1951-03-01,959
1951-04-01,948
1951-05-01,954
1951-06-01,958
1951-07-01,945
1951-08-01,959
1951-09-01,952
1951-10-01,958
1951-11-01,958
1951-12-01,957
1952-01-01,958
1952-02-01,954
1952-03-01,957
1952-04-01,956
1952-05-01,954
1952-06-01,874
1952-07-01,848
1952-08-01,931
1952-09-01,930
1952-10-01,927
1952-11-01,923
1952-12-01,923
1953-01-01,926
1953-02-01,919
1953-03-01,911
1953-04-01,908
1953-05-01,905
1953-06-01,903
1953-07-01,900
1953-08-01,899
1953-09-01,895
1953-10-01,890
1953-11-01,886
1953-12-01,879
1954-01-01,872
1954-02-01,864
1954-03-01,848
1954-04-01,836
1954-05-01,822
1954-06-01,821
1954-07-01,817
1954-08-01,813
1954-09-01,795
1954-10-01,803
1954-11-01,805
1954-12-01,805
1955-01-01,806
1955-02-01,809
1955-03-01,817
1955-04-01,821
1955-05-01,827
1955-06-01,830
1955-07-01,830
1955-08-01,831
1955-09-01,838
1955-10-01,841
1955-11-01,843
1955-12-01,846
1956-01-01,850
1956-02-01,856
1956-03-01,863
1956-04-01,869
1956-05-01,859
1956-06-01,868
1956-07-01,805
1956-08-01,869
1956-09-01,868
1956-10-01,868
1956-11-01,865
1956-12-01,863
1957-01-01,867
1957-02-01,870
1957-03-01,869
1957-04-01,869
1957-05-01,868
1957-06-01,869
1957-07-01,870
1957-08-01,875
1957-09-01,864
1957-10-01,857
1957-11-01,849
1957-12-01,844
1958-01-01,847
1958-02-01,829
1958-03-01,812
1958-04-01,791
1958-05-01,779
1958-06-01,780
1958-07-01,781
1958-08-01,790
1958-09-01,799
1958-10-01,798
1958-11-01,801
1958-12-01,805
1959-01-01,805
1959-02-01,795
1959-03-01,797
1959-04-01,799
1959-05-01,804
1959-06-01,808
1959-07-01,819
1959-08-01,762
1959-09-01,747
1959-10-01,751
1959-11-01,783
1959-12-01,794
1960-01-01,783
1960-02-01,787
1960-03-01,785
1960-04-01,788
1960-05-01,778
1960-06-01,775
1960-07-01,755
1960-08-01,772
1960-09-01,768
1960-10-01,765
1960-11-01,751
1960-12-01,739
1961-01-01,736
1961-02-01,729
1961-03-01,726
1961-04-01,724
1961-05-01,725
1961-06-01,730
1961-07-01,728
1961-08-01,730
1961-09-01,732
1961-10-01,727
1961-11-01,727
1961-12-01,721
1962-01-01,722
1962-02-01,723
1962-03-01,717
1962-04-01,716
1962-05-01,715
1962-06-01,708
1962-07-01,701
1962-08-01,707
1962-09-01,704
1962-10-01,701
1962-11-01,695
1962-12-01,691
1963-01-01,691
1963-02-01,689
1963-03-01,690
1963-04-01,695
1963-05-01,697
1963-06-01,687
1963-07-01,689
1963-08-01,694
1963-09-01,699
1963-10-01,699
1963-11-01,698
1963-12-01,699
1964-01-01,695
1964-02-01,696
1964-03-01,692
1964-04-01,695
1964-05-01,693
1964-06-01,696
1964-07-01,696
1964-08-01,696
1964-09-01,699
1964-10-01,702
1964-11-01,704
1964-12-01,702
1965-01-01,697
1965-02-01,700
1965-03-01,698
1965-04-01,699
1965-05-01,698
1965-06-01,689
1965-07-01,693
1965-08-01,691
1965-09-01,686
1965-10-01,691
1965-11-01,694
1965-12-01,694
1966-01-01,692
1966-02-01,691
1966-03-01,694
1966-04-01,657
1966-05-01,690
1966-06-01,691
1966-07-01,692
1966-08-01,696
1966-09-01,695
1966-10-01,695
1966-11-01,693
1966-12-01,692
1967-01-01,695
1967-02-01,692
1967-03-01,689
1967-04-01,687
1967-05-01,685
1967-06-01,685
1967-07-01,685
1967-08-01,670
1967-09-01,667
1967-10-01,666
1967-11-01,667
1967-12-01,667
1968-01-01,666
1968-02-01,666
1968-03-01,664
1968-04-01,675
1968-05-01,675
1968-06-01,673
1968-07-01,678
1968-08-01,679
1968-09-01,681
1968-10-01,636
1968-11-01,680
1968-12-01,681
1969-01-01,678
1969-02-01,678
1969-03-01,676
1969-04-01,671
1969-05-01,676
1969-06-01,677
1969-07-01,684
1969-08-01,690
1969-09-01,692
1969-10-01,691
1969-11-01,690
1969-12-01,692
1970-01-01,687
1970-02-01,683
1970-03-01,681
1970-04-01,676
1970-05-01,673
1970-06-01,675
1970-07-01,673
1970-08-01,677
1970-09-01,678
1970-10-01,678
1970-11-01,678
1970-12-01,676
1971-01-01,671
1971-02-01,665
1971-03-01,663
1971-04-01,668
1971-05-01,670
1971-06-01,670
1971-07-01,652
1971-08-01,669
1971-09-01,676
1971-10-01,611
1971-11-01,615
1971-12-01,672
1972-01-01,670
1972-02-01,666
1972-03-01,668
1972-04-01,660
1972-05-01,663
1972-06-01,672
1972-07-01,667
1972-08-01,676
1972-09-01,682
1972-10-01,682
1972-11-01,681
1972-12-01,677
1973-01-01,675
1973-02-01,679
1973-03-01,680
1973-04-01,680
1973-05-01,681
1973-06-01,686
1973-07-01,692
1973-08-01,697
1973-09-01,702
1973-10-01,707
1973-11-01,714
1973-12-01,720
1974-01-01,725
1974-02-01,732
1974-03-01,732
1974-04-01,743
1974-05-01,749
1974-06-01,755
1974-07-01,761
1974-08-01,767
1974-09-01,773
1974-10-01,782
1974-11-01,785
1974-12-01,750
1975-01-01,789
1975-02-01,790
1975-03-01,793
1975-04-01,785
1975-05-01,799
1975-06-01,802
1975-07-01,802
1975-08-01,805
1975-09-01,807
1975-10-01,813
1975-11-01,813
1975-12-01,821
1976-01-01,824
1976-02-01,822
1976-03-01,825
1976-04-01,825
1976-05-01,826
1976-06-01,829
1976-07-01,837
1976-08-01,810
1976-09-01,843
1976-10-01,844
1976-11-01,847
1976-12-01,854
1977-01-01,857
1977-02-01,860
1977-03-01,872
1977-04-01,879
1977-05-01,882
1977-06-01,892
1977-07-01,866
1977-08-01,853
1977-09-01,887
1977-10-01,889
1977-11-01,894
1977-12-01,753
1978-01-01,752
1978-02-01,756
1978-03-01,772
1978-04-01,928
1978-05-01,932
1978-06-01,940
1978-07-01,946
1978-08-01,948
1978-09-01,952
1978-10-01,959
1978-11-01,968
1978-12-01,974
1979-01-01,979
1979-02-01,986
1979-03-01,993
1979-04-01,992
1979-05-01,997
1979-06-01,1004
1979-07-01,1011
1979-08-01,1019
1979-09-01,1021
1979-10-01,1028
1979-11-01,1031
1979-12-01,1039
