DATE,CES4348400001
1990-01-01,1122.6
1990-02-01,1127.3
1990-03-01,1132.8
1990-04-01,1130.9
1990-05-01,1130.5
1990-06-01,1125.0
1990-07-01,1119.5
1990-08-01,1114.8
1990-09-01,1113.6
1990-10-01,1113.6
1990-11-01,1112.5
1990-12-01,1128.3
1991-01-01,1120.3
1991-02-01,1109.5
1991-03-01,1104.9
1991-04-01,1105.4
1991-05-01,1099.2
1991-06-01,1100.5
1991-07-01,1102.0
1991-08-01,1103.7
1991-09-01,1101.6
1991-10-01,1103.2
1991-11-01,1101.5
1991-12-01,1105.2
1992-01-01,1101.6
1992-02-01,1098.8
1992-03-01,1100.2
1992-04-01,1102.0
1992-05-01,1104.9
1992-06-01,1108.2
1992-07-01,1106.3
1992-08-01,1105.7
1992-09-01,1111.7
1992-10-01,1112.2
1992-11-01,1113.9
1992-12-01,1128.4
1993-01-01,1141.8
1993-02-01,1137.3
1993-03-01,1140.0
1993-04-01,1141.7
1993-05-01,1146.1
1993-06-01,1148.8
1993-07-01,1156.4
1993-08-01,1161.9
1993-09-01,1165.2
1993-10-01,1171.2
1993-11-01,1174.6
1993-12-01,1176.6
1994-01-01,1182.7
1994-02-01,1188.9
1994-03-01,1196.8
1994-04-01,1147.1
1994-05-01,1209.7
1994-06-01,1211.4
1994-07-01,1213.9
1994-08-01,1217.4
1994-09-01,1218.6
1994-10-01,1221.3
1994-11-01,1227.9
1994-12-01,1240.4
1995-01-01,1239.8
1995-02-01,1244.1
1995-03-01,1248.3
1995-04-01,1253.6
1995-05-01,1246.2
1995-06-01,1244.3
1995-07-01,1235.8
1995-08-01,1246.2
1995-09-01,1234.1
1995-10-01,1267.7
1995-11-01,1264.6
1995-12-01,1264.9
1996-01-01,1268.1
1996-02-01,1270.9
1996-03-01,1272.8
1996-04-01,1277.9
1996-05-01,1282.2
1996-06-01,1290.7
1996-07-01,1296.1
1996-08-01,1291.9
1996-09-01,1285.6
1996-10-01,1284.4
1996-11-01,1283.0
1996-12-01,1283.3
1997-01-01,1286.9
1997-02-01,1290.5
1997-03-01,1293.4
1997-04-01,1296.7
1997-05-01,1301.9
1997-06-01,1304.4
1997-07-01,1310.6
1997-08-01,1316.6
1997-09-01,1322.8
1997-10-01,1323.0
1997-11-01,1324.8
1997-12-01,1328.9
1998-01-01,1332.2
1998-02-01,1338.1
1998-03-01,1338.2
1998-04-01,1348.0
1998-05-01,1353.4
1998-06-01,1357.2
