,State,Year,Population
0,AK,1969,294290
1,AK,1970,305328
2,AK,1971,316366
3,AK,1972,326431
4,AK,1973,333134
5,AK,1974,344658
6,AK,1975,370866
7,AK,1976,392998
8,AK,1977,397220
9,AK,1978,402051
10,AK,1979,403367
11,AK,1980,404680
12,AK,1981,418519
13,AK,1982,449608
14,AK,1983,488423
15,AK,1984,513697
16,AK,1985,532503
17,AK,1986,544270
18,AK,1987,539324
19,AK,1988,541999
20,AK,1989,547170
21,AK,1990,553290
22,AK,1991,570193
23,AK,1992,588736
24,AK,1993,599432
25,AK,1994,603308
26,AK,1995,604412
27,AK,1996,608569
28,AK,1997,612968
29,AK,1998,619932
30,AK,1999,624779
31,AK,2000,627963
32,AK,2001,633714
33,AK,2002,642337
34,AK,2003,648414
35,AK,2004,659286
36,AK,2005,666946
37,AK,2006,675302
38,AK,2007,680300
39,AK,2008,687455
40,AK,2009,698895
41,AK,2010,714015
42,AK,2011,722259
43,AK,2012,730825
44,AK,2013,736760
45,AK,2014,736759
46,AK,2015,737979
47,AK,2016,741522
48,AK,2017,739795
49,AL,1969,3411770
50,AL,1970,3454557
51,AL,1971,3497349
52,AL,1972,3540003
53,AL,1973,3580759
54,AL,1974,3627778
55,AL,1975,3680495
56,AL,1976,3737038
57,AL,1977,3782571
58,AL,1978,3833971
59,AL,1979,3869340
60,AL,1980,3899671
61,AL,1981,3918526
62,AL,1982,3925328
63,AL,1983,3934100
64,AL,1984,3951766
65,AL,1985,3972539
66,AL,1986,3991552
67,AL,1987,4015266
68,AL,1988,4023902
69,AL,1989,4030239
70,AL,1990,4050055
71,AL,1991,4099156
72,AL,1992,4154014
73,AL,1993,4214202
74,AL,1994,4260229
75,AL,1995,4296800
76,AL,1996,4331102
77,AL,1997,4367935
78,AL,1998,4404701
79,AL,1999,4430141
80,AL,2000,4452173
81,AL,2001,4467634
82,AL,2002,4480089
83,AL,2003,4503491
84,AL,2004,4530729
85,AL,2005,4569805
86,AL,2006,4628981
87,AL,2007,4672840
88,AL,2008,4718206
89,AL,2009,4757938
90,AL,2010,4785579
91,AL,2011,4798649
92,AL,2012,4813946
93,AL,2013,4827660
94,AL,2014,4840037
95,AL,2015,4850858
96,AL,2016,4860545
97,AL,2017,4874747
98,AR,1969,1893768
99,AR,1970,1932816
100,AR,1971,1971940
101,AR,1972,2017987
102,AR,1973,2058402
103,AR,1974,2100229
104,AR,1975,2158257
105,AR,1976,2168656
106,AR,1977,2207195
107,AR,1978,2240956
108,AR,1979,2269073
109,AR,1980,2288809
110,AR,1981,2293196
111,AR,1982,2294297
112,AR,1983,2305796
113,AR,1984,2319782
114,AR,1985,2327069
115,AR,1986,2331988
116,AR,1987,2342405
117,AR,1988,2342643
118,AR,1989,2346375
119,AR,1990,2356586
120,AR,1991,2383144
121,AR,1992,2415984
122,AR,1993,2456303
123,AR,1994,2494019
124,AR,1995,2535399
125,AR,1996,2572109
126,AR,1997,2601090
127,AR,1998,2626289
128,AR,1999,2651860
129,AR,2000,2678588
130,AR,2001,2691571
131,AR,2002,2705927
132,AR,2003,2724816
133,AR,2004,2749686
134,AR,2005,2781097
135,AR,2006,2821761
136,AR,2007,2848650
137,AR,2008,2874554
138,AR,2009,2896843
139,AR,2010,2921737
140,AR,2011,2938640
141,AR,2012,2949208
142,AR,2013,2956780
143,AR,2014,2964800
144,AR,2015,2975626
145,AR,2016,2988231
146,AR,2017,3004279
147,AZ,1969,1702945
148,AZ,1970,1799531
149,AZ,1971,1896117
150,AZ,1972,2008852
151,AZ,1973,2125305
152,AZ,1974,2224356
153,AZ,1975,2286342
154,AZ,1976,2347970
155,AZ,1977,2427296
156,AZ,1978,2517851
157,AZ,1979,2638572
158,AZ,1980,2735840
159,AZ,1981,2810110
160,AZ,1982,2889877
161,AZ,1983,2968912
162,AZ,1984,3067125
163,AZ,1985,3183536
164,AZ,1986,3308269
165,AZ,1987,3437097
166,AZ,1988,3535200
167,AZ,1989,3622180
168,AZ,1990,3684097
169,AZ,1991,3788576
170,AZ,1992,3915740
171,AZ,1993,4065440
172,AZ,1994,4245089
173,AZ,1995,4432499
174,AZ,1996,4586940
175,AZ,1997,4736990
176,AZ,1998,4883342
177,AZ,1999,5023823
178,AZ,2000,5160586
179,AZ,2001,5273477
180,AZ,2002,5396255
181,AZ,2003,5510364
182,AZ,2004,5652404
183,AZ,2005,5839077
184,AZ,2006,6029141
185,AZ,2007,6167681
186,AZ,2008,6280362
187,AZ,2009,6343154
188,AZ,2010,6407002
189,AZ,2011,6465488
190,AZ,2012,6544211
191,AZ,2013,6616124
192,AZ,2014,6706435
193,AZ,2015,6802262
194,AZ,2016,6908642
195,AZ,2017,7016270
196,CA,1969,19745905
197,CA,1970,20045806
198,CA,1971,20345724
199,CA,1972,20584918
200,CA,1973,20867894
201,CA,1974,21172684
202,CA,1975,21536811
203,CA,1976,21934604
204,CA,1977,22350332
205,CA,1978,22839038
206,CA,1979,23255178
207,CA,1980,23792840
208,CA,1981,24285898
209,CA,1982,24820025
210,CA,1983,25360028
211,CA,1984,25844380
212,CA,1985,26441100
213,CA,1986,27102241
214,CA,1987,27777121
215,CA,1988,28464230
216,CA,1989,29218163
217,CA,1990,29959515
218,CA,1991,30470736
219,CA,1992,30974659
220,CA,1993,31274928
221,CA,1994,31484435
222,CA,1995,31696582
223,CA,1996,32018834
224,CA,1997,32486010
