Date,Age,Pop,Male,Female
1-Apr-90,All Age,247150736,119817710,127333026
1-Apr-90,0,3947313,2019081,1928232
1-Apr-90,1,3769554,1928747,1840807
1-Apr-90,2,3702679,1894973,1807706
1-Apr-90,3,3641649,1863343,1778306
1-Apr-90,4,3703886,1896723,1807163
1-Apr-90,5,3635463,1860600,1774863
1-Apr-90,6,3580577,1832744,1747833
1-Apr-90,7,3647972,1865809,1782163
1-Apr-90,8,3473320,1777574,1695746
1-Apr-90,9,3704888,1899040,1805848
1-Apr-90,10,3641128,1867449,1773679
1-Apr-90,11,3438903,1761228,1677675
1-Apr-90,12,3393344,1736204,1657140
1-Apr-90,13,3323778,1700594,1623184
1-Apr-90,14,3270109,1676810,1593299
1-Apr-90,15,3322354,1706204,1616150
1-Apr-90,16,3284318,1689792,1594526
1-Apr-90,17,3466649,1785634,1681015
1-Apr-90,18,3615588,1833356,1782232
1-Apr-90,19,4046794,2024102,2022692
1-Apr-90,20,3880608,1935034,1945574
1-Apr-90,21,3706504,1848504,1858000
1-Apr-90,22,3562771,1777118,1785653
1-Apr-90,23,3634095,1809540,1824555
1-Apr-90,24,3829705,1907367,1922338
1-Apr-90,25,4023509,1996340,2027169
1-Apr-90,26,4124882,2040821,2084061
1-Apr-90,27,4208389,2083540,2124849
1-Apr-90,28,4071333,2010809,2060524
1-Apr-90,29,4525939,2239866,2286073
1-Apr-90,30,4410195,2176884,2233311
1-Apr-90,31,4297745,2117385,2180360
1-Apr-90,32,4336307,2137235,2199072
1-Apr-90,33,4234431,2080867,2153564
1-Apr-90,34,4303740,2126195,2177545
1-Apr-90,35,4195281,2068320,2126961
1-Apr-90,36,3994187,1961051,2033136
1-Apr-90,37,3951838,1939600,2012238
1-Apr-90,38,3654319,1791428,1862891
1-Apr-90,39,3872229,1909151,1963078
1-Apr-90,40,3724580,1828558,1896022
1-Apr-90,41,3606064,1766054,1840010
1-Apr-90,42,3677304,1804449,1872855
1-Apr-90,43,3626142,1778601,1847541
1-Apr-90,44,2862336,1409531,1452805
1-Apr-90,45,2878765,1412778,1465987
1-Apr-90,46,2862341,1401679,1460662
1-Apr-90,47,2931584,1434361,1497223
1-Apr-90,48,2484431,1210276,1274155
1-Apr-90,49,2562004,1255166,1306838
1-Apr-90,50,2400997,1170878,1230119
1-Apr-90,51,2315471,1126841,1188630
1-Apr-90,52,2244526,1089742,1154784
1-Apr-90,53,2153483,1041793,1111690
1-Apr-90,54,2194629,1059343,1135286
1-Apr-90,55,2158147,1038232,1119915
1-Apr-90,56,2036061,976185,1059876
1-Apr-90,57,2092153,998044,1094109
1-Apr-90,58,2008575,954371,1054204
1-Apr-90,59,2193030,1041522,1151508
1-Apr-90,60,2145541,1011584,1133957
1-Apr-90,61,2104731,987121,1117610
1-Apr-90,62,2150802,1003629,1147173
1-Apr-90,63,2100082,972774,1127308
1-Apr-90,64,2125234,972153,1153081
1-Apr-90,65,2123213,962922,1160291
1-Apr-90,66,2050096,925178,1124918
1-Apr-90,67,1999525,896119,1103406
1-Apr-90,68,1977982,879905,1098077
1-Apr-90,69,1916276,844120,1072156
1-Apr-90,70,1759331,766108,993223
1-Apr-90,71,1680703,724380,956323
1-Apr-90,72,1593732,680110,913622
1-Apr-90,73,1499553,630615,868938
1-Apr-90,74,1447498,598658,848840
1-Apr-90,75,1392544,566173,826371
1-Apr-90,76,1291210,516425,774785
1-Apr-90,77,1227035,479169,747866
1-Apr-90,78,1133687,434866,698821
1-Apr-90,79,1059302,392685,666617
1-Apr-90,80,943884,343357,600527
1-Apr-90,81,860465,305699,554766
1-Apr-90,82,784081,271229,512852
1-Apr-90,83,696882,233548,463334
1-Apr-90,84,624430,202311,422119
1-Apr-90,85,550554,173177,377377
1-Apr-90,86,463240,141191,322049
1-Apr-90,87,394819,116191,278628
1-Apr-90,88,324364,93047,231317
1-Apr-90,89,302073,82457,219616
1-Apr-90,90,222967,58412,164555
1-Apr-90,91,175213,43458,131755
1-Apr-90,92,142126,34359,107767
1-Apr-90,93,115852,27067,88785
1-Apr-90,94,91968,20793,71175
1-Apr-90,95,67864,15047,52817
1-Apr-90,96,50322,10771,39551
1-Apr-90,97,37567,7841,29726
1-Apr-90,98,25910,5234,20676
1-Apr-90,99,21364,4660,16704
1-Apr-90,100+,35818,7701,28117
,,,,
1-May-90,All Age,247420450,119960065,127460385
1-May-90,0,3964548,2027801,1936747
1-May-90,1,3778514,1933325,1845189
1-May-90,2,3702336,1894884,1807452
1-May-90,3,3644592,1864824,1779768
1-May-90,4,3704656,1896941,1807715
1-May-90,5,3651932,1869267,1782665
1-May-90,6,3572301,1828375,1743926
1-May-90,7,3650545,1867274,1783271
1-May-90,8,3483045,1782439,1700606
1-May-90,9,3692698,1892783,1799915
1-May-90,10,3667052,1880788,1786264
1-May-90,11,3455047,1769589,1685458
1-May-90,12,3385810,1732359,1653451
1-May-90,13,3343586,1710768,1632818
1-May-90,14,3264740,1673994,1590746
1-May-90,15,3328709,1709570,1619139
1-May-90,16,3284904,1690218,1594686
1-May-90,17,3458857,1781617,1677240
1-May-90,18,3589822,1821428,1768394
1-May-90,19,4042459,2022036,2020423
1-May-90,20,3892209,1941264,1950945
1-May-90,21,3715225,1853108,1862117
1-May-90,22,3566874,1779168,1787706
1-May-90,23,3618376,1802103,1816273
1-May-90,24,3823928,1904348,1919580
1-May-90,25,4012486,1991749,2020737
1-May-90,26,4117232,2036904,2080328
1-May-90,27,4206213,2082979,2123234
1-May-90,28,4075266,2013344,2061922
1-May-90,29,4518283,2236282,2282001
1-May-90,30,4426614,2185845,2240769
1-May-90,31,4300430,2119211,2181219
1-May-90,32,4334702,2136717,2197985
1-May-90,33,4259675,2093965,2165710
1-May-90,34,4301430,2125242,2176188
1-May-90,35,4208733,2075721,2133012
1-May-90,36,4013983,1971198,2042785
1-May-90,37,3946034,1936795,2009239
1-May-90,38,3659522,1794107,1865415
1-May-90,39,3893113,1919369,1973744
1-May-90,40,3730077,1831978,1898099
1-May-90,41,3593799,1759918,1833881
1-May-90,42,3664286,1797925,1866361
1-May-90,43,3697688,1813634,1884054
1-May-90,44,2863266,1410343,1452923
1-May-90,45,2887562,1417237,1470325
1-May-90,46,2839882,1390486,1449396
1-May-90,47,2955076,1445779,1509297
1-May-90,48,2486885,1211612,1275273
1-May-90,49,2573447,1260835,1312612
1-May-90,50,2410643,1175704,1234939
1-May-90,51,2314149,1126154,1187995
1-May-90,52,2251129,1093005,1158124
1-May-90,53,2158932,1044539,1114393
1-May-90,54,2194456,1059402,1135054
1-May-90,55,2160403,1039249,1121154
1-May-90,56,2043916,980173,1063743
1-May-90,57,2090959,997787,1093172
1-May-90,58,1997999,949373,1048626
1-May-90,59,2190575,1040628,1149947
1-May-90,60,2147581,1012008,1135573
1-May-90,61,2101030,986221,1114809
1-May-90,62,2147928,1002319,1145609
1-May-90,63,2103572,975416,1128156
1-May-90,64,2124612,971913,1152699
1-May-90,65,2121039,961832,1159207
1-May-90,66,2052122,926139,1125983
1-May-90,67,1999932,896519,1103413
1-May-90,68,1972653,877444,1095209
1-May-90,69,1924449,847784,1076665
1-May-90,70,1766659,769893,996766
1-May-90,71,1682138,725193,956945
1-May-90,72,1598135,682577,915558
1-May-90,73,1499414,630459,868955
1-May-90,74,1448308,599291,849017
1-May-90,75,1395122,567466,827656
1-May-90,76,1293882,517941,775941
1-May-90,77,1228358,479842,748516
