UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2014,999,317318189,156158449,161159740,121805979,124117748,20043264,21864062,1983329,1946248,8083027,8884943,371482,359760,3871368,3986979,125233903,127627035,21713061,23632343,3222993,3254153,9507672,10319194,727595,722527,128531269,134148794,97429207,100339124,18778922,20546907,1154242,1187497,7812285,8612771,271468,267012,3085145,3195483,100158252,103147460,20099210,21953928,2050101,2152826,9018832,9827198,551818,554174,27627180,27010946,24376772,23778624,1264342,1317155,829087,758751,270742,272172,100014,92748,786223,791496,25075651,24479575,1613851,1678415,1172892,1101327,488840,491996,175777,168353
R,1,2014,0,3923483,2007432,1916051,1446902,1376956,304935,295938,33032,31585,96662,90952,6032,5700,119869,114920,1557268,1482684,369323,358527,57391,54835,140720,132625,14736,13861,1493136,1422848,1010035,958172,275546,267691,17321,16537,90629,85114,4015,3738,95590,91596,1098529,1042882,327738,318492,33272,31728,127127,119577,10339,9637,514296,493203,436867,418784,29389,28247,15711,15048,6033,5838,2017,1962,24279,23324,458739,439802,41585,40035,24119,23107,13593,13048,4397,4224
R,1,2014,1,3960100,2023795,1936305,1456737,1390157,305535,296707,32674,31425,103259,97560,6155,5904,119435,114552,1566582,1495471,369180,358357,57002,54842,147652,139588,14890,14227,1506054,1436869,1015568,964655,276469,268668,17390,16764,97282,91667,4124,3901,95221,91214,1103586,1048940,327951,318571,33305,32056,134180,126491,10498,9950,517741,499436,441169,425502,29066,28039,15284,14661,5977,5893,2031,2003,24214,23338,462996,446531,41229,39786,23697,22786,13472,13097,4392,4277
R,1,2014,2,3973595,2032514,1941081,1471049,1400843,305986,296851,32753,31606,98585,93568,5920,5625,118221,112588,1579819,1504351,369251,357330,57185,54935,141979,134733,14532,13799,1507463,1436145,1021965,969182,277420,269309,17522,16721,92685,87926,3893,3670,93978,89337,1108885,1051740,328542,318109,33481,31895,128583,121955,10139,9571,525051,504936,449084,431661,28566,27542,15231,14885,5900,5642,2027,1955,24243,23251,470934,452611,40709,39221,23704,23040,13396,12778,4393,4228
R,1,2014,3,4039293,2063865,1975428,1496482,1428273,309803,300431,32116,31208,99781,95520,5952,5585,119731,114411,1606736,1533531,373700,361998,57036,55257,143591,136881,14639,13753,1525452,1456453,1032774,981410,282427,273441,17486,17154,93918,90096,3962,3739,94885,90613,1120567,1065141,333904,322975,33639,32800,130153,124353,10272,9680,538413,518975,463708,446863,27376,26990,14630,14054,5863,5424,1990,1846,24846,23798,486169,468390,39796,39023,23397,22457,13438,12528,4367,4073
R,1,2014,4,3973388,2027083,1946305,1462326,1397621,305246,297026,32876,31794,102711,99393,6044,5906,117880,114565,1570818,1502907,368618,359336,56776,55089,146003,140878,14392,14053,1508689,1445985,1019895,970955,276761,269281,17431,16937,96696,93597,4044,3912,93862,91303,1106759,1055265,328170,319766,32972,32179,132531,128063,10160,9871,518394,500320,442431,426666,28485,27745,15445,14857,6015,5796,2000,1994,24018,23262,464059,447642,40448,39570,23804,22910,13472,12815,4232,4182
R,1,2014,5,4081968,2083382,1998586,1506381,1437907,316515,308011,33389,32053,103983,100951,6213,6080,116901,113584,1613742,1542265,379484,369990,57221,55048,146387,141624,14668,14113,1553210,1489112,1052355,1001845,287421,280147,17718,17205,97974,95199,4168,4065,93574,90651,1138611,1085584,338864,330728,33332,32042,133349,129030,10377,9908,530172,509474,454026,436062,29094,27864,15671,14848,6009,5752,2045,2015,23327,22933,475131,456681,40620,39262,23889,23006,13038,12594,4291,4205
R,1,2014,6,4132495,2109756,2022739,1531104,1461386,317100,308818,34123,33247,106526,102472,6260,6042,114643,110774,1636263,1562924,378532,369012,57922,56196,148267,142235,14618,13959,1572581,1506359,1069925,1018234,288415,281198,17880,17764,100559,96913,4205,4009,91597,88241,1154368,1099424,338505,330157,33426,32656,135275,129929,10387,9807,537175,516380,461179,443152,28685,27620,16243,15483,5967,5559,2055,2033,23046,22533,481895,463500,40027,38855,24496,23540,12992,12306,4231,4152
R,1,2014,7,4131139,2110783,2020356,1538582,1467593,315937,306084,34451,32750,104430,100735,6090,5894,111293,107300,1640630,1565955,374894,363731,57792,55280,145360,139290,14283,13655,1578274,1508332,1080241,1027098,288146,278932,18100,17483,98522,95193,4130,3906,89135,85720,1162343,1105997,336371,326202,33393,32167,132654,127273,10141,9588,532509,512024,458341,440495,27791,27152,16351,15267,5908,5542,1960,1988,22158,21580,478287,459958,38523,37529,24399,23113,12706,12017,4142,4067
R,1,2014,8,4099128,2094772,2004356,1538126,1461296,307136,299576,33720,32879,103860,102446,6072,5960,105858,102199,1635073,1554805,362535,353614,56488,54694,142962,139947,13781,13295,1573868,1505509,1088216,1030664,280510,273741,17975,17712,98313,97248,4048,4053,84806,82091,1166205,1106028,325920,318104,32894,31986,131079,128719,9727,9513,520904,498847,449910,430632,26626,25835,15745,15167,5547,5198,2024,1907,21052,20108,468868,448777,36615,35510,23594,22708,11883,11228,4054,3782
